"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GDO_q12x2x2x3","PUBLISHED","2017","EMR","QAT","Not applicable ","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","AFR","TGO","Not available","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","AMR","DOM","500","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","SEAR","BGD","Not available","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","EUR","ITA","not available","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","SEAR","MMR","not applicable","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","WPR","JPN","Not available","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","EUR","NLD","Not available","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","AFR","MUS","Yes","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","AMR","CHL","3000","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","EMR","JOR","not applicable","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","EMR","TUN","not applicable","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","EUR","FRA","Not available","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","EUR","SWE","Not available","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","WPR","AUS","17000","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","AFR","SWZ","Not available","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","SEAR","MDV","not applicable","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","WPR","FJI","not applicable","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","EUR","CHE","Not available","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","EUR","HUN","Not available","","","",""
"GDO_q12x2x2x3","PUBLISHED","2017","AMR","CRI","3000","","","",""
