"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GDO_q2x2x1_other","PUBLISHED","2017","EMR","QAT","No","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","AFR","TGO","Not applicable","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","AMR","DOM","No","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","SEAR","BGD","No","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","EUR","ITA","Yes","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","SEAR","MMR","Not applicable","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","WPR","JPN","No","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","EUR","NLD","Not available","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","AFR","MUS","No","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","AMR","CHL","No","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","EMR","JOR","No","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","EMR","TUN","Not applicable","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","EUR","FRA","Yes","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","EUR","SWE","Not applicable","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","WPR","AUS","no","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","AFR","SWZ","Not applicable","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","SEAR","MDV","no","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","WPR","FJI","No","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","EUR","CHE","Yes","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","EUR","HUN","Not applicable","","","",""
"GDO_q2x2x1_other","PUBLISHED","2017","AMR","CRI","No","","","",""
