"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GDO_q2x3x1_1","PUBLISHED","2017","EMR","QAT","Not applicable","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","AFR","TGO","Not applicable","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","AMR","DOM","Not applicable","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","SEAR","BGD","Not applicable","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","EUR","ITA","0.62","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","SEAR","MMR","Not applicable","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","WPR","JPN","1","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","EUR","NLD","Not applicable","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","AFR","MUS","Not applicable","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","AMR","CHL","Not applicable","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","EMR","JOR","Not applicable","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","EMR","TUN","0.66","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","EUR","FRA","1","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","EUR","SWE","0.8","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","WPR","AUS","0.25","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","AFR","SWZ","Not applicable","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","SEAR","MDV","Not applicable","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","WPR","FJI","Not applicable","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","EUR","CHE","0.7","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","EUR","HUN","Not applicable","","","",""
"GDO_q2x3x1_1","PUBLISHED","2017","AMR","CRI","1","","","",""
