"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GDO_q35","PUBLISHED","2015","EMR","SYR","3.9","3.94594","0.03946","",""
"GDO_q35","PUBLISHED","2015","EUR","CZE","5.2","5.16328","0.05163","",""
"GDO_q35","PUBLISHED","2015","EUR","DNK","5.0","4.97833","0.04978","",""
"GDO_q35","PUBLISHED","2015","EUR","EST","5.9","5.90777","0.05908","",""
"GDO_q35","PUBLISHED","2015","EUR","FIN","5.6","5.61099","0.05611","",""
"GDO_q35","PUBLISHED","2015","EUR","LTU","5.6","5.61956","0.05620","",""
"GDO_q35","PUBLISHED","2015","EUR","LUX","5.0","5.03728","0.05037","",""
"GDO_q35","PUBLISHED","2015","EUR","MLT","5.1","5.07386","0.05074","",""
"GDO_q35","PUBLISHED","2015","EUR","MNE","4.8","4.83733","0.04837","",""
"GDO_q35","PUBLISHED","2015","EUR","NLD","4.7","4.69105","0.04691","",""
"GDO_q35","PUBLISHED","2015","EMR","SDN","3.6","3.55097","0.03551","",""
"GDO_q35","PUBLISHED","2015","EMR","SOM","4.0","3.96365","0.03964","",""
"GDO_q35","PUBLISHED","2015","EMR","SAU","4.5","4.51654","0.04517","",""
"GDO_q35","PUBLISHED","2015","EMR","AFG","3.3","3.31159","0.03312","",""
"GDO_q35","PUBLISHED","2015","AMR","VEN","4.2","4.21011","0.04210","",""
"GDO_q35","PUBLISHED","2015","AMR","URY","5.0","4.96401","0.04964","",""
"GDO_q35","PUBLISHED","2015","AMR","USA","5.9","5.85717","0.05857","",""
"GDO_q35","PUBLISHED","2015","AMR","GUY","4.5","4.54976","0.04550","",""
"GDO_q35","PUBLISHED","2015","AMR","GTM","3.7","3.71346","0.03713","",""
"GDO_q35","PUBLISHED","2015","AMR","GRD","4.7","4.70431","0.04704","",""
"GDO_q35","PUBLISHED","2015","AMR","SLV","4.4","4.39914","0.04399","",""
"GDO_q35","PUBLISHED","2015","AMR","ATG","5.1","5.05867","0.05059","",""
"GDO_q35","PUBLISHED","2015","AFR","ZWE","4.0","4.03884","0.04039","",""
"GDO_q35","PUBLISHED","2015","AFR","ZMB","4.0","4.01352","0.04014","",""
"GDO_q35","PUBLISHED","2015","AFR","TZA","4.1","4.14388","0.04144","",""
"GDO_q35","PUBLISHED","2015","AFR","MOZ","4.1","4.09520","0.04095","",""
"GDO_q35","PUBLISHED","2015","AFR","MUS","4.4","4.35239","0.04352","",""
"GDO_q35","PUBLISHED","2015","AFR","MRT","4.1","4.08276","0.04083","",""
"GDO_q35","PUBLISHED","2015","AFR","MLI","3.6","3.56806","0.03568","",""
"GDO_q35","PUBLISHED","2015","AFR","GNQ","4.2","4.18462","0.04185","",""
"GDO_q35","PUBLISHED","2015","AFR","COD","3.8","3.76623","0.03766","",""
"GDO_q35","PUBLISHED","2015","AFR","CIV","3.8","3.79018","0.03790","",""
"GDO_q35","PUBLISHED","2015","AFR","COG","3.9","3.94981","0.03950","",""
"GDO_q35","PUBLISHED","2015","AFR","COM","4.4","4.36280","0.04363","",""
