"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GDO_q3x3a_2","PUBLISHED","2017","EMR","QAT","Not applicable","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","AFR","TGO","Not applicable","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","AMR","DOM","Yes - universal law","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","SEAR","BGD","Not applicable","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","EUR","ITA","Yes - universal law","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","SEAR","MMR","Not applicable","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","WPR","JPN","Yes - universal law","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","EUR","NLD","Yes - universal law","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","AFR","MUS","Yes - universal law","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","AMR","CHL","Yes - universal law","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","EMR","JOR","Yes - universal law","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","EMR","TUN","Not applicable","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","EUR","FRA","Yes - universal law","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","EUR","SWE","Yes - universal law","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","WPR","AUS","Yes - universal law","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","AFR","SWZ","Not applicable","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","SEAR","MDV","Not applicable","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","WPR","FJI","Yes - universal law","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","EUR","CHE","Yes - universal law","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","EUR","HUN","Yes - universal law","","","",""
"GDO_q3x3a_2","PUBLISHED","2017","AMR","CRI","Not available","","","",""
