"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GDO_q3x3b_1","PUBLISHED","2017","EMR","QAT","Not applicable","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","AFR","TGO","Not applicable","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","AMR","DOM","Regulated / limited","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","SEAR","BGD","Not applicable","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","EUR","ITA","Regulated / limited","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","SEAR","MMR","Not applicable","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","WPR","JPN","Regulated / limited","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","EUR","NLD","Regulated / limited","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","AFR","MUS","Prohibited","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","AMR","CHL","Allowed / not covered","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","EMR","JOR","Regulated / limited","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","EMR","TUN","Not applicable","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","EUR","FRA","Regulated / limited","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","EUR","SWE","Prohibited","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","WPR","AUS","Allowed / not covered","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","AFR","SWZ","Not applicable","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","SEAR","MDV","Not applicable","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","WPR","FJI","Regulated / limited","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","EUR","CHE","Regulated / limited","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","EUR","HUN","Allowed / not covered","","","",""
"GDO_q3x3b_1","PUBLISHED","2017","AMR","CRI","Not available","","","",""
