"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GDO_q5x2","PUBLISHED","2017","EMR","QAT","Yes","","","",""
"GDO_q5x2","PUBLISHED","2017","AFR","TGO","Not applicable","","","",""
"GDO_q5x2","PUBLISHED","2017","AMR","DOM","Not applicable","","","",""
"GDO_q5x2","PUBLISHED","2017","SEAR","BGD","No","","","",""
"GDO_q5x2","PUBLISHED","2017","EUR","ITA","Yes","","","",""
"GDO_q5x2","PUBLISHED","2017","SEAR","MMR","No","","","",""
"GDO_q5x2","PUBLISHED","2017","WPR","JPN","Yes","","","",""
"GDO_q5x2","PUBLISHED","2017","EUR","NLD","Yes","","","",""
"GDO_q5x2","PUBLISHED","2017","AFR","MUS","No","","","",""
"GDO_q5x2","PUBLISHED","2017","AMR","CHL","Yes","","","",""
"GDO_q5x2","PUBLISHED","2017","EMR","JOR","Yes","","","",""
"GDO_q5x2","PUBLISHED","2017","EMR","TUN","No","","","",""
"GDO_q5x2","PUBLISHED","2017","EUR","FRA","Yes","","","",""
"GDO_q5x2","PUBLISHED","2017","EUR","SWE","Yes","","","",""
"GDO_q5x2","PUBLISHED","2017","WPR","AUS","No","","","",""
"GDO_q5x2","PUBLISHED","2017","AFR","SWZ","No","","","",""
"GDO_q5x2","PUBLISHED","2017","SEAR","MDV","No","","","",""
"GDO_q5x2","PUBLISHED","2017","WPR","FJI","No","","","",""
"GDO_q5x2","PUBLISHED","2017","EUR","CHE","No","","","",""
"GDO_q5x2","PUBLISHED","2017","EUR","HUN","Not applicable","","","",""
"GDO_q5x2","PUBLISHED","2017","AMR","CRI","Yes","","","",""
