"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GDO_q8x3_4","PUBLISHED","2017","EMR","QAT","Capital and main cities only","","","",""
"GDO_q8x3_4","PUBLISHED","2017","AFR","TGO","Capital city only","","","",""
"GDO_q8x3_4","PUBLISHED","2017","AMR","DOM","Capital and main cities only","","","",""
"GDO_q8x3_4","PUBLISHED","2017","SEAR","BGD","Capital and main cities only","","","",""
"GDO_q8x3_4","PUBLISHED","2017","EUR","ITA","Capital, main cities, and rural areas","","","",""
"GDO_q8x3_4","PUBLISHED","2017","SEAR","MMR","not applicable","","","",""
"GDO_q8x3_4","PUBLISHED","2017","WPR","JPN","Capital, main cities, and rural areas","","","",""
"GDO_q8x3_4","PUBLISHED","2017","EUR","NLD","capital, main cities and rural areas","","","",""
"GDO_q8x3_4","PUBLISHED","2017","AFR","MUS","capital, main cities and rural areas","","","",""
"GDO_q8x3_4","PUBLISHED","2017","AMR","CHL","Capital and main cities only","","","",""
"GDO_q8x3_4","PUBLISHED","2017","EMR","JOR","Capital and main cities only","","","",""
"GDO_q8x3_4","PUBLISHED","2017","EMR","TUN","Capital city only","","","",""
"GDO_q8x3_4","PUBLISHED","2017","EUR","FRA","Capital, main cities and rural areas","","","",""
"GDO_q8x3_4","PUBLISHED","2017","EUR","SWE","Capital, main cities and rural areas","","","",""
"GDO_q8x3_4","PUBLISHED","2017","WPR","AUS","Capital, main cities and rural areas","","","",""
"GDO_q8x3_4","PUBLISHED","2017","AFR","SWZ","Not applicable","","","",""
"GDO_q8x3_4","PUBLISHED","2017","SEAR","MDV","Not applicable","","","",""
"GDO_q8x3_4","PUBLISHED","2017","WPR","FJI","Not applicable","","","",""
"GDO_q8x3_4","PUBLISHED","2017","EUR","CHE","Capital, main cities and rural areas","","","",""
"GDO_q8x3_4","PUBLISHED","2017","EUR","HUN","Capital, main cities and rural areas","","","",""
"GDO_q8x3_4","PUBLISHED","2017","AMR","CRI","Capital and main cities","","","",""
