"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GDO_q9_6","PUBLISHED","2017","EMR","QAT","No","","","",""
"GDO_q9_6","PUBLISHED","2017","AFR","TGO","No","","","",""
"GDO_q9_6","PUBLISHED","2017","AMR","DOM","No","","","",""
"GDO_q9_6","PUBLISHED","2017","SEAR","BGD","No","","","",""
"GDO_q9_6","PUBLISHED","2017","EUR","ITA","Yes","","","",""
"GDO_q9_6","PUBLISHED","2017","SEAR","MMR","Yes","","","",""
"GDO_q9_6","PUBLISHED","2017","WPR","JPN","Yes","","","",""
"GDO_q9_6","PUBLISHED","2017","EUR","NLD","Yes","","","",""
"GDO_q9_6","PUBLISHED","2017","AFR","MUS","Yes","","","",""
"GDO_q9_6","PUBLISHED","2017","AMR","CHL","Yes","","","",""
"GDO_q9_6","PUBLISHED","2017","EMR","JOR","Yes","","","",""
"GDO_q9_6","PUBLISHED","2017","EMR","TUN","No","","","",""
"GDO_q9_6","PUBLISHED","2017","EUR","FRA","Yes","","","",""
"GDO_q9_6","PUBLISHED","2017","EUR","SWE","Yes","","","",""
"GDO_q9_6","PUBLISHED","2017","WPR","AUS","Not available","","","",""
"GDO_q9_6","PUBLISHED","2017","AFR","SWZ","not available","","","",""
"GDO_q9_6","PUBLISHED","2017","SEAR","MDV","Not available","","","",""
"GDO_q9_6","PUBLISHED","2017","WPR","FJI","No","","","",""
"GDO_q9_6","PUBLISHED","2017","EUR","CHE","Yes","","","",""
"GDO_q9_6","PUBLISHED","2017","EUR","HUN","Yes","","","",""
"GDO_q9_6","PUBLISHED","2017","AMR","CRI","Yes","","","",""
