"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"HIV_0000000027","PUBLISHED","2018","AMR","BHS","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EMR","BHR","43 978","43978.00000","","",""
"HIV_0000000027","PUBLISHED","2018","SEAR","BGD","485 973","485973.00000","","",""
"HIV_0000000027","PUBLISHED","2018","AMR","BRB","3 467","3467.00000","","","VCT Centres only"
"HIV_0000000027","PUBLISHED","2018","AFR","CPV","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","CMR","3 054 558","3054558.00000","","",""
"HIV_0000000027","PUBLISHED","2018","AMR","CAN","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","CYP","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","CZE","1 372 000","1372000.00000","","",""
"HIV_0000000027","PUBLISHED","2018","SEAR","PRK","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","COD","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","DNK","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","FIN","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","FRA","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","GAB","100 756","100756.00000","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","GMB","102 864","102864.00000","","",""
"HIV_0000000027","PUBLISHED","2018","SEAR","IND","42 470 582","42470582.00000","","",""
"HIV_0000000027","PUBLISHED","2018","SEAR","IDN","3 077 653","3077653.00000","","",""
"HIV_0000000027","PUBLISHED","2018","EMR","IRN","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EMR","IRQ","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","LVA","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EMR","LBN","5 350","5350.00000","","","Community testing only"
"HIV_0000000027","PUBLISHED","2018","AFR","LSO","984 145","984145.00000","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","LBR","269 426","269426.00000","","",""
"HIV_0000000027","PUBLISHED","2018","EMR","LBY","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","WPR","FSM","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","MCO","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","WPR","MNG","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","MNE","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","SSD","423 971","423971.00000","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","ESP","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","SEAR","LKA","1 190 298","1190298.00000","","",""
"HIV_0000000027","PUBLISHED","2018","EMR","SDN","252 967","252967.00000","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","TKM","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","WPR","TUV","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","UGA","8 445 382","8445382.00000","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","UKR","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","ZAF","14 313 791","14313791.00000","","",""
"HIV_0000000027","PUBLISHED","2018","WPR","WSM","11 557","11557.00000","","",""
"HIV_0000000027","PUBLISHED","2018","AMR","VCT","4 453","4453.00000","","",""
"HIV_0000000027","PUBLISHED","2018","AMR","LCA","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AMR","KNA","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","WPR","PLW","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EMR","PAK","12 656","12656.00000","","","Community testing only"
"HIV_0000000027","PUBLISHED","2018","EMR","OMN","631 283","631283.00000","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","NOR","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EMR","AFG","637 005","637005.00000","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","DZA","198 935","198935.00000","","","VCT (within a health facility setting) only"
"HIV_0000000027","PUBLISHED","2018","EUR","ARM","128 028","128028.00000","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","AUT","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","BEL","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","BEN","613 418","613418.00000","","",""
"HIV_0000000027","PUBLISHED","2018","AMR","BRA","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","BGR","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","BDI","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","CAF","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AMR","CHL","1 519 603","1519603.00000","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","CIV","2 712 569","2712569.00000","","",""
"HIV_0000000027","PUBLISHED","2018","AMR","CUB","1 991 234","1991234.00000","","",""
"HIV_0000000027","PUBLISHED","2018","AMR","DMA","3 229","3229.00000","","",""
"HIV_0000000027","PUBLISHED","2018","AMR","ECU","1 290 684","1290684.00000","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","EST","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","ETH","5 073 526","5073526.00000","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","DEU","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","GRC","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AMR","HND","251 927","251927.00000","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","ISL","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","IRL","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","ITA","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EMR","KWT","1 195 711","1195711.00000","","",""
"HIV_0000000027","PUBLISHED","2018","WPR","LAO","89 101","89101.00000","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","LUX","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","MWI","4 633 941","4633941.00000","","",""
"HIV_0000000027","PUBLISHED","2018","WPR","MHL","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","MUS","80 313","80313.00000","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","MOZ","9 787 397","9787397.00000","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","NAM","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AMR","SUR","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","CHE","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AMR","TTO","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EUR","TUR","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","EMR","ARE","No data","","","",""
"HIV_0000000027","PUBLISHED","2018","AFR","TZA","13 772 925","13772925.00000","","",""
