"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"HWF_0020","PUBLISHED","2004","AFR","AGO","1376","1376.00000","","","Includes Medical and Pathology Laboratory Technicians ."
"HWF_0020","PUBLISHED","2010","AFR","BDI","335","335.00000","","","Includes Laborantins and Assistants Laborantins.  Data Source: Human Resources Development Survey, 2010"
"HWF_0020","PUBLISHED","2004","AFR","BEN","399","399.00000","","","Includes Medical and Pathology Laboratory Technicians ."
"HWF_0020","PUBLISHED","2008","AFR","BEN","245","245.00000","","","Includes Medical and Pathology Laboratory Technicians ."
"HWF_0020","PUBLISHED","2012","AFR","BEN","845","845.00000","","","Includes Medical and Pathology Laboratory Technicians ."
"HWF_0020","PUBLISHED","2013","AFR","BEN","830","830.00000","","","Includes Laboratory operator, Laboratory technician.  Data Source: Health workforce from census data. Minnesota Population Center. Integrated Public Use Microdata Series, International: Version 7.1. Minneapolis, MN: IPUMS, 2018. https://doi.org/10.18128/D020.V7.1"
"HWF_0020","PUBLISHED","2016","AFR","BEN","1166","1166.00000","","","Includes Medical and Pathology Laboratory Technicians ."
"HWF_0020","PUBLISHED","2004","AFR","BFA","315","315.00000","","","Includes Medical and Pathology Laboratory Technicians ."
"HWF_0020","PUBLISHED","2010","AFR","BFA","478","478.00000","","","Includes Medical and Pathology Laboratory Technicians ."
"HWF_0020","PUBLISHED","2012","AFR","BFA","458","458.00000","","","Includes Medical and Pathology Laboratory Technicians ."
"HWF_0020","PUBLISHED","2004","AFR","BWA","181","181.00000","","","Includes Medical and Pathology Laboratory Technicians ."
"HWF_0020","PUBLISHED","2008","AFR","BWA","255","255.00000","","","Includes Medical and Pathology Laboratory Technicians ."
"HWF_0020","PUBLISHED","2009","AFR","BWA","317","317.00000","","","Includes Medical and Pathology Laboratory Technicians ."
"HWF_0020","PUBLISHED","2004","AFR","CAF","36","36.00000","","","Includes Medical and Pathology Laboratory Technicians ."
"HWF_0020","PUBLISHED","2008","AFR","CAF","32","32.00000","","","Includes Medical and Pathology Laboratory Technicians ."
"HWF_0020","PUBLISHED","2009","AFR","CAF","40","40.00000","","","Includes Medical and Pathology Laboratory Technicians ."
