"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"HWF_0025","PUBLISHED","2013","EUR","ALB","FMLE","46.886","46.88600","","",""
"HWF_0025","PUBLISHED","2013","EUR","ALB","MLE","53.114","53.11400","","",""
"HWF_0025","PUBLISHED","2016","EMR","ARE","FMLE","39.986","39.98600","","",""
"HWF_0025","PUBLISHED","2017","EMR","ARE","FMLE","40.481","40.48100","","",""
"HWF_0025","PUBLISHED","2018","EMR","ARE","FMLE","41.323","41.32300","","",""
"HWF_0025","PUBLISHED","2017","EMR","ARE","MLE","59.519","59.51900","","",""
"HWF_0025","PUBLISHED","2016","EMR","ARE","MLE","60.014","60.01400","","",""
"HWF_0025","PUBLISHED","2018","EMR","ARE","MLE","58.677","58.67700","","",""
"HWF_0025","PUBLISHED","2011","EUR","ARM","FMLE","69.468","69.46800","","",""
"HWF_0025","PUBLISHED","2009","EUR","ARM","FMLE","69.969","69.96900","","",""
"HWF_0025","PUBLISHED","2010","EUR","ARM","FMLE","69.506","69.50600","","",""
"HWF_0025","PUBLISHED","2015","EUR","ARM","FMLE","69.454","69.45400","","",""
"HWF_0025","PUBLISHED","2008","EUR","ARM","FMLE","70.431","70.43100","","",""
"HWF_0025","PUBLISHED","2014","EUR","ARM","FMLE","69.625","69.62500","","",""
"HWF_0025","PUBLISHED","2012","EUR","ARM","FMLE","69.219","69.21900","","",""
"HWF_0025","PUBLISHED","2013","EUR","ARM","FMLE","69.192","69.19200","","",""
"HWF_0025","PUBLISHED","2007","EUR","ARM","FMLE","70.68","70.68000","","",""
"HWF_0025","PUBLISHED","2000","EUR","ARM","FMLE","71.314","71.31400","","",""
"HWF_0025","PUBLISHED","2001","EUR","ARM","FMLE","71.803","71.80300","","",""
"HWF_0025","PUBLISHED","2002","EUR","ARM","FMLE","70.77","70.77000","","",""
"HWF_0025","PUBLISHED","2003","EUR","ARM","FMLE","70.39","70.39000","","",""
"HWF_0025","PUBLISHED","2004","EUR","ARM","FMLE","70.395","70.39500","","",""
"HWF_0025","PUBLISHED","2005","EUR","ARM","FMLE","70.551","70.55100","","",""
"HWF_0025","PUBLISHED","2006","EUR","ARM","FMLE","70.512","70.51200","","",""
"HWF_0025","PUBLISHED","2011","EUR","ARM","MLE","30.532","30.53200","","",""
"HWF_0025","PUBLISHED","2009","EUR","ARM","MLE","30.031","30.03100","","",""
"HWF_0025","PUBLISHED","2008","EUR","ARM","MLE","29.569","29.56900","","",""
"HWF_0025","PUBLISHED","2014","EUR","ARM","MLE","30.375","30.37500","","",""
"HWF_0025","PUBLISHED","2010","EUR","ARM","MLE","30.494","30.49400","","",""
"HWF_0025","PUBLISHED","2012","EUR","ARM","MLE","30.781","30.78100","","",""
"HWF_0025","PUBLISHED","2015","EUR","ARM","MLE","30.546","30.54600","","",""
"HWF_0025","PUBLISHED","2013","EUR","ARM","MLE","30.808","30.80800","","",""
"HWF_0025","PUBLISHED","2007","EUR","ARM","MLE","29.32","29.32000","","",""
"HWF_0025","PUBLISHED","2000","EUR","ARM","MLE","28.686","28.68600","","",""
"HWF_0025","PUBLISHED","2001","EUR","ARM","MLE","28.197","28.19700","","",""
"HWF_0025","PUBLISHED","2002","EUR","ARM","MLE","29.23","29.23000","","",""
"HWF_0025","PUBLISHED","2003","EUR","ARM","MLE","29.61","29.61000","","",""
"HWF_0025","PUBLISHED","2004","EUR","ARM","MLE","29.605","29.60500","","",""
