"GHO","PUBLISHSTATE","YEAR","COUNTRY","Display Value","Numeric","Low","High","Comments"
"ICD11_IMPL_LVL","PUBLISHED","2019","GHA","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","KEN","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","LBR","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","NAM","Pilots running","3.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","NGA","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","RWA","Pilots running","3.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","SEN","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","TZA","Pilots running","3.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","UGA","Pilots running","3.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","ZAF","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","ZMB","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","SWZ","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","ARG","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","BRA","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","CAN","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","CHL","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","COL","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","CUB","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","DOM","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","ECU","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","GTM","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","HND","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","JAM","Pilots running","3.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","MEX","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","NIC","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","PAN","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","PRY","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","PER","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","URY","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","USA","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","VEN","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","AFG","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","EGY","Pilots running","3.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","IRN","Pilots running","3.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","IRQ","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","KWT","Pilots running","3.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","LBN","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","LBY","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","MAR","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","PAK","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","QAT","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","SOM","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","SDN","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","SYR","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","TUN","Pilots running","3.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","JOR","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","YEM","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","BLR","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","BGR","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","HRV","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","CZE","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","DNK","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","DEU","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","EST","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","FRA","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","GBR","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","GEO","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","GRC","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","HUN","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","ISL","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","IRL","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","ISR","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","ITA","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","KAZ","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","KGZ","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","LTU","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","MNE","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","NLD","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","NOR","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","POL","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","PRT","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","ROU","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","RUS","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","SVK","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","SVN","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","ESP","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","SWE","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","TUR","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","TKM","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","UZB","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","BGD","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","BTN","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","IND","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","MDV","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","MMR","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","NPL","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","LKA","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","THA","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","TLS","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","AUS","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","CHN","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","FJI","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","JPN","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","KOR","Preparation started","2.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","MNG","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","MYS","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","PHL","Familiarized","1.00000","","",""
"ICD11_IMPL_LVL","PUBLISHED","2019","VNM","Preparation started","2.00000","","",""
