"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"IHR03","PUBLISHED","2013","AFR","DZA","75","75.00000","","",""
"IHR03","PUBLISHED","2013","AFR","AGO","60","60.00000","","",""
"IHR03","PUBLISHED","2013","AFR","BWA","70","70.00000","","",""
"IHR03","PUBLISHED","2013","AFR","BFA","65","65.00000","","",""
"IHR03","PUBLISHED","2013","AFR","BDI","100","100.00000","","",""
"IHR03","PUBLISHED","2013","AFR","CMR","85","85.00000","","",""
"IHR03","PUBLISHED","2013","AFR","CAF","40","40.00000","","",""
"IHR03","PUBLISHED","2013","AFR","TCD","75","75.00000","","",""
"IHR03","PUBLISHED","2013","AFR","COM","65","65.00000","","",""
"IHR03","PUBLISHED","2013","AFR","COG","37","37.00000","","",""
"IHR03","PUBLISHED","2013","AFR","CIV","100","100.00000","","",""
"IHR03","PUBLISHED","2013","AFR","COD","85","85.00000","","",""
"IHR03","PUBLISHED","2013","AFR","GNQ","35","35.00000","","",""
"IHR03","PUBLISHED","2013","AFR","ERI","80","80.00000","","",""
"IHR03","PUBLISHED","2013","AFR","GMB","85","85.00000","","",""
"IHR03","PUBLISHED","2013","AFR","GHA","85","85.00000","","",""
"IHR03","PUBLISHED","2013","AFR","KEN","85","85.00000","","",""
"IHR03","PUBLISHED","2013","AFR","LSO","65","65.00000","","",""
"IHR03","PUBLISHED","2013","AFR","MDG","55","55.00000","","",""
"IHR03","PUBLISHED","2013","AFR","MUS","55","55.00000","","",""
"IHR03","PUBLISHED","2013","AFR","MOZ","90","90.00000","","",""
"IHR03","PUBLISHED","2013","AFR","NER","68","68.00000","","",""
"IHR03","PUBLISHED","2013","AFR","NGA","75","75.00000","","",""
"IHR03","PUBLISHED","2013","AFR","RWA","80","80.00000","","",""
"IHR03","PUBLISHED","2013","AFR","STP","40","40.00000","","",""
"IHR03","PUBLISHED","2013","AFR","SYC","95","95.00000","","",""
"IHR03","PUBLISHED","2013","AFR","ZAF","80","80.00000","","",""
"IHR03","PUBLISHED","2013","AFR","SWZ","65","65.00000","","",""
"IHR03","PUBLISHED","2013","AFR","TGO","90","90.00000","","",""
"IHR03","PUBLISHED","2013","AFR","UGA","80","80.00000","","",""
"IHR03","PUBLISHED","2013","AFR","TZA","75","75.00000","","",""
"IHR03","PUBLISHED","2013","AFR","ZMB","95","95.00000","","",""
"IHR03","PUBLISHED","2013","AMR","ATG","95","95.00000","","",""
"IHR03","PUBLISHED","2013","AMR","ARG","80","80.00000","","",""
"IHR03","PUBLISHED","2013","AMR","BRB","100","100.00000","","",""
"IHR03","PUBLISHED","2013","AMR","BLZ","85","85.00000","","",""
"IHR03","PUBLISHED","2013","AMR","BOL","85","85.00000","","",""
"IHR03","PUBLISHED","2013","AMR","BRA","90","90.00000","","",""
"IHR03","PUBLISHED","2013","AMR","CAN","100","100.00000","","",""
"IHR03","PUBLISHED","2013","AMR","CHL","90","90.00000","","",""
"IHR03","PUBLISHED","2013","AMR","COL","50","50.00000","","",""
"IHR03","PUBLISHED","2013","AMR","CRI","95","95.00000","","",""
"IHR03","PUBLISHED","2013","AMR","CUB","95","95.00000","","",""
"IHR03","PUBLISHED","2013","AMR","DMA","72","72.00000","","",""
"IHR03","PUBLISHED","2013","AMR","DOM","75","75.00000","","",""
"IHR03","PUBLISHED","2013","AMR","ECU","60","60.00000","","",""
"IHR03","PUBLISHED","2013","AMR","SLV","100","100.00000","","",""
"IHR03","PUBLISHED","2013","AMR","GRD","85","85.00000","","",""
"IHR03","PUBLISHED","2013","AMR","GTM","100","100.00000","","",""
