"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","IHRSPARCAPACITYLEVEL","Display Value","Numeric","Low","High","Comments"
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","AFG","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","AGO","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","ALB","IHRSPARCAPLEVEL06_C_6_1","Other","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","AND","IHRSPARCAPLEVEL06_C_6_1","20","20.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","ARE","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","ARG","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","ARM","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","ATG","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","AUS","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","AUT","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","AZE","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","BDI","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","BEL","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","BEN","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","BFA","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","SEAR","BGD","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","BGR","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","BHR","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","BHS","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","BIH","IHRSPARCAPLEVEL06_C_6_1","20","20.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","BLR","IHRSPARCAPLEVEL06_C_6_1","No data","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","BLZ","IHRSPARCAPLEVEL06_C_6_1","20","20.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","BOL","IHRSPARCAPLEVEL06_C_6_1","Other","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","BRA","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","BRB","IHRSPARCAPLEVEL06_C_6_1","No data","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","BRN","IHRSPARCAPLEVEL06_C_6_1","No data","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","SEAR","BTN","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","BWA","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","CAF","IHRSPARCAPLEVEL06_C_6_1","40","40.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","CAN","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","CHE","IHRSPARCAPLEVEL06_C_6_1","Other","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","CHL","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","CHN","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","CIV","IHRSPARCAPLEVEL06_C_6_1","40","40.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","CMR","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","COD","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","COG","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","COK","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","COL","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","COM","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","CPV","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","CRI","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","CUB","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","CYP","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","CZE","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","DEU","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","DJI","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","DMA","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","DNK","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","DOM","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","DZA","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","ECU","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","EGY","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","ERI","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","ESP","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","EST","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","ETH","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","FIN","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","FJI","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","FRA","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","FSM","IHRSPARCAPLEVEL06_C_6_1","Other","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","GAB","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","GBR","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","GEO","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","GHA","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","GIN","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","GMB","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","GNB","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","GNQ","IHRSPARCAPLEVEL06_C_6_1","20","20.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","GRC","IHRSPARCAPLEVEL06_C_6_1","No data","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","GRD","IHRSPARCAPLEVEL06_C_6_1","No data","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","GTM","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","GUY","IHRSPARCAPLEVEL06_C_6_1","Other","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","HND","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","HRV","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","HTI","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","HUN","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","SEAR","IDN","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","SEAR","IND","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","IRL","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","IRN","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","IRQ","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","ISL","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","ISR","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","ITA","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","JAM","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","JOR","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","JPN","IHRSPARCAPLEVEL06_C_6_1","Other","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","KAZ","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","KEN","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","KGZ","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","KHM","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","KIR","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","KNA","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","KOR","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","KWT","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","LAO","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","LBN","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","LBR","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","LBY","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","LCA","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","SEAR","LKA","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","LSO","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","LTU","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","LUX","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","LVA","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","MAR","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","MCO","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","MDA","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","MDG","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","SEAR","MDV","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","MEX","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","MHL","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","MKD","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","MLI","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","MLT","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","SEAR","MMR","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","MNE","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","MNG","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","MOZ","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","MRT","IHRSPARCAPLEVEL06_C_6_1","40","40.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","MUS","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","MWI","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","MYS","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","NAM","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","NER","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","NGA","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","NIC","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","NIU","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","NLD","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","NOR","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","SEAR","NPL","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","NRU","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","NZL","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","OMN","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","PAK","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","PAN","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","PER","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","PHL","IHRSPARCAPLEVEL06_C_6_1","No data","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","PLW","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","PNG","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","POL","IHRSPARCAPLEVEL06_C_6_1","No data","","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","SEAR","PRK","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","PRT","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","PRY","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","QAT","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","ROU","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","RUS","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","RWA","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","SAU","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","SDN","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","SEN","IHRSPARCAPLEVEL06_C_6_1","60","60.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","SGP","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","WPR","SLB","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","SLE","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","SLV","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","SMR","IHRSPARCAPLEVEL06_C_6_1","20","20.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EMR","SOM","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","EUR","SRB","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","SSD","IHRSPARCAPLEVEL06_C_6_1","80","80.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AFR","STP","IHRSPARCAPLEVEL06_C_6_1","40","40.00000","","",""
"IHRSPAR_CAPACITY06","PUBLISHED","2018","AMR","SUR","IHRSPARCAPLEVEL06_C_6_1","100","100.00000","","",""
