"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MALARIA001","PUBLISHED","2005","EMR","AFG","0","0.00000","","",""
"MALARIA001","PUBLISHED","2007","EMR","AFG","25","25.00000","","",""
"MALARIA001","PUBLISHED","2008","EMR","AFG","46","46.00000","","",""
"MALARIA001","PUBLISHED","2009","EMR","AFG","32","32.00000","","",""
"MALARIA001","PUBLISHED","2010","EMR","AFG","22","22.00000","","",""
"MALARIA001","PUBLISHED","2011","EMR","AFG","40","40.00000","","",""
"MALARIA001","PUBLISHED","2012","EMR","AFG","36","36.00000","","",""
"MALARIA001","PUBLISHED","2013","EMR","AFG","24","24.00000","","",""
"MALARIA001","PUBLISHED","2014","EMR","AFG","32","32.00000","","",""
"MALARIA001","PUBLISHED","2015","EMR","AFG","49","49.00000","","",""
"MALARIA001","PUBLISHED","2016","EMR","AFG","47","47.00000","","",""
"MALARIA001","PUBLISHED","2017","EMR","AFG","10","10.00000","","",""
"MALARIA001","PUBLISHED","2000","AFR","DZA","2","2.00000","","",""
"MALARIA001","PUBLISHED","2001","AFR","DZA","1","1.00000","","",""
"MALARIA001","PUBLISHED","2008","AFR","DZA","0","0.00000","","",""
"MALARIA001","PUBLISHED","2009","AFR","DZA","0","0.00000","","",""
"MALARIA001","PUBLISHED","2010","AFR","DZA","1","1.00000","","",""
"MALARIA001","PUBLISHED","2011","AFR","DZA","0","0.00000","","",""
"MALARIA001","PUBLISHED","2012","AFR","DZA","0","0.00000","","",""
"MALARIA001","PUBLISHED","2013","AFR","DZA","0","0.00000","","",""
"MALARIA001","PUBLISHED","2014","AFR","DZA","0","0.00000","","",""
"MALARIA001","PUBLISHED","2015","AFR","DZA","0","0.00000","","",""
"MALARIA001","PUBLISHED","2016","AFR","DZA","0","0.00000","","",""
"MALARIA001","PUBLISHED","2017","AFR","DZA","0","0.00000","","",""
"MALARIA001","PUBLISHED","2000","AFR","AGO","9510","9510.00000","","",""
"MALARIA001","PUBLISHED","2001","AFR","AGO","9473","9473.00000","","",""
"MALARIA001","PUBLISHED","2002","AFR","AGO","14434","14434.00000","","",""
"MALARIA001","PUBLISHED","2003","AFR","AGO","38598","38598.00000","","",""
"MALARIA001","PUBLISHED","2004","AFR","AGO","12459","12459.00000","","",""
"MALARIA001","PUBLISHED","2005","AFR","AGO","13768","13768.00000","","",""
"MALARIA001","PUBLISHED","2006","AFR","AGO","10220","10220.00000","","",""
"MALARIA001","PUBLISHED","2007","AFR","AGO","9812","9812.00000","","",""
"MALARIA001","PUBLISHED","2008","AFR","AGO","9465","9465.00000","","",""
"MALARIA001","PUBLISHED","2009","AFR","AGO","10530","10530.00000","","",""
"MALARIA001","PUBLISHED","2010","AFR","AGO","8114","8114.00000","","",""
"MALARIA001","PUBLISHED","2011","AFR","AGO","6909","6909.00000","","",""
"MALARIA001","PUBLISHED","2012","AFR","AGO","5736","5736.00000","","",""
"MALARIA001","PUBLISHED","2013","AFR","AGO","7300","7300.00000","","",""
"MALARIA001","PUBLISHED","2014","AFR","AGO","5714","5714.00000","","",""
"MALARIA001","PUBLISHED","2015","AFR","AGO","7832","7832.00000","","",""
"MALARIA001","PUBLISHED","2016","AFR","AGO","15997","15997.00000","","",""
"MALARIA001","PUBLISHED","2017","AFR","AGO","13967","13967.00000","","",""
"MALARIA001","PUBLISHED","2000","AMR","ARG","0","0.00000","","",""
"MALARIA001","PUBLISHED","2001","AMR","ARG","0","0.00000","","",""
"MALARIA001","PUBLISHED","2002","AMR","ARG","0","0.00000","","",""
"MALARIA001","PUBLISHED","2003","AMR","ARG","1","1.00000","","",""
"MALARIA001","PUBLISHED","2004","AMR","ARG","0","0.00000","","",""
"MALARIA001","PUBLISHED","2005","AMR","ARG","0","0.00000","","",""
"MALARIA001","PUBLISHED","2006","AMR","ARG","0","0.00000","","",""
"MALARIA001","PUBLISHED","2007","AMR","ARG","0","0.00000","","",""
"MALARIA001","PUBLISHED","2008","AMR","ARG","0","0.00000","","",""
"MALARIA001","PUBLISHED","2009","AMR","ARG","0","0.00000","","",""
"MALARIA001","PUBLISHED","2010","AMR","ARG","0","0.00000","","",""
"MALARIA001","PUBLISHED","2011","AMR","ARG","0","0.00000","","",""
"MALARIA001","PUBLISHED","2012","AMR","ARG","0","0.00000","","",""
"MALARIA001","PUBLISHED","2013","AMR","ARG","0","0.00000","","",""
"MALARIA001","PUBLISHED","2014","AMR","ARG","0","0.00000","","",""
"MALARIA001","PUBLISHED","2015","AMR","ARG","0","0.00000","","",""
"MALARIA001","PUBLISHED","2016","AMR","ARG","0","0.00000","","",""
"MALARIA001","PUBLISHED","2017","AMR","ARG","1","1.00000","","",""
"MALARIA001","PUBLISHED","2000","EUR","ARM","0","0.00000","","",""
"MALARIA001","PUBLISHED","2001","EUR","ARM","0","0.00000","","",""
"MALARIA001","PUBLISHED","2002","EUR","ARM","0","0.00000","","",""
"MALARIA001","PUBLISHED","2003","EUR","ARM","0","0.00000","","",""
"MALARIA001","PUBLISHED","2004","EUR","ARM","0","0.00000","","",""
"MALARIA001","PUBLISHED","2005","EUR","ARM","0","0.00000","","",""
"MALARIA001","PUBLISHED","2006","EUR","ARM","0","0.00000","","",""
"MALARIA001","PUBLISHED","2007","EUR","ARM","0","0.00000","","",""
"MALARIA001","PUBLISHED","2008","EUR","ARM","0","0.00000","","",""
"MALARIA001","PUBLISHED","2009","EUR","ARM","0","0.00000","","",""
"MALARIA001","PUBLISHED","2010","EUR","ARM","0","0.00000","","",""
"MALARIA001","PUBLISHED","2011","EUR","ARM","0","0.00000","","",""
"MALARIA001","PUBLISHED","2012","EUR","ARM","0","0.00000","","",""
"MALARIA001","PUBLISHED","2013","EUR","ARM","0","0.00000","","",""
"MALARIA001","PUBLISHED","2014","EUR","ARM","0","0.00000","","",""
