"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","Display Value","Numeric","Low","High","Comments"
"MALARIA_15049","PUBLISHED","1990","EMR","AFG","","317479","317479.00000","","",""
"MALARIA_15049","PUBLISHED","1990","EUR","ALB","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AFR","DZA","","152","152.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AFR","AGO","","243673","243673.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AMR","ARG","","1660","1660.00000","","",""
"MALARIA_15049","PUBLISHED","1990","EUR","ARM","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1990","EUR","AUT","","113","113.00000","","",""
"MALARIA_15049","PUBLISHED","1990","EUR","AZE","","24","24.00000","","",""
"MALARIA_15049","PUBLISHED","1990","EMR","BHR","","219","219.00000","","",""
"MALARIA_15049","PUBLISHED","1990","SEAR","BGD","","53875","53875.00000","","",""
"MALARIA_15049","PUBLISHED","1990","EUR","BLR","","13","13.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AMR","BLZ","","3033","3033.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AFR","BEN","","92870","92870.00000","","",""
"MALARIA_15049","PUBLISHED","1990","SEAR","BTN","","9497","9497.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AMR","BOL","","19680","19680.00000","","",""
"MALARIA_15049","PUBLISHED","1990","EUR","BIH","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1990","AFR","BWA","","10750","10750.00000","","",""
"MALARIA_15049","PUBLISHED","1991","EMR","AFG","","297605","297605.00000","","",""
"MALARIA_15049","PUBLISHED","1991","EUR","ALB","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AFR","DZA","","229","229.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AFR","AGO","","1143701","1143701.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AMR","ARG","","803","803.00000","","",""
"MALARIA_15049","PUBLISHED","1991","EUR","ARM","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1991","EUR","AUT","","111","111.00000","","",""
"MALARIA_15049","PUBLISHED","1991","EUR","AZE","","113","113.00000","","",""
"MALARIA_15049","PUBLISHED","1991","EMR","BHR","","215","215.00000","","",""
"MALARIA_15049","PUBLISHED","1991","SEAR","BGD","","63578","63578.00000","","",""
"MALARIA_15049","PUBLISHED","1991","EUR","BLR","","15","15.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AMR","BLZ","","3317","3317.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AFR","BEN","","118796","118796.00000","","",""
"MALARIA_15049","PUBLISHED","1991","SEAR","BTN","","22126","22126.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AMR","BOL","","19031","19031.00000","","",""
"MALARIA_15049","PUBLISHED","1991","EUR","BIH","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1991","AFR","BWA","","14364","14364.00000","","",""
"MALARIA_15049","PUBLISHED","1992","EUR","ALB","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AFR","DZA","","106","106.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AFR","AGO","","782988","782988.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AMR","ARG","","643","643.00000","","",""
"MALARIA_15049","PUBLISHED","1992","EUR","ARM","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1992","EUR","AUT","","58","58.00000","","",""
"MALARIA_15049","PUBLISHED","1992","EUR","AZE","","27","27.00000","","",""
"MALARIA_15049","PUBLISHED","1992","EMR","BHR","","282","282.00000","","",""
"MALARIA_15049","PUBLISHED","1992","SEAR","BGD","","115660","115660.00000","","",""
"MALARIA_15049","PUBLISHED","1992","EUR","BLR","","15","15.00000","","",""
"MALARIA_15049","PUBLISHED","1992","EUR","BEL","","249","249.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AMR","BLZ","","5341","5341.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AFR","BEN","","290868","290868.00000","","",""
"MALARIA_15049","PUBLISHED","1992","SEAR","BTN","","28900","28900.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AMR","BOL","","24486","24486.00000","","",""
"MALARIA_15049","PUBLISHED","1992","EUR","BIH","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1992","AFR","BWA","","4995","4995.00000","","",""
"MALARIA_15049","PUBLISHED","1993","EUR","ALB","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AFR","DZA","","84","84.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AFR","AGO","","722981","722981.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AMR","ARG","","758","758.00000","","",""
"MALARIA_15049","PUBLISHED","1993","EUR","ARM","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1993","EUR","AUT","","89","89.00000","","",""
"MALARIA_15049","PUBLISHED","1993","EUR","AZE","","23","23.00000","","",""
"MALARIA_15049","PUBLISHED","1993","EMR","BHR","","258","258.00000","","",""
"MALARIA_15049","PUBLISHED","1993","SEAR","BGD","","125402","125402.00000","","",""
"MALARIA_15049","PUBLISHED","1993","EUR","BLR","","11","11.00000","","",""
"MALARIA_15049","PUBLISHED","1993","EUR","BEL","","320","320.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AMR","BLZ","","8586","8586.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AFR","BEN","","403327","403327.00000","","",""
"MALARIA_15049","PUBLISHED","1993","SEAR","BTN","","28116","28116.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AMR","BOL","","27475","27475.00000","","",""
"MALARIA_15049","PUBLISHED","1993","EUR","BIH","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1993","AFR","BWA","","55331","55331.00000","","",""
"MALARIA_15049","PUBLISHED","1994","EMR","AFG","","88302","88302.00000","","",""
"MALARIA_15049","PUBLISHED","1994","EUR","ALB","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1994","AFR","DZA","","206","206.00000","","",""
"MALARIA_15049","PUBLISHED","1994","AFR","AGO","","667376","667376.00000","","",""
"MALARIA_15049","PUBLISHED","1994","AMR","ARG","","948","948.00000","","",""
"MALARIA_15049","PUBLISHED","1994","EUR","ARM","","196","196.00000","","",""
"MALARIA_15049","PUBLISHED","1994","EUR","AUT","","76","76.00000","","",""
"MALARIA_15049","PUBLISHED","1994","EUR","AZE","","667","667.00000","","",""
"MALARIA_15049","PUBLISHED","1994","EMR","BHR","","204","204.00000","","",""
"MALARIA_15049","PUBLISHED","1994","SEAR","BGD","","166564","166564.00000","","",""
"MALARIA_15049","PUBLISHED","1994","EUR","BLR","","6","6.00000","","",""
"MALARIA_15049","PUBLISHED","1994","AMR","BLZ","","9957","9957.00000","","",""
"MALARIA_15049","PUBLISHED","1994","AFR","BEN","","546827","546827.00000","","",""
"MALARIA_15049","PUBLISHED","1994","SEAR","BTN","","39852","39852.00000","","",""
"MALARIA_15049","PUBLISHED","1994","AMR","BOL","","34749","34749.00000","","",""
"MALARIA_15049","PUBLISHED","1994","EUR","BIH","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1994","AFR","BWA","","29591","29591.00000","","",""
"MALARIA_15049","PUBLISHED","1995","EUR","ALB","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1995","AFR","DZA","","107","107.00000","","",""
"MALARIA_15049","PUBLISHED","1995","AFR","AGO","","156603","156603.00000","","",""
"MALARIA_15049","PUBLISHED","1995","AMR","ARG","","1065","1065.00000","","",""
"MALARIA_15049","PUBLISHED","1995","EUR","ARM","","502","502.00000","","",""
"MALARIA_15049","PUBLISHED","1995","EUR","AUT","","81","81.00000","","",""
"MALARIA_15049","PUBLISHED","1995","EUR","AZE","","2840","2840.00000","","",""
"MALARIA_15049","PUBLISHED","1995","EMR","BHR","","192","192.00000","","",""
"MALARIA_15049","PUBLISHED","1995","SEAR","BGD","","152729","152729.00000","","",""
"MALARIA_15049","PUBLISHED","1995","EUR","BLR","","17","17.00000","","",""
"MALARIA_15049","PUBLISHED","1995","EUR","BEL","","5","5.00000","","",""
"MALARIA_15049","PUBLISHED","1995","AMR","BLZ","","9413","9413.00000","","",""
"MALARIA_15049","PUBLISHED","1995","AFR","BEN","","579300","579300.00000","","",""
"MALARIA_15049","PUBLISHED","1995","SEAR","BTN","","23188","23188.00000","","",""
"MALARIA_15049","PUBLISHED","1995","AMR","BOL","","46911","46911.00000","","",""
"MALARIA_15049","PUBLISHED","1995","EUR","BIH","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1996","EMR","AFG","","303955","303955.00000","","",""
"MALARIA_15049","PUBLISHED","1996","EUR","ALB","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1996","AFR","DZA","","221","221.00000","","",""
"MALARIA_15049","PUBLISHED","1996","EUR","AND","","1","1.00000","","",""
"MALARIA_15049","PUBLISHED","1996","AMR","ARG","","2048","2048.00000","","",""
"MALARIA_15049","PUBLISHED","1996","EUR","ARM","","347","347.00000","","",""
"MALARIA_15049","PUBLISHED","1996","EUR","AUT","","87","87.00000","","",""
"MALARIA_15049","PUBLISHED","1996","EUR","AZE","","13135","13135.00000","","",""
"MALARIA_15049","PUBLISHED","1996","EMR","BHR","","172","172.00000","","",""
"MALARIA_15049","PUBLISHED","1996","SEAR","BGD","","100864","100864.00000","","",""
"MALARIA_15049","PUBLISHED","1996","EUR","BLR","","8","8.00000","","",""
"MALARIA_15049","PUBLISHED","1996","EUR","BEL","","10","10.00000","","",""
"MALARIA_15049","PUBLISHED","1996","AMR","BLZ","","6605","6605.00000","","",""
"MALARIA_15049","PUBLISHED","1996","AFR","BEN","","623396","623396.00000","","",""
"MALARIA_15049","PUBLISHED","1996","SEAR","BTN","","15696","15696.00000","","",""
"MALARIA_15049","PUBLISHED","1996","AMR","BOL","","64012","64012.00000","","",""
"MALARIA_15049","PUBLISHED","1996","EUR","BIH","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1996","AFR","BWA","","80004","80004.00000","","",""
"MALARIA_15049","PUBLISHED","1997","EMR","AFG","","202767","202767.00000","","",""
"MALARIA_15049","PUBLISHED","1997","EUR","ALB","","1","1.00000","","",""
"MALARIA_15049","PUBLISHED","1997","AFR","DZA","","197","197.00000","","",""
"MALARIA_15049","PUBLISHED","1997","EUR","AND","","1","1.00000","","",""
"MALARIA_15049","PUBLISHED","1997","AFR","AGO","","893232","893232.00000","","",""
"MALARIA_15049","PUBLISHED","1997","AMR","ARG","","592","592.00000","","",""
"MALARIA_15049","PUBLISHED","1997","EUR","ARM","","841","841.00000","","",""
"MALARIA_15049","PUBLISHED","1997","EUR","AUT","","75","75.00000","","",""
"MALARIA_15049","PUBLISHED","1997","EUR","AZE","","9911","9911.00000","","",""
"MALARIA_15049","PUBLISHED","1997","EMR","BHR","","162","162.00000","","",""
"MALARIA_15049","PUBLISHED","1997","SEAR","BGD","","68594","68594.00000","","",""
"MALARIA_15049","PUBLISHED","1997","EUR","BLR","","11","11.00000","","",""
"MALARIA_15049","PUBLISHED","1997","EUR","BEL","","6","6.00000","","",""
"MALARIA_15049","PUBLISHED","1997","AMR","BLZ","","4014","4014.00000","","",""
"MALARIA_15049","PUBLISHED","1997","AFR","BEN","","670857","670857.00000","","",""
"MALARIA_15049","PUBLISHED","1997","SEAR","BTN","","9029","9029.00000","","",""
"MALARIA_15049","PUBLISHED","1997","AMR","BOL","","51478","51478.00000","","",""
"MALARIA_15049","PUBLISHED","1997","EUR","BIH","","3","3.00000","","",""
"MALARIA_15049","PUBLISHED","1997","AFR","BWA","","101887","101887.00000","","",""
"MALARIA_15049","PUBLISHED","1998","EMR","AFG","","288070","288070.00000","","",""
"MALARIA_15049","PUBLISHED","1998","EUR","ALB","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1998","EUR","AND","","2","2.00000","","",""
"MALARIA_15049","PUBLISHED","1998","AFR","AGO","","1169028","1169028.00000","","",""
"MALARIA_15049","PUBLISHED","1998","AMR","ARG","","339","339.00000","","",""
"MALARIA_15049","PUBLISHED","1998","EUR","ARM","","1156","1156.00000","","",""
"MALARIA_15049","PUBLISHED","1998","EUR","AUT","","80","80.00000","","",""
"MALARIA_15049","PUBLISHED","1998","EUR","AZE","","5175","5175.00000","","",""
"MALARIA_15049","PUBLISHED","1998","EMR","BHR","","135","135.00000","","",""
"MALARIA_15049","PUBLISHED","1998","SEAR","BGD","","60023","60023.00000","","",""
"MALARIA_15049","PUBLISHED","1998","EUR","BLR","","13","13.00000","","",""
"MALARIA_15049","PUBLISHED","1998","EUR","BEL","","334","334.00000","","",""
"MALARIA_15049","PUBLISHED","1998","AMR","BLZ","","2614","2614.00000","","",""
"MALARIA_15049","PUBLISHED","1998","AFR","BEN","","650025","650025.00000","","",""
"MALARIA_15049","PUBLISHED","1998","SEAR","BTN","","7693","7693.00000","","",""
"MALARIA_15049","PUBLISHED","1998","AMR","BOL","","73913","73913.00000","","",""
"MALARIA_15049","PUBLISHED","1998","EUR","BIH","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1998","AFR","BWA","","59696","59696.00000","","",""
"MALARIA_15049","PUBLISHED","1999","EUR","ALB","","1","1.00000","","",""
"MALARIA_15049","PUBLISHED","1999","AFR","DZA","","701","701.00000","","",""
"MALARIA_15049","PUBLISHED","1999","EUR","AND","","1","1.00000","","",""
"MALARIA_15049","PUBLISHED","1999","AFR","AGO","","1471993","1471993.00000","","",""
"MALARIA_15049","PUBLISHED","1999","AMR","ARG","","222","222.00000","","",""
"MALARIA_15049","PUBLISHED","1999","EUR","ARM","","616","616.00000","","",""
"MALARIA_15049","PUBLISHED","1999","EUR","AUT","","93","93.00000","","",""
"MALARIA_15049","PUBLISHED","1999","EUR","AZE","","2315","2315.00000","","",""
"MALARIA_15049","PUBLISHED","1999","EMR","BHR","","82","82.00000","","",""
"MALARIA_15049","PUBLISHED","1999","SEAR","BGD","","63723","63723.00000","","",""
"MALARIA_15049","PUBLISHED","1999","EUR","BLR","","12","12.00000","","",""
"MALARIA_15049","PUBLISHED","1999","EUR","BEL","","369","369.00000","","",""
"MALARIA_15049","PUBLISHED","1999","AMR","BLZ","","1850","1850.00000","","",""
"MALARIA_15049","PUBLISHED","1999","AFR","BEN","","709348","709348.00000","","",""
"MALARIA_15049","PUBLISHED","1999","SEAR","BTN","","12237","12237.00000","","",""
"MALARIA_15049","PUBLISHED","1999","SEAR","BTN","AGE0-4","1318","1318.00000","","",""
"MALARIA_15049","PUBLISHED","1999","AMR","BOL","","50037","50037.00000","","",""
"MALARIA_15049","PUBLISHED","1999","EUR","BIH","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","1999","AFR","BWA","","72640","72640.00000","","",""
"MALARIA_15049","PUBLISHED","2000","EUR","ALB","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","2000","AFR","DZA","","541","541.00000","","",""
"MALARIA_15049","PUBLISHED","2000","EUR","AND","","0","0.00000","","",""
"MALARIA_15049","PUBLISHED","2000","AFR","AGO","","1635884","1635884.00000","","",""
"MALARIA_15049","PUBLISHED","2000","AMR","ARG","","440","440.00000","","",""
"MALARIA_15049","PUBLISHED","2000","EUR","ARM","","141","141.00000","","",""
"MALARIA_15049","PUBLISHED","2000","EUR","AUT","","62","62.00000","","",""
"MALARIA_15049","PUBLISHED","2000","EUR","AZE","","1526","1526.00000","","",""
"MALARIA_15049","PUBLISHED","2000","EMR","BHR","","58","58.00000","","",""
"MALARIA_15049","PUBLISHED","2000","SEAR","BGD","","60396","60396.00000","","",""
"MALARIA_15049","PUBLISHED","2000","EUR","BLR","","20","20.00000","","",""
"MALARIA_15049","PUBLISHED","2000","EUR","BEL","","337","337.00000","","",""
"MALARIA_15049","PUBLISHED","2000","AMR","BLZ","","1486","1486.00000","","",""
"MALARIA_15049","PUBLISHED","2000","AFR","BEN","AGE0-4","279455","279455.00000","","",""
"MALARIA_15049","PUBLISHED","2000","AFR","BEN","","707408","707408.00000","","",""
"MALARIA_15049","PUBLISHED","2000","SEAR","BTN","","5935","5935.00000","","",""
"MALARIA_15049","PUBLISHED","2000","AMR","BOL","","31468","31468.00000","","",""
"MALARIA_15049","PUBLISHED","2000","EUR","BIH","","1","1.00000","","",""
"MALARIA_15049","PUBLISHED","2000","AFR","BWA","","71403","71403.00000","","",""
"MALARIA_15049","PUBLISHED","2001","EMR","AFG","","364243","364243.00000","","",""
"MALARIA_15049","PUBLISHED","2001","EUR","ALB","","0","0.00000","","",""
