"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MALARIA_15288","PUBLISHED","2001","EUR","ARM","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2001","EUR","AZE","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2001","AFR","BFA","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2001","WPR","KHM","643000","643000.00000","","",""
"MALARIA_15288","PUBLISHED","2001","AFR","CAF","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2001","AMR","DOM","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2001","AMR","SLV","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2001","AFR","ERI","913000","913000.00000","","",""
"MALARIA_15288","PUBLISHED","2001","AFR","ETH","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2001","AFR","GIN","7500","7500.00000","","",""
"MALARIA_15288","PUBLISHED","2001","SEAR","IND","16266608","16266608.00000","","",""
"MALARIA_15288","PUBLISHED","2001","EUR","KAZ","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2001","AFR","KEN","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2001","EUR","KGZ","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2001","WPR","LAO","377642","377642.00000","","",""
"MALARIA_15288","PUBLISHED","2001","SEAR","NPL","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2001","AFR","NGA","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2001","SEAR","LKA","258222","258222.00000","","",""
"MALARIA_15288","PUBLISHED","2001","EUR","TJK","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2001","EUR","UZB","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2002","EUR","ARM","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2002","EUR","AZE","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2002","AFR","BFA","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2002","WPR","KHM","900000","900000.00000","","",""
"MALARIA_15288","PUBLISHED","2002","AFR","CAF","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2002","AFR","TCD","125649","125649.00000","","",""
"MALARIA_15288","PUBLISHED","2002","AMR","DOM","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2002","AMR","SLV","0","0.00000","","",""
"MALARIA_15288","PUBLISHED","2002","AFR","ERI","1307103","1307103.00000","","",""
