"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"MALARIA_30526","PUBLISHED","2003","AFR","GHA","TOTL","1","1.00000","","",""
"MALARIA_30526","PUBLISHED","2003","AFR","GHA","RUR","1","1.00000","","",""
"MALARIA_30526","PUBLISHED","2003","AFR","GHA","","1","1.00000","","",""
"MALARIA_30526","PUBLISHED","2003","AFR","KEN","TOTL","4","4.00000","","",""
"MALARIA_30526","PUBLISHED","2003","AFR","KEN","RUR","4","4.00000","","",""
"MALARIA_30526","PUBLISHED","2003","AFR","KEN","","4","4.00000","","",""
"MALARIA_30526","PUBLISHED","2003","AFR","NGA","TOTL","1","1.00000","","",""
"MALARIA_30526","PUBLISHED","2004","AFR","MWI","TOTL","43","43.00000","","",""
"MALARIA_30526","PUBLISHED","2004","AFR","MWI","RUR","42","42.00000","","",""
"MALARIA_30526","PUBLISHED","2004","AFR","MWI","","51","51.00000","","",""
"MALARIA_30526","PUBLISHED","2004","AFR","TZA","TOTL","22","22.00000","","",""
"MALARIA_30526","PUBLISHED","2004","AFR","TZA","RUR","20","20.00000","","",""
"MALARIA_30526","PUBLISHED","2004","AFR","TZA","","28","28.00000","","",""
"MALARIA_30526","PUBLISHED","2005","AFR","GIN","TOTL","3","3.00000","","",""
"MALARIA_30526","PUBLISHED","2005","AFR","GIN","RUR","1","1.00000","","",""
"MALARIA_30526","PUBLISHED","2005","AFR","GIN","","8","8.00000","","",""
"MALARIA_30526","PUBLISHED","2005","AFR","RWA","TOTL","0","0.00000","","",""
"MALARIA_30526","PUBLISHED","2005","AFR","RWA","RUR","0","0.00000","","",""
"MALARIA_30526","PUBLISHED","2005","AFR","RWA","","1","1.00000","","",""
"MALARIA_30526","PUBLISHED","2005","AFR","SEN","TOTL","9","9.00000","","",""
"MALARIA_30526","PUBLISHED","2005","AFR","SEN","RUR","8","8.00000","","",""
"MALARIA_30526","PUBLISHED","2005","AFR","SEN","","11","11.00000","","",""
"MALARIA_30526","PUBLISHED","2005","AFR","SLE","TOTL","2","2.00000","","",""
"MALARIA_30526","PUBLISHED","2005","AFR","SLE","RUR","1","1.00000","","",""
"MALARIA_30526","PUBLISHED","2005","AFR","SLE","","5","5.00000","","",""
"MALARIA_30526","PUBLISHED","2005","AFR","ZWE","TOTL","6","6.00000","","",""
"MALARIA_30526","PUBLISHED","2005","AFR","ZWE","RUR","7","7.00000","","",""
"MALARIA_30526","PUBLISHED","2005","AFR","ZWE","","3","3.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","AGO","TOTL","2","2.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","AGO","RUR","1","1.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","AGO","","4","4.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","BEN","TOTL","2","2.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","BEN","RUR","3","3.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","BEN","","3","3.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","BFA","TOTL","1","1.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","BFA","RUR","1","1.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","BFA","","2","2.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","CMR","TOTL","6","6.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","CMR","RUR","4","4.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","CMR","","8","8.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","CAF","TOTL","9","9.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","CAF","RUR","5","5.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","CAF","","15","15.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","CIV","TOTL","8","8.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","CIV","RUR","7","7.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","CIV","","10","10.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","GMB","TOTL","32","32.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","GMB","RUR","33","33.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","GMB","","30","30.00000","","",""
"MALARIA_30526","PUBLISHED","2006","AFR","GHA","TOTL","27","27.00000","","",""
