"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2015","EMR","AFG","3.0 [2.4-3.6]","3.01959","2.40458","3.63460",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2006-2007","AFR","AGO","4.8 [3.4-6.2]","4.77960","3.40086","6.15835",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2011","AFR","AGO","6.4 [5.5-7.3]","6.43585","5.54651","7.32519",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2010","AFR","BDI","23.8 [21.4-26.3]","23.84809","21.38578","26.31041",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2012","AFR","BDI","28.8 [25.4-32.2]","28.81064","25.38785","32.23344",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2006","AFR","BEN","7.7 [7.1-8.3]","7.69823","7.06869","8.32776",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2011-2012","AFR","BEN","47.2 [45.8-48.5]","47.16088","45.77703","48.54472",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2003","AFR","BFA","2.4 [1.8-2.9]","2.35194","1.78315","2.92073",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2010","AFR","BFA","19.3 [17.8-20.8]","19.31070","17.80626","20.81514",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2014","AFR","BFA","49.7 [47.8-51.7]","49.74938","47.76580","51.73296",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2005","AFR","CIV","1.2 [0.7-1.8]","1.24253","0.66524","1.81982",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2011-2012","AFR","CIV","33.3 [31.4-35.2]","33.29938","31.43514","35.16363",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2004","AFR","CMR","1.5 [1.2-1.8]","1.50732","1.19856","1.81609",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2011","AFR","CMR","11.9 [10.8-13.0]","11.92225","10.84035","13.00415",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2007","AFR","COD","1.6 [1.2-2.1]","1.64343","1.21217","2.07469",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2013-2014","AFR","COD","25.6 [23.9-27.3]","25.61411","23.89951","27.32871",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2005","AFR","COG","2.9 [2.3-3.6]","2.94518","2.25381","3.63655",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2011-2012","AFR","COG","11.7 [10.3-13.1]","11.71059","10.28357","13.13762",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2012","AFR","COM","28.7 [26.0-31.3]","28.65456","25.99793","31.31119",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2005","AFR","ETH","1.0 [0.7-1.2]","0.98584","0.74827","1.22341",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2012","AFR","GAB","18.7 [17.3-20.2]","18.73077","17.26032","20.20122",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2003","AFR","GHA","1.6 [1.3-2.0]","1.64458","1.28038","2.00878",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2008","AFR","GHA","17.4 [16.3-18.6]","17.41366","16.25358","18.57373",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2014","AFR","GHA","51.2 [48.9-53.4]","51.17408","48.90650","53.44166",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2005","AFR","GIN","0.7 [0.5-1.0]","0.72042","0.48370","0.95715",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2012","AFR","GIN","11.3 [9.7-12.9]","11.28576","9.71309","12.85843",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2013","AFR","GMB","44.0 [39.7-48.4]","44.04916","39.68707","48.41124",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2005","AMR","GUY","3.2 [1.6-4.7]","3.19193","1.64740","4.73647",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2009","AMR","GUY","19.0 [16.2-21.8]","19.00886","16.24074","21.77698",""
"MALARIA_HOUSEHOLDITNIRS","PUBLISHED","2012","AMR","HTI","6.9 [6.0-7.8]","6.91490","6.02828","7.80153",""
