"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MALARIA_ITNPOP","PUBLISHED","2000","AFR","AGO","2.09 [1.90-2.28]","2.08766","1.89939","2.28389",""
"MALARIA_ITNPOP","PUBLISHED","2001","AFR","AGO","2.47 [2.15-2.77]","2.46523","2.15124","2.77126",""
"MALARIA_ITNPOP","PUBLISHED","2002","AFR","AGO","3.34 [2.60-4.11]","3.33718","2.59698","4.11280",""
"MALARIA_ITNPOP","PUBLISHED","2003","AFR","AGO","4.21 [2.79-5.58]","4.21217","2.78996","5.58402",""
"MALARIA_ITNPOP","PUBLISHED","2004","AFR","AGO","3.49 [2.37-4.80]","3.49292","2.37077","4.79676",""
"MALARIA_ITNPOP","PUBLISHED","2005","AFR","AGO","2.81 [2.10-4.14]","2.80581","2.10029","4.13574",""
"MALARIA_ITNPOP","PUBLISHED","2006","AFR","AGO","5.70 [3.49-8.93]","5.70116","3.48979","8.92563",""
"MALARIA_ITNPOP","PUBLISHED","2007","AFR","AGO","13.81 [8.79-21.26]","13.80624","8.78562","21.26458",""
"MALARIA_ITNPOP","PUBLISHED","2008","AFR","AGO","21.07 [12.97-30.96]","21.06511","12.97012","30.96433",""
"MALARIA_ITNPOP","PUBLISHED","2009","AFR","AGO","19.39 [11.70-28.30]","19.38971","11.69816","28.30169",""
"MALARIA_ITNPOP","PUBLISHED","2010","AFR","AGO","15.13 [9.39-21.99]","15.13316","9.39251","21.98597",""
"MALARIA_ITNPOP","PUBLISHED","2011","AFR","AGO","14.39 [10.75-19.12]","14.38505","10.75113","19.12138",""
"MALARIA_ITNPOP","PUBLISHED","2012","AFR","AGO","14.21 [8.65-25.01]","14.21173","8.64960","25.01228",""
"MALARIA_ITNPOP","PUBLISHED","2013","AFR","AGO","15.49 [5.79-35.21]","15.49445","5.79497","35.21137",""
"MALARIA_ITNPOP","PUBLISHED","2014","AFR","AGO","23.39 [10.61-40.51]","23.39077","10.61060","40.50527",""
"MALARIA_ITNPOP","PUBLISHED","2015","AFR","AGO","18.52 [13.13-24.76]","18.51899","13.13388","24.75763",""
"MALARIA_ITNPOP","PUBLISHED","2016","AFR","AGO","18.45 [12.15-26.40]","18.44664","12.15459","26.40136",""
"MALARIA_ITNPOP","PUBLISHED","2017","AFR","AGO","28.10 [16.41-42.89]","28.10161","16.41429","42.88892",""
"MALARIA_ITNPOP","PUBLISHED","2018","AFR","AGO","33.15 [18.72-51.47]","33.15042","18.71544","51.47145",""
