"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MCV2","PUBLISHED","2000","AFR","","","5","5.00000","","",""
"MCV2","PUBLISHED","2001","AFR","","","5","5.00000","","",""
"MCV2","PUBLISHED","2002","AFR","","","5","5.00000","","",""
"MCV2","PUBLISHED","2003","AFR","","","5","5.00000","","",""
"MCV2","PUBLISHED","2004","AFR","","","5","5.00000","","",""
"MCV2","PUBLISHED","2005","AFR","","","4","4.00000","","",""
"MCV2","PUBLISHED","2006","AFR","","","5","5.00000","","",""
"MCV2","PUBLISHED","2007","AFR","","","4","4.00000","","",""
"MCV2","PUBLISHED","2008","AFR","","","4","4.00000","","",""
"MCV2","PUBLISHED","2009","AFR","","","5","5.00000","","",""
"MCV2","PUBLISHED","2010","AFR","","","4","4.00000","","",""
"MCV2","PUBLISHED","2011","AFR","","","4","4.00000","","",""
"MCV2","PUBLISHED","2012","AFR","","","6","6.00000","","",""
"MCV2","PUBLISHED","2013","AFR","","","7","7.00000","","",""
"MCV2","PUBLISHED","2014","AFR","","","10","10.00000","","",""
"MCV2","PUBLISHED","2015","AFR","","","18","18.00000","","",""
"MCV2","PUBLISHED","2016","AFR","","","23","23.00000","","",""
"MCV2","PUBLISHED","2017","AFR","","","24","24.00000","","",""
"MCV2","PUBLISHED","2018","AFR","","","25","25.00000","","",""
"MCV2","PUBLISHED","2019","AFR","","","33","33.00000","","",""
"MCV2","PUBLISHED","2000","AMR","","","65","65.00000","","",""
"MCV2","PUBLISHED","2001","AMR","","","66","66.00000","","",""
"MCV2","PUBLISHED","2002","AMR","","","63","63.00000","","",""
"MCV2","PUBLISHED","2003","AMR","","","62","62.00000","","",""
"MCV2","PUBLISHED","2004","AMR","","","63","63.00000","","",""
"MCV2","PUBLISHED","2005","AMR","","","62","62.00000","","",""
"MCV2","PUBLISHED","2006","AMR","","","61","61.00000","","",""
"MCV2","PUBLISHED","2007","AMR","","","60","60.00000","","",""
"MCV2","PUBLISHED","2008","AMR","","","62","62.00000","","",""
"MCV2","PUBLISHED","2009","AMR","","","66","66.00000","","",""
"MCV2","PUBLISHED","2010","AMR","","","67","67.00000","","",""
"MCV2","PUBLISHED","2011","AMR","","","72","72.00000","","",""
"MCV2","PUBLISHED","2012","AMR","","","73","73.00000","","",""
"MCV2","PUBLISHED","2013","AMR","","","70","70.00000","","",""
"MCV2","PUBLISHED","2014","AMR","","","79","79.00000","","",""
"MCV2","PUBLISHED","2015","AMR","","","78","78.00000","","",""
"MCV2","PUBLISHED","2016","AMR","","","80","80.00000","","",""
"MCV2","PUBLISHED","2017","AMR","","","76","76.00000","","",""
"MCV2","PUBLISHED","2018","AMR","","","84","84.00000","","",""
"MCV2","PUBLISHED","2019","AMR","","","75","75.00000","","",""
"MCV2","PUBLISHED","2000","EMR","","","28","28.00000","","",""
"MCV2","PUBLISHED","2001","EMR","","","35","35.00000","","",""
"MCV2","PUBLISHED","2002","EMR","","","35","35.00000","","",""
"MCV2","PUBLISHED","2003","EMR","","","34","34.00000","","",""
"MCV2","PUBLISHED","2004","EMR","","","38","38.00000","","",""
"MCV2","PUBLISHED","2005","EMR","","","40","40.00000","","",""
"MCV2","PUBLISHED","2006","EMR","","","41","41.00000","","",""
"MCV2","PUBLISHED","2007","EMR","","","41","41.00000","","",""
"MCV2","PUBLISHED","2008","EMR","","","40","40.00000","","",""
"MCV2","PUBLISHED","2009","EMR","","","50","50.00000","","",""
"MCV2","PUBLISHED","2010","EMR","","","52","52.00000","","",""
"MCV2","PUBLISHED","2011","EMR","","","54","54.00000","","",""
"MCV2","PUBLISHED","2012","EMR","","","56","56.00000","","",""
"MCV2","PUBLISHED","2013","EMR","","","59","59.00000","","",""
"MCV2","PUBLISHED","2014","EMR","","","64","64.00000","","",""
"MCV2","PUBLISHED","2015","EMR","","","68","68.00000","","",""
"MCV2","PUBLISHED","2016","EMR","","","74","74.00000","","",""
"MCV2","PUBLISHED","2017","EMR","","","75","75.00000","","",""
"MCV2","PUBLISHED","2018","EMR","","","74","74.00000","","",""
"MCV2","PUBLISHED","2019","EMR","","","75","75.00000","","",""
"MCV2","PUBLISHED","2000","EUR","","","48","48.00000","","",""
"MCV2","PUBLISHED","2001","EUR","","","62","62.00000","","",""
"MCV2","PUBLISHED","2002","EUR","","","70","70.00000","","",""
"MCV2","PUBLISHED","2003","EUR","","","73","73.00000","","",""
"MCV2","PUBLISHED","2004","EUR","","","77","77.00000","","",""
"MCV2","PUBLISHED","2005","EUR","","","76","76.00000","","",""
"MCV2","PUBLISHED","2006","EUR","","","75","75.00000","","",""
"MCV2","PUBLISHED","2007","EUR","","","76","76.00000","","",""
"MCV2","PUBLISHED","2008","EUR","","","75","75.00000","","",""
"MCV2","PUBLISHED","2009","EUR","","","73","73.00000","","",""
"MCV2","PUBLISHED","2010","EUR","","","80","80.00000","","",""
"MCV2","PUBLISHED","2011","EUR","","","82","82.00000","","",""
"MCV2","PUBLISHED","2012","EUR","","","83","83.00000","","",""
"MCV2","PUBLISHED","2013","EUR","","","89","89.00000","","",""
"MCV2","PUBLISHED","2014","EUR","","","89","89.00000","","",""
"MCV2","PUBLISHED","2015","EUR","","","89","89.00000","","",""
"MCV2","PUBLISHED","2016","EUR","","","88","88.00000","","",""
"MCV2","PUBLISHED","2017","EUR","","","90","90.00000","","",""
"MCV2","PUBLISHED","2018","EUR","","","91","91.00000","","",""
"MCV2","PUBLISHED","2019","EUR","","","92","92.00000","","",""
"MCV2","PUBLISHED","2000","GLOBAL","WB_WORLD_INCOME","","18","18.00000","","",""
"MCV2","PUBLISHED","2001","GLOBAL","WB_WORLD_INCOME","","20","20.00000","","",""
"MCV2","PUBLISHED","2002","GLOBAL","WB_WORLD_INCOME","","20","20.00000","","",""
"MCV2","PUBLISHED","2003","GLOBAL","WB_WORLD_INCOME","","21","21.00000","","",""
"MCV2","PUBLISHED","2004","GLOBAL","WB_WORLD_INCOME","","22","22.00000","","",""
"MCV2","PUBLISHED","2005","GLOBAL","WB_WORLD_INCOME","","33","33.00000","","",""
"MCV2","PUBLISHED","2006","GLOBAL","WB_WORLD_INCOME","","35","35.00000","","",""
"MCV2","PUBLISHED","2007","GLOBAL","WB_WORLD_INCOME","","36","36.00000","","",""
"MCV2","PUBLISHED","2008","GLOBAL","WB_WORLD_INCOME","","38","38.00000","","",""
"MCV2","PUBLISHED","2009","GLOBAL","WB_WORLD_INCOME","","41","41.00000","","",""
"MCV2","PUBLISHED","2010","GLOBAL","WB_WORLD_INCOME","","42","42.00000","","",""
"MCV2","PUBLISHED","2011","GLOBAL","WB_WORLD_INCOME","","48","48.00000","","",""
"MCV2","PUBLISHED","2012","GLOBAL","WB_WORLD_INCOME","","51","51.00000","","",""
"MCV2","PUBLISHED","2013","GLOBAL","WB_WORLD_INCOME","","56","56.00000","","",""
"MCV2","PUBLISHED","2014","GLOBAL","WB_WORLD_INCOME","","59","59.00000","","",""
"MCV2","PUBLISHED","2015","GLOBAL","WB_WORLD_INCOME","","63","63.00000","","",""
"MCV2","PUBLISHED","2016","GLOBAL","WB_WORLD_INCOME","","67","67.00000","","",""
"MCV2","PUBLISHED","2017","GLOBAL","WB_WORLD_INCOME","","68","68.00000","","",""
"MCV2","PUBLISHED","2018","GLOBAL","WB_WORLD_INCOME","","69","69.00000","","",""
"MCV2","PUBLISHED","2019","GLOBAL","WB_WORLD_INCOME","","71","71.00000","","",""
"MCV2","PUBLISHED","2000","SEAR","","","3","3.00000","","",""
"MCV2","PUBLISHED","2001","SEAR","","","3","3.00000","","",""
"MCV2","PUBLISHED","2002","SEAR","","","3","3.00000","","",""
"MCV2","PUBLISHED","2003","SEAR","","","6","6.00000","","",""
"MCV2","PUBLISHED","2004","SEAR","","","7","7.00000","","",""
"MCV2","PUBLISHED","2005","SEAR","","","6","6.00000","","",""
"MCV2","PUBLISHED","2006","SEAR","","","9","9.00000","","",""
"MCV2","PUBLISHED","2007","SEAR","","","12","12.00000","","",""
"MCV2","PUBLISHED","2008","SEAR","","","14","14.00000","","",""
"MCV2","PUBLISHED","2009","SEAR","","","14","14.00000","","",""
"MCV2","PUBLISHED","2010","SEAR","","","15","15.00000","","",""
"MCV2","PUBLISHED","2011","SEAR","","","35","35.00000","","",""
"MCV2","PUBLISHED","2012","SEAR","","","43","43.00000","","",""
"MCV2","PUBLISHED","2013","SEAR","","","59","59.00000","","",""
"MCV2","PUBLISHED","2014","SEAR","","","59","59.00000","","",""
"MCV2","PUBLISHED","2015","SEAR","","","66","66.00000","","",""
"MCV2","PUBLISHED","2016","SEAR","","","75","75.00000","","",""
"MCV2","PUBLISHED","2017","SEAR","","","79","79.00000","","",""
"MCV2","PUBLISHED","2018","SEAR","","","81","81.00000","","",""
"MCV2","PUBLISHED","2019","SEAR","","","83","83.00000","","",""
"MCV2","PUBLISHED","2000","WPR","","","2","2.00000","","",""
"MCV2","PUBLISHED","2001","WPR","","","2","2.00000","","",""
"MCV2","PUBLISHED","2002","WPR","","","3","3.00000","","",""
"MCV2","PUBLISHED","2003","WPR","","","3","3.00000","","",""
"MCV2","PUBLISHED","2004","WPR","","","4","4.00000","","",""
"MCV2","PUBLISHED","2005","WPR","","","65","65.00000","","",""
"MCV2","PUBLISHED","2006","WPR","","","72","72.00000","","",""
"MCV2","PUBLISHED","2007","WPR","","","72","72.00000","","",""
"MCV2","PUBLISHED","2008","WPR","","","82","82.00000","","",""
"MCV2","PUBLISHED","2009","WPR","","","87","87.00000","","",""
"MCV2","PUBLISHED","2010","WPR","","","87","87.00000","","",""
"MCV2","PUBLISHED","2011","WPR","","","89","89.00000","","",""
"MCV2","PUBLISHED","2012","WPR","","","89","89.00000","","",""
"MCV2","PUBLISHED","2013","WPR","","","90","90.00000","","",""
"MCV2","PUBLISHED","2014","WPR","","","91","91.00000","","",""
"MCV2","PUBLISHED","2015","WPR","","","91","91.00000","","",""
"MCV2","PUBLISHED","2016","WPR","","","91","91.00000","","",""
"MCV2","PUBLISHED","2017","WPR","","","91","91.00000","","",""
"MCV2","PUBLISHED","2018","WPR","","","91","91.00000","","",""
"MCV2","PUBLISHED","2019","WPR","","","91","91.00000","","",""
"MCV2","PUBLISHED","2000","","WB_LI","","3","3.00000","","",""
"MCV2","PUBLISHED","2001","","WB_LI","","4","4.00000","","",""
"MCV2","PUBLISHED","2002","","WB_LI","","4","4.00000","","",""
"MCV2","PUBLISHED","2003","","WB_LI","","4","4.00000","","",""
"MCV2","PUBLISHED","2004","","WB_LI","","4","4.00000","","",""
"MCV2","PUBLISHED","2005","","WB_LI","","5","5.00000","","",""
"MCV2","PUBLISHED","2006","","WB_LI","","6","6.00000","","",""
"MCV2","PUBLISHED","2007","","WB_LI","","5","5.00000","","",""
"MCV2","PUBLISHED","2008","","WB_LI","","8","8.00000","","",""
"MCV2","PUBLISHED","2009","","WB_LI","","8","8.00000","","",""
"MCV2","PUBLISHED","2010","","WB_LI","","9","9.00000","","",""
"MCV2","PUBLISHED","2011","","WB_LI","","8","8.00000","","",""
"MCV2","PUBLISHED","2012","","WB_LI","","9","9.00000","","",""
"MCV2","PUBLISHED","2013","","WB_LI","","12","12.00000","","",""
"MCV2","PUBLISHED","2014","","WB_LI","","13","13.00000","","",""
"MCV2","PUBLISHED","2015","","WB_LI","","18","18.00000","","",""
"MCV2","PUBLISHED","2016","","WB_LI","","23","23.00000","","",""
"MCV2","PUBLISHED","2017","","WB_LI","","25","25.00000","","",""
"MCV2","PUBLISHED","2018","","WB_LI","","27","27.00000","","",""
"MCV2","PUBLISHED","2019","","WB_LI","","36","36.00000","","",""
"MCV2","PUBLISHED","2000","","WB_LMI","","7","7.00000","","",""
"MCV2","PUBLISHED","2001","","WB_LMI","","7","7.00000","","",""
"MCV2","PUBLISHED","2002","","WB_LMI","","7","7.00000","","",""
"MCV2","PUBLISHED","2003","","WB_LMI","","7","7.00000","","",""
"MCV2","PUBLISHED","2004","","WB_LMI","","8","8.00000","","",""
"MCV2","PUBLISHED","2005","","WB_LMI","","8","8.00000","","",""
"MCV2","PUBLISHED","2006","","WB_LMI","","8","8.00000","","",""
"MCV2","PUBLISHED","2007","","WB_LMI","","8","8.00000","","",""
"MCV2","PUBLISHED","2008","","WB_LMI","","10","10.00000","","",""
"MCV2","PUBLISHED","2009","","WB_LMI","","13","13.00000","","",""
"MCV2","PUBLISHED","2010","","WB_LMI","","13","13.00000","","",""
"MCV2","PUBLISHED","2011","","WB_LMI","","27","27.00000","","",""
"MCV2","PUBLISHED","2012","","WB_LMI","","33","33.00000","","",""
"MCV2","PUBLISHED","2013","","WB_LMI","","43","43.00000","","",""
"MCV2","PUBLISHED","2014","","WB_LMI","","50","50.00000","","",""
"MCV2","PUBLISHED","2015","","WB_LMI","","57","57.00000","","",""
"MCV2","PUBLISHED","2016","","WB_LMI","","62","62.00000","","",""
"MCV2","PUBLISHED","2017","","WB_LMI","","64","64.00000","","",""
"MCV2","PUBLISHED","2018","","WB_LMI","","66","66.00000","","",""
"MCV2","PUBLISHED","2019","","WB_LMI","","69","69.00000","","",""
"MCV2","PUBLISHED","2000","","WB_UMI","","29","29.00000","","",""
"MCV2","PUBLISHED","2001","","WB_UMI","","32","32.00000","","",""
"MCV2","PUBLISHED","2002","","WB_UMI","","30","30.00000","","",""
"MCV2","PUBLISHED","2003","","WB_UMI","","34","34.00000","","",""
"MCV2","PUBLISHED","2004","","WB_UMI","","35","35.00000","","",""
"MCV2","PUBLISHED","2005","","WB_UMI","","70","70.00000","","",""
"MCV2","PUBLISHED","2006","","WB_UMI","","77","77.00000","","",""
"MCV2","PUBLISHED","2007","","WB_UMI","","79","79.00000","","",""
"MCV2","PUBLISHED","2008","","WB_UMI","","81","81.00000","","",""
"MCV2","PUBLISHED","2009","","WB_UMI","","84","84.00000","","",""
"MCV2","PUBLISHED","2010","","WB_UMI","","85","85.00000","","",""
"MCV2","PUBLISHED","2011","","WB_UMI","","87","87.00000","","",""
"MCV2","PUBLISHED","2012","","WB_UMI","","87","87.00000","","",""
"MCV2","PUBLISHED","2013","","WB_UMI","","85","85.00000","","",""
"MCV2","PUBLISHED","2014","","WB_UMI","","83","83.00000","","",""
"MCV2","PUBLISHED","2015","","WB_UMI","","83","83.00000","","",""
"MCV2","PUBLISHED","2016","","WB_UMI","","87","87.00000","","",""
