"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","Display Value","Numeric","Low","High","Comments"
"MDG_0000000018","PUBLISHED","2007","AMR","","0.9","0.90000","0.90000","0.90000",""
"MDG_0000000018","PUBLISHED","2007","EUR","","0.9","0.90000","0.90000","0.90000",""
"MDG_0000000018","PUBLISHED","2007","SEAR","","2.3","2.30000","2.30000","2.30000",""
"MDG_0000000018","PUBLISHED","2007","WPR","","0.8","0.80000","0.80000","0.80000",""
"MDG_0000000018","PUBLISHED","2007","AFR","","47.6","47.60000","47.60000","47.60000",""
"MDG_0000000018","PUBLISHED","2007","EMR","","1.4","1.40000","1.40000","1.40000",""
"MDG_0000000018","PUBLISHED","2007","NOTSPEC","WB_UMI","12.9","12.90000","12.90000","12.90000",""
"MDG_0000000018","PUBLISHED","2007","NOTSPEC","WB_WORLD_INCOME","6.8","6.80000","6.80000","6.80000",""
"MDG_0000000018","PUBLISHED","2007","NOTSPEC","WB_HI","0.1","0.10000","0.10000","0.10000",""
"MDG_0000000018","PUBLISHED","2007","NOTSPEC","WB_LI","21.1","21.10000","21.10000","21.10000",""
"MDG_0000000018","PUBLISHED","2007","NOTSPEC","WB_LMI","2.1","2.10000","2.10000","2.10000",""
"MDG_0000000018","PUBLISHED","2007","GLOBAL","","6.8","6.80000","6.80000","6.80000",""
