"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MDG_0000000025_AGE1519","PUBLISHED","2010","EMR","AFG","56.6","56.60000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2009","AFR","AGO","55.8","49.00000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2008","EUR","ALB","99.5","99.50000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2010","EUR","ARM","99","99.00000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2006","EUR","AZE","69.1","69.10000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2010","AFR","BDI","70.5","70.50000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2006","AFR","BEN","74.9","74.90000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2010","AFR","BFA","69.2","69.20000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2011","SEAR","BGD","32.3","32.30000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2008","AMR","BOL","75.3","75.30000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2010","SEAR","BTN","58.2","58.20000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2007","AFR","BWA","91.3","91.30000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2011","AFR","BLZ","97.2","97.20000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2006","AFR","CIV","60.9","60.90000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2011","AFR","CMR","60.6","60.60000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2007","AFR","COD","75.6","75.60000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2005","AFR","COG","87.1","87.10000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2010","AMR","COL","73.1","73.10000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2005","AMR","COL","92.2","92.20000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2010","AFR","CAF","52.1","52.10000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2007","AMR","DOM","95","95.00000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2008","EMR","EGY","78.8","78.80000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2011","AFR","ETH","32.8","32.80000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2012","AFR","GAB","88.8","88.80000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2010","AFR","GMB","63.5","63.50000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2008","AFR","GHA","52.2","52.20000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2005","AFR","GIN","45.6","45.60000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2008","AMR","GTM","92.6","92.60000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2005","AFR","GIN","44.9","44.90000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2010","AFR","GNB","52.4","52.40000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2009","AMR","GUY","94.8","94.80000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2005","AMR","HND","73.6","73.60000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2006","AMR","HTI","30.1","30.10000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2007","SEAR","IDN","62.6","62.60000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2007","SEAR","IND","47.5","47.50000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2011","EMR","IRQ","92.4","92.40000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2008","AMR","JAM","98","98.00000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2007","EMR","JOR","97.7","97.70000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2005","EUR","KAZ","100","100.00000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2009","AFR","KEN","47.7","47.70000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2006","EUR","KGZ","100","100.00000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2005","WPR","KHM","49.3","49.30000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2007","AFR","LBR","49.9","49.90000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2006","SEAR","LKA","98.1","98.10000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2009","AFR","LSO","63.7","63.70000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2004","EMR","MAR","70.3","70.30000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2005","EUR","MDA","100","100.00000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2008","AFR","MDG","40.2","40.20000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2009","SEAR","MDV","92.5","92.50000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2006","AFR","MLI","52","52.00000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2009","SEAR","MMR","59","59.00000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2010","WPR","MNG","98","98.00000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2011","AFR","MOZ","61.3","61.30000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2007","AFR","MRT","65.5","65.50000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2010","AFR","MWI","74","74.00000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2007","AFR","NAM","81.5","81.50000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2006","AFR","NER","16.8","16.80000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2008","AFR","NGA","24.6","24.60000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2006","AMR","NIC","75.7","75.70000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2011","SEAR","NPL","42.1","42.10000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2007","EMR","PAK","43.3","43.30000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2012","AMR","PER","85.8","85.80000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2008","WPR","PHL","59","59.00000","","",""
"MDG_0000000025_AGE1519","PUBLISHED","2010","AFR","RWA","83.1","83.10000","","",""
