"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"MDG_0000000027","NLIS_311591","PUBLISHED","1992-1993","WPR","VNM","MLE","61.4","61.40000","","",""
"MDG_0000000027","NLIS_310349","PUBLISHED","1987-1989","WPR","VNM","BTSX","61.3","61.30000","","",""
"MDG_0000000027","NLIS_312086","PUBLISHED","1996","WPR","KHM","MLE","61.1","61.10000","","",""
"MDG_0000000027","NLIS_310318","PUBLISHED","1971-1975","WPR","PHL","BTSX","60.2","60.20000","","",""
"MDG_0000000027","NLIS_310338","PUBLISHED","1982","WPR","PHL","BTSX","48.7","48.70000","","",""
"MDG_0000000027","NLIS_312921","PUBLISHED","2006","WPR","LAO","MLE","48.3","48.30000","","",""
"MDG_0000000027","NLIS_312355","PUBLISHED","2000","WPR","LAO","BTSX","48.2","48.20000","","",""
"MDG_0000000027","NLIS_313202","PUBLISHED","2009-2011","WPR","PNG","FMLE","47.9","47.90000","","",""
"MDG_0000000027","NLIS_311997","PUBLISHED","1999","WPR","VNM","BTSX","44.8","44.80000","","",""
"MDG_0000000027","NLIS_310417","PUBLISHED","1987","WPR","PHL","BTSX","44.7","44.70000","","",""
"MDG_0000000027","NLIS_312780","PUBLISHED","2000","WPR","VNM","MLE","44.2","44.20000","","",""
"MDG_0000000027","NLIS_312912","PUBLISHED","2005","WPR","PNG","BTSX","43.9","43.90000","","",""
"MDG_0000000027","NLIS_312801","PUBLISHED","2005-2006","WPR","KHM","FMLE","41.0","41.00000","","",""
"MDG_0000000027","NLIS_313097","PUBLISHED","2010-2011","WPR","KHM","BTSX","40.9","40.90000","","",""
"MDG_0000000027","NLIS_312931","PUBLISHED","2008","WPR","KHM","MLE","40.9","40.90000","","",""
"MDG_0000000027","NLIS_311346","PUBLISHED","1992","WPR","PHL","BTSX","40.9","40.90000","","",""
"MDG_0000000027","NLIS_310354","PUBLISHED","1987","WPR","CHN","BTSX","38.3","38.30000","","",""
"MDG_0000000027","NLIS_312176","PUBLISHED","1998","WPR","PHL","BTSX","38.3","38.30000","","",""
"MDG_0000000027","NLIS_312772","PUBLISHED","2003","WPR","PHL","MLE","35.5","35.50000","","",""
"MDG_0000000027","NLIS_311609","PUBLISHED","1989","WPR","SLB","MLE","35.5","35.50000","","",""
"MDG_0000000027","NLIS_312951","PUBLISHED","2004","WPR","VNM","MLE","35.4","35.40000","","",""
"MDG_0000000027","NLIS_312951","PUBLISHED","2003","WPR","VNM","BTSX","35.4","35.40000","","",""
"MDG_0000000027","NLIS_312951","PUBLISHED","2005","WPR","VNM","BTSX","33.2","33.20000","","",""
"MDG_0000000027","NLIS_312951","PUBLISHED","2006","WPR","VNM","MLE","33.1","33.10000","","",""
"MDG_0000000027","NLIS_312947","PUBLISHED","2006-2007","WPR","SLB","BTSX","32.8","32.80000","","",""
"MDG_0000000027","NLIS_310320","PUBLISHED","1970","WPR","SLB","FMLE","32.8","32.80000","","",""
"MDG_0000000027","NLIS_312951","PUBLISHED","2006","WPR","VNM","BTSX","31.8","31.80000","","",""
"MDG_0000000027","NLIS_311609","PUBLISHED","1989","WPR","SLB","FMLE","31.7","31.70000","","",""
"MDG_0000000027","NLIS_312951","PUBLISHED","2006","WPR","VNM","FMLE","30.5","30.50000","","",""
"MDG_0000000027","NLIS_312951","PUBLISHED","2007","WPR","VNM","FMLE","30.4","30.40000","","",""
