"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MDG_0000000029","PUBLISHED","1990","GLOBAL","","0.3 [0.2–0.3]","0.30000","0.20000","0.30000",""
"MDG_0000000029","PUBLISHED","1991","GLOBAL","","0.3 [0.2–0.4]","0.30000","0.20000","0.40000",""
"MDG_0000000029","PUBLISHED","1992","GLOBAL","","0.3 [0.3–0.4]","0.30000","0.30000","0.40000",""
"MDG_0000000029","PUBLISHED","1993","GLOBAL","","0.4 [0.3–0.5]","0.40000","0.30000","0.50000",""
"MDG_0000000029","PUBLISHED","1994","GLOBAL","","0.4 [0.4–0.5]","0.40000","0.40000","0.50000",""
"MDG_0000000029","PUBLISHED","1995","GLOBAL","","0.5 [0.4–0.6]","0.50000","0.40000","0.60000",""
"MDG_0000000029","PUBLISHED","1996","GLOBAL","","0.5 [0.4–0.6]","0.50000","0.40000","0.60000",""
"MDG_0000000029","PUBLISHED","1997","GLOBAL","","0.6 [0.5–0.7]","0.60000","0.50000","0.70000",""
"MDG_0000000029","PUBLISHED","1998","GLOBAL","","0.6 [0.5–0.7]","0.60000","0.50000","0.70000",""
"MDG_0000000029","PUBLISHED","1999","GLOBAL","","0.6 [0.5–0.7]","0.60000","0.50000","0.70000",""
"MDG_0000000029","PUBLISHED","2000","GLOBAL","","0.6 [0.5–0.8]","0.60000","0.50000","0.80000",""
"MDG_0000000029","PUBLISHED","2001","GLOBAL","","0.6 [0.5–0.8]","0.60000","0.50000","0.80000",""
"MDG_0000000029","PUBLISHED","2002","GLOBAL","","0.7 [0.5–0.8]","0.70000","0.50000","0.80000",""
"MDG_0000000029","PUBLISHED","2003","GLOBAL","","0.7 [0.5–0.8]","0.70000","0.50000","0.80000",""
"MDG_0000000029","PUBLISHED","2004","GLOBAL","","0.7 [0.5–0.8]","0.70000","0.50000","0.80000",""
"MDG_0000000029","PUBLISHED","2005","GLOBAL","","0.7 [0.5–0.8]","0.70000","0.50000","0.80000",""
"MDG_0000000029","PUBLISHED","2006","GLOBAL","","0.7 [0.5–0.8]","0.70000","0.50000","0.80000",""
"MDG_0000000029","PUBLISHED","2007","GLOBAL","","0.7 [0.5–0.8]","0.70000","0.50000","0.80000",""
"MDG_0000000029","PUBLISHED","2008","GLOBAL","","0.7 [0.5–0.8]","0.70000","0.50000","0.80000",""
"MDG_0000000029","PUBLISHED","2009","GLOBAL","","0.7 [0.5–0.8]","0.70000","0.50000","0.80000",""
"MDG_0000000029","PUBLISHED","2010","GLOBAL","","0.7 [0.6–0.8]","0.70000","0.60000","0.80000",""
"MDG_0000000029","PUBLISHED","2011","GLOBAL","","0.7 [0.6–0.8]","0.70000","0.60000","0.80000",""
"MDG_0000000029","PUBLISHED","2012","GLOBAL","","0.7 [0.6–0.8]","0.70000","0.60000","0.80000",""
"MDG_0000000029","PUBLISHED","2013","GLOBAL","","0.7 [0.6–0.8]","0.70000","0.60000","0.80000",""
