"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MDG_0000000031","PUBLISHED","1997","AFR","WB_LMI","AGO","15","15.00000","","",""
"MDG_0000000031","PUBLISHED","1998","AFR","WB_LMI","AGO","68","68.00000","","",""
"MDG_0000000031","PUBLISHED","2000","AFR","WB_LMI","AGO","68","68.00000","","",""
"MDG_0000000031","PUBLISHED","2001","AFR","WB_LMI","AGO","68","68.00000","","",""
"MDG_0000000031","PUBLISHED","2002","AFR","WB_LMI","AGO","74","74.00000","","",""
"MDG_0000000031","PUBLISHED","2003","AFR","WB_LMI","AGO","71","71.00000","","",""
"MDG_0000000031","PUBLISHED","2004","AFR","WB_LMI","AGO","69","69.00000","","",""
"MDG_0000000031","PUBLISHED","2005","AFR","WB_LMI","AGO","72","72.00000","","",""
"MDG_0000000031","PUBLISHED","2006","AFR","WB_LMI","AGO","18","18.00000","","",""
"MDG_0000000031","PUBLISHED","2007","AFR","WB_LMI","AGO","74","74.00000","","",""
"MDG_0000000031","PUBLISHED","2008","AFR","WB_LMI","AGO","70","70.00000","","",""
"MDG_0000000031","PUBLISHED","2009","AFR","WB_LMI","AGO","72","72.00000","","",""
"MDG_0000000031","PUBLISHED","2010","AFR","WB_LMI","AGO","48","48.00000","","",""
"MDG_0000000031","PUBLISHED","2011","AFR","WB_LMI","AGO","55","55.00000","","",""
"MDG_0000000031","PUBLISHED","1994","AFR","WB_LI","BDI","44","44.00000","","",""
"MDG_0000000031","PUBLISHED","1995","AFR","WB_LI","BDI","45","45.00000","","",""
"MDG_0000000031","PUBLISHED","1997","AFR","WB_LI","BDI","67","67.00000","","",""
"MDG_0000000031","PUBLISHED","1998","AFR","WB_LI","BDI","74","74.00000","","",""
"MDG_0000000031","PUBLISHED","2000","AFR","WB_LI","BDI","80","80.00000","","",""
"MDG_0000000031","PUBLISHED","2001","AFR","WB_LI","BDI","80","80.00000","","",""
"MDG_0000000031","PUBLISHED","2002","AFR","WB_LI","BDI","79","79.00000","","",""
"MDG_0000000031","PUBLISHED","2003","AFR","WB_LI","BDI","79","79.00000","","",""
"MDG_0000000031","PUBLISHED","2004","AFR","WB_LI","BDI","78","78.00000","","",""
"MDG_0000000031","PUBLISHED","2005","AFR","WB_LI","BDI","79","79.00000","","",""
"MDG_0000000031","PUBLISHED","2006","AFR","WB_LI","BDI","83","83.00000","","",""
"MDG_0000000031","PUBLISHED","2007","AFR","WB_LI","BDI","86","86.00000","","",""
"MDG_0000000031","PUBLISHED","2008","AFR","WB_LI","BDI","90","90.00000","","",""
"MDG_0000000031","PUBLISHED","2009","AFR","WB_LI","BDI","90","90.00000","","",""
"MDG_0000000031","PUBLISHED","2010","AFR","WB_LI","BDI","92","92.00000","","",""
"MDG_0000000031","PUBLISHED","2011","AFR","WB_LI","BDI","92","92.00000","","",""
