"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MENING_1","PUBLISHED","1968","AFR","TCD","105","","","",""
"MENING_1","PUBLISHED","1969","AFR","TCD","42","","","",""
"MENING_1","PUBLISHED","1970","AFR","TCD","283","","","",""
"MENING_1","PUBLISHED","1971","AFR","TCD","74","","","",""
"MENING_1","PUBLISHED","1972","AFR","TCD","431","","","",""
"MENING_1","PUBLISHED","1973","AFR","TCD","216","","","",""
"MENING_1","PUBLISHED","1974","AFR","TCD","179","","","",""
"MENING_1","PUBLISHED","1975","AFR","BEN","56","","","",""
"MENING_1","PUBLISHED","1975","AFR","MOZ","4","","","",""
"MENING_1","PUBLISHED","1975","AFR","TCD","172","","","",""
"MENING_1","PUBLISHED","1975","EMR","EGY","467","","","",""
"MENING_1","PUBLISHED","1975","AFR","GHA","62","","","",""
"MENING_1","PUBLISHED","1976","AFR","MOZ","3","","","",""
"MENING_1","PUBLISHED","1976","AFR","TCD","99","","","",""
"MENING_1","PUBLISHED","1976","EMR","EGY","390","","","",""
"MENING_1","PUBLISHED","1978","AFR","AGO","7","","","",""
"MENING_1","PUBLISHED","1978","AFR","BEN","42","","","",""
"MENING_1","PUBLISHED","1978","AFR","BWA","9","","","",""
"MENING_1","PUBLISHED","1978","AFR","BFA","214","","","",""
"MENING_1","PUBLISHED","1978","AFR","BDI","9","","","",""
"MENING_1","PUBLISHED","1978","AFR","CMR","91","","","",""
"MENING_1","PUBLISHED","1978","AFR","CPV","4","","","",""
"MENING_1","PUBLISHED","1978","AFR","CAF","54","","","",""
"MENING_1","PUBLISHED","1978","AFR","COG","56","","","",""
"MENING_1","PUBLISHED","1978","AFR","ETH","77","","","",""
"MENING_1","PUBLISHED","1978","AFR","GAB","3","","","",""
"MENING_1","PUBLISHED","1978","AFR","GMB","6","","","",""
"MENING_1","PUBLISHED","1978","AFR","GNB","1","","","",""
"MENING_1","PUBLISHED","1978","AFR","MDG","2","","","",""
"MENING_1","PUBLISHED","1978","AFR","MLI","62","","","",""
"MENING_1","PUBLISHED","1978","AFR","MOZ","54","","","",""
"MENING_1","PUBLISHED","1978","AFR","RWA","179","","","",""
"MENING_1","PUBLISHED","1978","AFR","SEN","77","","","",""
"MENING_1","PUBLISHED","1978","AFR","UGA","32","","","",""
"MENING_1","PUBLISHED","1978","AFR","TZA","196","","","",""
"MENING_1","PUBLISHED","1978","AFR","CIV","177","","","",""
"MENING_1","PUBLISHED","1978","AFR","NER","580","","","",""
"MENING_1","PUBLISHED","1978","AFR","TCD","219","","","",""
"MENING_1","PUBLISHED","1978","EMR","EGY","277","","","",""
"MENING_1","PUBLISHED","1978","AFR","GHA","32","","","",""
"MENING_1","PUBLISHED","1978","AFR","GIN","2","","","",""
"MENING_1","PUBLISHED","1978","AFR","KEN","145","","","",""
"MENING_1","PUBLISHED","1978","AFR","LBR","57","","","",""
"MENING_1","PUBLISHED","1978","AFR","NGA","2511","","","",""
"MENING_1","PUBLISHED","1978","AFR","STP","1","","","",""
"MENING_1","PUBLISHED","1978","AFR","TGO","23","","","",""
"MENING_1","PUBLISHED","1978","AFR","ZMB","83","","","",""
"MENING_1","PUBLISHED","1979","AFR","AGO","18","","","",""
"MENING_1","PUBLISHED","1979","AFR","BEN","25","","","",""
"MENING_1","PUBLISHED","1979","AFR","BFA","266","","","",""
"MENING_1","PUBLISHED","1979","AFR","BDI","13","","","",""
"MENING_1","PUBLISHED","1979","AFR","CPV","2","","","",""
"MENING_1","PUBLISHED","1979","AFR","CAF","42","","","",""
"MENING_1","PUBLISHED","1979","AFR","COG","59","","","",""
"MENING_1","PUBLISHED","1979","AFR","ETH","10","","","",""
"MENING_1","PUBLISHED","1979","AFR","GAB","4","","","",""
"MENING_1","PUBLISHED","1979","AFR","GNB","4","","","",""
"MENING_1","PUBLISHED","1979","AFR","MLI","96","","","",""
"MENING_1","PUBLISHED","1979","AFR","MOZ","43","","","",""
"MENING_1","PUBLISHED","1979","AFR","RWA","164","","","",""
"MENING_1","PUBLISHED","1979","AFR","SEN","82","","","",""
"MENING_1","PUBLISHED","1979","AFR","UGA","6","","","",""
"MENING_1","PUBLISHED","1979","AFR","CIV","219","","","",""
"MENING_1","PUBLISHED","1979","AFR","NER","309","","","",""
"MENING_1","PUBLISHED","1979","AFR","TCD","9","","","",""
"MENING_1","PUBLISHED","1979","AFR","COD","6","","","",""
"MENING_1","PUBLISHED","1979","EMR","EGY","213","","","",""
"MENING_1","PUBLISHED","1979","AFR","GHA","29","","","",""
"MENING_1","PUBLISHED","1979","AFR","KEN","152","","","",""
"MENING_1","PUBLISHED","1979","AFR","LBR","50","","","",""
"MENING_1","PUBLISHED","1979","AFR","NGA","193","","","",""
"MENING_1","PUBLISHED","1979","AFR","STP","1","","","",""
"MENING_1","PUBLISHED","1979","AFR","TGO","10","","","",""
"MENING_1","PUBLISHED","1979","AFR","ZMB","58","","","",""
"MENING_1","PUBLISHED","1979","AFR","ZWE","9","","","",""
"MENING_1","PUBLISHED","1980","AFR","AGO","25","","","",""
"MENING_1","PUBLISHED","1980","AFR","BEN","29","","","",""
"MENING_1","PUBLISHED","1980","AFR","BWA","25","","","",""
"MENING_1","PUBLISHED","1980","AFR","BFA","306","","","",""
"MENING_1","PUBLISHED","1980","AFR","BDI","7","","","",""
"MENING_1","PUBLISHED","1980","AFR","CPV","6","","","",""
"MENING_1","PUBLISHED","1980","AFR","CAF","31","","","",""
"MENING_1","PUBLISHED","1980","AFR","COG","32","","","",""
"MENING_1","PUBLISHED","1980","AFR","ETH","211","","","",""
"MENING_1","PUBLISHED","1980","AFR","GMB","19","","","",""
"MENING_1","PUBLISHED","1980","AFR","MLI","76","","","",""
"MENING_1","PUBLISHED","1980","AFR","MOZ","65","","","",""
"MENING_1","PUBLISHED","1980","AFR","RWA","31","","","",""
"MENING_1","PUBLISHED","1980","AFR","SEN","66","","","",""
"MENING_1","PUBLISHED","1980","AFR","UGA","6","","","",""
"MENING_1","PUBLISHED","1980","AFR","CIV","204","","","",""
"MENING_1","PUBLISHED","1980","AFR","NER","293","","","",""
"MENING_1","PUBLISHED","1980","AFR","TCD","..","","","",""
"MENING_1","PUBLISHED","1980","EMR","EGY","167","","","",""
"MENING_1","PUBLISHED","1980","AFR","GHA","59","","","",""
"MENING_1","PUBLISHED","1980","AFR","KEN","97","","","",""
"MENING_1","PUBLISHED","1980","AFR","LBR","70","","","",""
"MENING_1","PUBLISHED","1980","AFR","NGA","51","","","",""
"MENING_1","PUBLISHED","1980","AFR","STP","1","","","",""
"MENING_1","PUBLISHED","1980","AFR","SLE","32","","","",""
"MENING_1","PUBLISHED","1980","AFR","TGO","10","","","",""
"MENING_1","PUBLISHED","1980","AFR","ZMB","66","","","",""
"MENING_1","PUBLISHED","1980","AFR","ZWE","6","","","",""
"MENING_1","PUBLISHED","1983","AFR","BEN","45","","","",""
"MENING_1","PUBLISHED","1983","AFR","BWA","8","","","",""
"MENING_1","PUBLISHED","1983","AFR","BFA","690","","","",""
"MENING_1","PUBLISHED","1983","AFR","BDI","22","","","",""
"MENING_1","PUBLISHED","1983","AFR","CMR","288","","","",""
"MENING_1","PUBLISHED","1983","AFR","CPV","1","","","",""
"MENING_1","PUBLISHED","1983","AFR","CAF","13","","","",""
"MENING_1","PUBLISHED","1983","AFR","GAB","10","","","",""
"MENING_1","PUBLISHED","1983","AFR","MLI","170","","","",""
"MENING_1","PUBLISHED","1983","AFR","MUS","10","","","",""
"MENING_1","PUBLISHED","1983","AFR","MOZ","32","","","",""
"MENING_1","PUBLISHED","1983","AFR","RWA","12","","","",""
"MENING_1","PUBLISHED","1983","AFR","SEN","222","","","",""
"MENING_1","PUBLISHED","1983","AFR","UGA","48","","","",""
"MENING_1","PUBLISHED","1983","AFR","CIV","71","","","",""
"MENING_1","PUBLISHED","1983","AFR","NER","74","","","",""
"MENING_1","PUBLISHED","1983","AFR","TCD","200","","","",""
"MENING_1","PUBLISHED","1983","AFR","COD","4","","","",""
"MENING_1","PUBLISHED","1983","EMR","EGY","155","","","",""
"MENING_1","PUBLISHED","1983","AFR","GHA","31","","","",""
"MENING_1","PUBLISHED","1983","AFR","KEN","36","","","",""
"MENING_1","PUBLISHED","1983","AFR","LBR","50","","","",""
"MENING_1","PUBLISHED","1983","AFR","MRT","9","","","",""
"MENING_1","PUBLISHED","1983","AFR","NGA","61","","","",""
"MENING_1","PUBLISHED","1983","AFR","STP","5","","","",""
"MENING_1","PUBLISHED","1983","AFR","TGO","30","","","",""
"MENING_1","PUBLISHED","1983","AFR","ZWE","12","","","",""
"MENING_1","PUBLISHED","1984","AFR","BEN","26","","","",""
"MENING_1","PUBLISHED","1984","AFR","BWA","1","","","",""
"MENING_1","PUBLISHED","1984","AFR","BFA","1001","","","",""
"MENING_1","PUBLISHED","1984","AFR","BDI","19","","","",""
"MENING_1","PUBLISHED","1984","AFR","CMR","276","","","",""
"MENING_1","PUBLISHED","1984","AFR","CAF","15","","","",""
"MENING_1","PUBLISHED","1984","AFR","COG","6","","","",""
"MENING_1","PUBLISHED","1984","AFR","ETH","37","","","",""
"MENING_1","PUBLISHED","1984","AFR","GAB","4","","","",""
"MENING_1","PUBLISHED","1984","AFR","MLI","63","","","",""
"MENING_1","PUBLISHED","1984","AFR","MUS","23","","","",""
"MENING_1","PUBLISHED","1984","AFR","MOZ","14","","","",""
"MENING_1","PUBLISHED","1984","AFR","RWA","8","","","",""
"MENING_1","PUBLISHED","1984","AFR","SEN","112","","","",""
"MENING_1","PUBLISHED","1984","AFR","UGA","3","","","",""
"MENING_1","PUBLISHED","1984","AFR","CIV","25","","","",""
"MENING_1","PUBLISHED","1984","AFR","NER","82","","","",""
"MENING_1","PUBLISHED","1984","AFR","TCD","51","","","",""
"MENING_1","PUBLISHED","1984","EMR","EGY","187","","","",""
"MENING_1","PUBLISHED","1984","AFR","GHA","221","","","",""
"MENING_1","PUBLISHED","1984","AFR","LBR","7","","","",""
"MENING_1","PUBLISHED","1984","AFR","NGA","58","","","",""
"MENING_1","PUBLISHED","1984","AFR","STP","6","","","",""
