"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MH_25","PUBLISHED","2014","AFR","WB_LI","KEN","No","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","NER","No","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","SLE","No","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LMI","COG","No","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LMI","LSO","No","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LMI","SEN","No","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LMI","SSD","No","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LMI","SWZ","No","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_UMI","MUS","No","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_UMI","SYC","No","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_HI","USA","No","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_LI","HTI","No","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_LMI","BOL","No","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_UMI","CUB","No","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_UMI","DMA","No","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_UMI","VCT","No","","","",""
"MH_25","PUBLISHED","2014","EMR","WB_HI","BHR","No","","","",""
"MH_25","PUBLISHED","2014","EMR","WB_HI","KWT","No","","","",""
"MH_25","PUBLISHED","2014","EMR","WB_LI","SOM","No","","","",""
"MH_25","PUBLISHED","2014","EMR","WB_LMI","DJI","No","","","",""
"MH_25","PUBLISHED","2014","EMR","WB_LMI","EGY","No","","","",""
"MH_25","PUBLISHED","2014","EMR","WB_UMI","LBN","No","","","",""
"MH_25","PUBLISHED","2014","EMR","WB_UMI","LBY","No","","","",""
"MH_25","PUBLISHED","2014","EUR","WB_HI","EST","No","","","",""
"MH_25","PUBLISHED","2014","EUR","WB_HI","DEU","No","","","",""
"MH_25","PUBLISHED","2014","EUR","WB_HI","ISL","No","","","",""
"MH_25","PUBLISHED","2014","EUR","WB_HI","NOR","No","","","",""
"MH_25","PUBLISHED","2014","EUR","WB_HI","SMR","No","","","",""
"MH_25","PUBLISHED","2014","EUR","WB_HI","SVN","No","","","",""
"MH_25","PUBLISHED","2014","EUR","WB_HI","CHE","No","","","",""
"MH_25","PUBLISHED","2014","EUR","WB_LI","TJK","No","","","",""
"MH_25","PUBLISHED","2014","EUR","WB_UMI","BLR","No","","","",""
"MH_25","PUBLISHED","2014","EUR","WB_UMI","HUN","No","","","",""
"MH_25","PUBLISHED","2014","SEAR","WB_LMI","BTN","No","","","",""
"MH_25","PUBLISHED","2014","SEAR","WB_UMI","MDV","No","","","",""
"MH_25","PUBLISHED","2014","WPR","WB_LMI","VUT","No","","","",""
"MH_25","PUBLISHED","2014","WPR","WB_UMI","NRU","No","","","",""
"MH_25","PUBLISHED","2014","WPR","WB_UMI","TON","No","","","",""
"MH_25","PUBLISHED","2014","WPR","WB_UMI","TUV","No","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","BEN","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","BFA","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","BDI","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","CAF","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","COD","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","ERI","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","ETH","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","GMB","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","GIN","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","LBR","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","MDG","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","MWI","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","MLI","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","MOZ","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","RWA","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","TGO","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","UGA","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LI","ZWE","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LMI","CIV","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LMI","GHA","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LMI","NGA","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LMI","STP","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_LMI","ZMB","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_UMI","DZA","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_UMI","BWA","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_UMI","NAM","Yes","","","",""
"MH_25","PUBLISHED","2014","AFR","WB_UMI","ZAF","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_HI","BRB","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_HI","CAN","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_HI","CHL","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_HI","TTO","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_HI","URY","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_LMI","SLV","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_LMI","GTM","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_LMI","GUY","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_LMI","HND","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_LMI","PRY","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_UMI","ARG","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_UMI","BLZ","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_UMI","BRA","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_UMI","COL","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_UMI","CRI","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_UMI","DOM","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_UMI","ECU","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_UMI","GRD","Yes","","","",""
"MH_25","PUBLISHED","2014","AMR","WB_UMI","JAM","Yes","","","",""
