"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"MH_6","PUBLISHED","2016","EMR","AFG","0.231","0.23120","","",""
"MH_6","PUBLISHED","2016","EUR","ALB","1.471","1.47091","","",""
"MH_6","PUBLISHED","2016","AFR","AGO","0.057","0.05743","","",""
"MH_6","PUBLISHED","2016","AMR","ATG","1.001","1.00077","","",""
"MH_6","PUBLISHED","2016","AMR","ARG","21.705","21.70540","","",""
"MH_6","PUBLISHED","2016","EUR","ARM","3.840","3.83963","","",""
"MH_6","PUBLISHED","2015","WPR","AUS","13.525","13.52546","","",""
"MH_6","PUBLISHED","2016","EUR","AZE","3.452","3.45205","","",""
"MH_6","PUBLISHED","2017","EMR","BHR","5.467","5.46705","","",""
"MH_6","PUBLISHED","2016","SEAR","BGD","0.130","0.13027","","",""
"MH_6","PUBLISHED","2016","EUR","BLR","13.504","13.50444","","",""
"MH_6","PUBLISHED","2013","EUR","BEL","20.057","20.05680","","",""
"MH_6","PUBLISHED","2016","AMR","BLZ","1.392","1.39164","","",""
"MH_6","PUBLISHED","2016","SEAR","BTN","0.508","0.50801","","",""
"MH_6","PUBLISHED","2016","AMR","BOL","1.128","1.12824","","",""
"MH_6","PUBLISHED","2015","EUR","BIH","8.032","8.03176","","",""
"MH_6","PUBLISHED","2016","AMR","BRA","3.165","3.16466","","",""
"MH_6","PUBLISHED","2016","WPR","BRN","1.197","1.19748","","",""
"MH_6","PUBLISHED","2016","EUR","BGR","7.203","7.20317","","",""
"MH_6","PUBLISHED","2016","AFR","BFA","0.039","0.03865","","",""
"MH_6","PUBLISHED","2017","AFR","BDI","0.010","0.00980","","",""
"MH_6","PUBLISHED","2016","WPR","KHM","0.387","0.38666","","",""
"MH_6","PUBLISHED","2017","AMR","CAN","14.679","14.67922","","",""
"MH_6","PUBLISHED","2017","AFR","CAF","0.022","0.02200","","",""
"MH_6","PUBLISHED","2016","AFR","TCD","0.007","0.00714","","",""
"MH_6","PUBLISHED","2016","AMR","CHL","6.970","6.96967","","",""
"MH_6","PUBLISHED","2015","WPR","CHN","2.199","2.19910","","",""
"MH_6","PUBLISHED","2016","AMR","COL","1.835","1.83501","","",""
"MH_6","PUBLISHED","2017","AFR","COM","0.129","0.12863","","",""
"MH_6","PUBLISHED","2016","AFR","COG","0.080","0.08007","","",""
"MH_6","PUBLISHED","2016","WPR","COK","5.731","5.73099","","",""
"MH_6","PUBLISHED","2016","AMR","CRI","3.931","3.93107","","",""
"MH_6","PUBLISHED","2016","AFR","CIV","0.130","0.12982","","",""
"MH_6","PUBLISHED","2016","EUR","HRV","11.095","11.09537","","",""
"MH_6","PUBLISHED","2016","AMR","CUB","9.056","9.05646","","",""
"MH_6","PUBLISHED","2015","EUR","CZE","12.364","12.36354","","",""
"MH_6","PUBLISHED","2016","AMR","DOM","2.280","2.27955","","",""
"MH_6","PUBLISHED","2016","AMR","ECU","0.458","0.45836","","",""
"MH_6","PUBLISHED","2016","EMR","EGY","1.600","1.59952","","",""
"MH_6","PUBLISHED","2016","AMR","SLV","0.887","0.88713","","",""
"MH_6","PUBLISHED","2017","AFR","GNQ","0.681","0.68063","","",""
"MH_6","PUBLISHED","2016","EUR","EST","16.188","16.18799","","",""
"MH_6","PUBLISHED","2017","AFR","ETH","0.076","0.07610","","",""
"MH_6","PUBLISHED","2016","WPR","FJI","0.224","0.22418","","",""
"MH_6","PUBLISHED","2017","EUR","FIN","23.586","23.58643","","",""
