"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"M_Est_tob_daily_std","PUBLISHED","2007","AMR","HTI","MLE","10.2 [0.0-0.0]","10.20000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2010","AMR","HTI","MLE","9.6 [0.0-0.0]","9.60000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2012","AMR","HTI","MLE","9.2 [0.0-0.0]","9.20000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2014","AMR","HTI","MLE","9.0 [0.0-0.0]","9.00000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2016","AMR","HTI","MLE","8.7 [0.0-0.0]","8.70000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2018","AMR","HTI","MLE","8.4 [0.0-0.0]","8.40000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2007","AFR","NAM","MLE","22.4 [0.0-0.0]","22.40000","0.00000","0.00000",""
"M_Est_tob_daily_std","PUBLISHED","2010","AFR","NAM","MLE","22.3 [0.0-0.0]","22.30000","0.00000","0.00000",""
"M_Est_tob_daily_std","PUBLISHED","2012","AFR","NAM","MLE","22.3 [0.0-0.0]","22.30000","0.00000","0.00000",""
"M_Est_tob_daily_std","PUBLISHED","2014","AFR","NAM","MLE","22.5 [0.0-0.0]","22.50000","0.00000","0.00000",""
"M_Est_tob_daily_std","PUBLISHED","2016","AFR","NAM","MLE","22.5 [0.0-0.0]","22.50000","0.00000","0.00000",""
"M_Est_tob_daily_std","PUBLISHED","2018","AFR","NAM","MLE","22.7 [0.0-0.0]","22.70000","0.00000","0.00000",""
"M_Est_tob_daily_std","PUBLISHED","2016","EUR","AZE","FMLE","0.1 [0.0-0.2]","0.10000","0.00000","0.20000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2018","EUR","AZE","FMLE","0.1 [0.0-0.2]","0.10000","0.00000","0.20000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2007","AMR","HTI","FMLE","3.5 [0.0-0.0]","3.50000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2010","AMR","HTI","FMLE","3.2 [0.0-0.0]","3.20000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2012","AMR","HTI","FMLE","2.9 [0.0-0.0]","2.90000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2014","AMR","HTI","FMLE","2.7 [0.0-0.0]","2.70000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2016","AMR","HTI","FMLE","2.6 [0.0-0.0]","2.60000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2018","AMR","HTI","FMLE","2.4 [0.0-0.0]","2.40000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2007","SEAR","PRK","FMLE","0.0 [0.0-0.0]","0.00000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2010","SEAR","PRK","FMLE","0.0 [0.0-0.0]","0.00000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2012","SEAR","PRK","FMLE","0.0 [0.0-0.0]","0.00000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2014","SEAR","PRK","FMLE","0.0 [0.0-0.0]","0.00000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2016","SEAR","PRK","FMLE","0.0 [0.0-0.0]","0.00000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2018","SEAR","PRK","FMLE","0.0 [0.0-0.0]","0.00000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2007","AMR","HTI","BTSX","6.9 [0.0-0.0]","6.90000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2010","AMR","HTI","BTSX","6.4 [0.0-0.0]","6.40000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2012","AMR","HTI","BTSX","6.1 [0.0-0.0]","6.10000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2014","AMR","HTI","BTSX","5.9 [0.0-0.0]","5.90000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2016","AMR","HTI","BTSX","5.6 [0.0-0.0]","5.60000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2018","AMR","HTI","BTSX","5.4 [0.0-0.0]","5.40000","0.00000","0.00000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2007","EMR","ARE","FMLE","0.6 [0.1-1.2]","0.60000","0.10000","1.20000",""
"M_Est_tob_daily_std","PUBLISHED","2010","EMR","ARE","FMLE","0.6 [0.1-1.1]","0.60000","0.10000","1.10000",""
"M_Est_tob_daily_std","PUBLISHED","2012","EMR","ARE","FMLE","0.5 [0.1-1.1]","0.50000","0.10000","1.10000",""
"M_Est_tob_daily_std","PUBLISHED","2014","EMR","ARE","FMLE","0.5 [0.1-1.0]","0.50000","0.10000","1.00000",""
"M_Est_tob_daily_std","PUBLISHED","2016","EMR","ARE","FMLE","0.5 [0.1-1.0]","0.50000","0.10000","1.00000",""
"M_Est_tob_daily_std","PUBLISHED","2018","EMR","ARE","FMLE","0.5 [0.1-1.0]","0.50000","0.10000","1.00000",""
"M_Est_tob_daily_std","PUBLISHED","2007","EUR","AZE","FMLE","0.2 [0.1-0.4]","0.20000","0.10000","0.40000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2010","EUR","AZE","FMLE","0.2 [0.1-0.3]","0.20000","0.10000","0.30000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2012","EUR","AZE","FMLE","0.2 [0.1-0.3]","0.20000","0.10000","0.30000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2014","EUR","AZE","FMLE","0.1 [0.1-0.2]","0.10000","0.10000","0.20000","Rate refers to smoking only, not all tobacco use."
"M_Est_tob_daily_std","PUBLISHED","2018","EMR","EGY","FMLE","0.2 [0.1-0.3]","0.20000","0.10000","0.30000",""
"M_Est_tob_daily_std","PUBLISHED","2012","AFR","ERI","FMLE","0.3 [0.1-0.5]","0.30000","0.10000","0.50000",""
"M_Est_tob_daily_std","PUBLISHED","2014","AFR","ERI","FMLE","0.3 [0.1-0.5]","0.30000","0.10000","0.50000",""
"M_Est_tob_daily_std","PUBLISHED","2016","AFR","ERI","FMLE","0.3 [0.1-0.5]","0.30000","0.10000","0.50000",""
"M_Est_tob_daily_std","PUBLISHED","2018","AFR","ERI","FMLE","0.2 [0.1-0.4]","0.20000","0.10000","0.40000",""
"M_Est_tob_daily_std","PUBLISHED","2010","EMR","EGY","FMLE","0.3 [0.2-0.4]","0.30000","0.20000","0.40000",""
"M_Est_tob_daily_std","PUBLISHED","2012","EMR","EGY","FMLE","0.3 [0.2-0.4]","0.30000","0.20000","0.40000",""
"M_Est_tob_daily_std","PUBLISHED","2014","EMR","EGY","FMLE","0.3 [0.2-0.3]","0.30000","0.20000","0.30000",""
"M_Est_tob_daily_std","PUBLISHED","2016","EMR","EGY","FMLE","0.2 [0.2-0.3]","0.20000","0.20000","0.30000",""
