"GHO","PUBLISHSTATE","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"M_def_1_prev_adult","PUBLISHED","AFR","SEN","FMLE","0.2","0.20000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","BLZ","FMLE","1.4","1.40000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","CIV","FMLE","1.7","1.70000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","IDN","FMLE","1.9","1.90000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","DJI","FMLE","2.0","2.00000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","THA","FMLE","2.1","2.10000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","PAN","FMLE","2.8","2.80000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","MDV","FMLE","3.4","3.40000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","CPV","FMLE","4.0","4.00000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","ECU","FMLE","4.3","4.30000","","","The current smoking indicator is defined as the proportion of ever smokers who are current smokers."
"M_def_1_prev_adult","PUBLISHED","WPR","SGP","FMLE","4.8","4.80000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","MNG","FMLE","5.3","5.30000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","TGO","BTSX","6.8","6.80000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","BHR","FMLE","7.0","7.00000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","PHL","FMLE","7.8","7.80000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","TKM","BTSX","8.3","8.30000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","SYR","FMLE","8.9","8.90000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","TTO","FMLE","9.4","9.40000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","BLR","FMLE","9.7","9.70000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","BLZ","BTSX","10.2","10.20000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","UZB","BTSX","10.5","10.50000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","MLI","BTSX","10.8","10.80000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","TCD","BTSX","11.2","11.20000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","LAO","FMLE","11.5","11.50000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","SAU","BTSX","12.2","12.20000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","TGO","MLE","12.4","12.40000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","TUR","FMLE","13.1","13.10000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","YEM","BTSX","13.3","13.30000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","USA","FMLE","15.3","15.30000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","TKM","MLE","15.5","15.50000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","CPV","MLE","15.9","15.90000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","PLW","BTSX","16.6","16.60000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","BHS","BTSX","16.7","16.70000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","SLV","MLE","16.9","16.90000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","LBR","MLE","17.2","17.20000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","LVA","FMLE","17.6","17.60000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","NZL","FMLE","17.6","17.60000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","NER","MLE","17.7","17.70000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","ZAF","BTSX","18.2","18.20000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","AUS","MLE","18.3","18.30000","","",""
