"GHO","PUBLISHSTATE","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"M_def_2_prev_youth","PUBLISHED","AFR","ETH","FMLE","0.7","0.70000","","",""
"M_def_2_prev_youth","PUBLISHED","SEAR","NPL","FMLE","0.8","0.80000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","RWA","FMLE","0.9","0.90000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","KGZ","FMLE","0.9","0.90000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","TJK","BTSX","0.9","0.90000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","LBR","FMLE","1.2","1.20000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","EGY","FMLE","1.4","1.40000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","BEN","FMLE","1.6","1.60000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","TZA","BTSX","1.7","1.70000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","BFA","FMLE","2.0","2.00000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","AGO","BTSX","2.3","2.30000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","MOZ","FMLE","2.3","2.30000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","KGZ","BTSX","2.4","2.40000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","UZB","MLE","2.4","2.40000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","YEM","FMLE","2.5","2.50000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","STP","FMLE","3.0","3.00000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","SEN","FMLE","3.1","3.10000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","AGO","MLE","3.2","3.20000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","BDI","FMLE","3.2","3.20000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","NZL","BTSX","3.2","3.20000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","PAK","BTSX","3.3","3.30000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","GNQ","FMLE","3.4","3.40000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","TCD","FMLE","4.3","4.30000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","BHR","FMLE","4.6","4.60000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","DEU","BTSX","4.6","4.60000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","DEU","MLE","4.7","4.70000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","SLE","FMLE","5.0","5.00000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","LUX","BTSX","5.0","5.00000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","BRA","MLE","5.1","5.10000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","BRA","BTSX","5.1","5.10000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","MNE","BTSX","5.1","5.10000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","CIV","FMLE","5.7","5.70000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","GRD","FMLE","6.2","6.20000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","ALB","FMLE","6.3","6.30000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","GNQ","BTSX","7.0","7.00000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","ATG","BTSX","7.4","7.40000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","KOR","MLE","7.5","7.50000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","MKD","BTSX","8.0","8.00000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","GRD","BTSX","8.1","8.10000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","GMB","FMLE","8.6","8.60000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","DMA","FMLE","8.9","8.90000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","BRB","BTSX","9.7","9.70000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","GNQ","MLE","9.9","9.90000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","MDG","FMLE","10.2","10.20000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","BLZ","MLE","10.4","10.40000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","BEL","MLE","11.0","11.00000","","","Flemish Region only"
"M_def_2_prev_youth","PUBLISHED","AMR","GUY","BTSX","12.0","12.00000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","GMB","MLE","12.7","12.70000","","",""
"M_def_2_prev_youth","PUBLISHED","SEAR","MMR","MLE","13.0","13.00000","","",""
