"GHO","PUBLISHSTATE","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"M_def_2_text_youth","PUBLISHED","AFR","DZA","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","AGO","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","BEN","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","BWA","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","BFA","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","BDI","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","CPV","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","CMR","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","CAF","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","TCD","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","COM","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","COG","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","CIV","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","COD","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","GNQ","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","ERI","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","ETH","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","GMB","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","GIN","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","GNB","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","KEN","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","LSO","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","LBR","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","MDG","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","MWI","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","MLI","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","MRT","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","MUS","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","MOZ","Current cigarette smoking","","","",""
"M_def_2_text_youth","PUBLISHED","AFR","NAM","Current cigarette smoking","","","",""
