"GHO","PUBLISHSTATE","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"M_smkless_survey_title_youth","PUBLISHED","EUR","FIN","Adolescent Health and Lifestyle Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","EUR","SWE","Alcohol and drug use among students (Skolelevers drogvanor)","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AMR","CRI","Encuesta Nacional sobre Consumo de Drogas en poblaci�n de Educaci�n Secundaria","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AFR","BEN","Global School-Based Student Health Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AFR","DZA","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AFR","BWA","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AFR","COG","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AFR","CIV","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AFR","KEN","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AFR","LSO","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AFR","MDG","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AFR","MWI","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AFR","MOZ","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AFR","NAM","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AFR","RWA","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AFR","SEN","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AFR","SYC","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AFR","SWZ","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AFR","TGO","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AMR","ATG","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AMR","ARG","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AMR","BHS","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AMR","BRB","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AMR","BLZ","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AMR","DMA","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AMR","SLV","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AMR","GRD","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AMR","GUY","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AMR","JAM","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AMR","MEX","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AMR","PAN","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AMR","PER","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AMR","SUR","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","AMR","VEN","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","EMR","DJI","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","EMR","EGY","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","EMR","IRN","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","EMR","JOR","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","EMR","LBY","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","EMR","OMN","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","EMR","PAK","Global Youth Tobacco Survey","","","",""
"M_smkless_survey_title_youth","PUBLISHED","EMR","QAT","Global Youth Tobacco Survey","","","",""
