"GHO","PUBLISHSTATE","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"M_smkless_svy_national_adult","PUBLISHED","AFR","DZA","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","BEN","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","BFA","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","CPV","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","CMR","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","GMB","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","GHA","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","KEN","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","LSO","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","LBR","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","MDG","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","MWI","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","MRT","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","NER","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","NGA","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","STP","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","SYC","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","SLE","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","ZAF","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","SWZ","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","TGO","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","UGA","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","TZA","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AFR","ZWE","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AMR","ARG","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AMR","BHS","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AMR","BRB","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AMR","BRA","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AMR","CAN","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AMR","CRI","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AMR","DMA","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AMR","GRD","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AMR","MEX","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AMR","PAN","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AMR","PRY","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AMR","KNA","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AMR","TTO","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AMR","USA","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AMR","URY","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","AMR","VEN","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EMR","EGY","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EMR","IRQ","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EMR","LBY","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EMR","PAK","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EMR","QAT","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EMR","SAU","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EMR","TUN","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EMR","YEM","National","","","",""
"M_smkless_svy_national_adult","PUBLISHED","EUR","CZE","National","","","",""
