"GHO","PUBLISHSTATE","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"M_smkless_svy_national_youth","PUBLISHED","AFR","DZA","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","BEN","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","BWA","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","COG","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","CIV","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","KEN","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","LSO","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","MDG","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","MWI","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","MOZ","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","NAM","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","RWA","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","SEN","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","SYC","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","ZAF","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","SWZ","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","TGO","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","ATG","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","ARG","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","BHS","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","BRB","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","BLZ","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","CAN","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","CRI","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","DMA","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","SLV","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","GRD","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","GUY","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","JAM","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","MEX","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","PAN","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","PER","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","SUR","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","USA","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AMR","VEN","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EMR","DJI","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EMR","EGY","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EMR","IRN","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EMR","JOR","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EMR","LBY","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EMR","OMN","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EMR","PAK","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EMR","QAT","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EMR","SAU","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EMR","SYR","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EMR","TUN","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EMR","ARE","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EMR","YEM","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","ALB","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","ARM","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","BLR","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","BIH","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","HRV","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","EST","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","FIN","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","GEO","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","GRC","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","HUN","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","ISL","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","KAZ","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","KGZ","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","LVA","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","MNE","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","NLD","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","NOR","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","POL","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","MDA","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","RUS","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","SRB","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","SWE","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EUR","TJK","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","SEAR","BGD","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","SEAR","BTN","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","SEAR","IND","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","SEAR","IDN","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","SEAR","MDV","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","SEAR","MMR","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","SEAR","NPL","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","SEAR","LKA","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","SEAR","THA","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","SEAR","TLS","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","WPR","BRN","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","WPR","CHN","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","WPR","COK","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","WPR","MYS","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","WPR","FSM","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","WPR","MNG","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","WPR","NIU","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","WPR","PLW","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","WPR","PHL","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","WPR","KOR","National","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","AGO","Subnational","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","BFA","Subnational","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","CMR","Subnational","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","CAF","Subnational","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","COD","Subnational","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","GMB","Subnational","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","LBR","Subnational","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","NGA","Subnational","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","SLE","Subnational","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","TZA","Subnational","","","",""
"M_smkless_svy_national_youth","PUBLISHED","AFR","ZWE","Subnational","","","",""
"M_smkless_svy_national_youth","PUBLISHED","EMR","IRQ","Subnational","","","",""
