"GHO","PUBLISHSTATE","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"M_survey_title_adult","PUBLISHED","SEAR","MDV"," STEPS Survey of NCD Risk Factors","","","",""
"M_survey_title_adult","PUBLISHED","EUR","CHE","Addiction Monitoring survey","","","",""
"M_survey_title_adult","PUBLISHED","SEAR","PRK","Adult Tobacco Survey","","","",""
"M_survey_title_adult","PUBLISHED","EUR","ALB","Albania Demographic Health Survey","","","",""
"M_survey_title_adult","PUBLISHED","AFR","DZA","Algeria Adult Tobacco Survey","","","",""
"M_survey_title_adult","PUBLISHED","EUR","UKR","Annual household survey conducted by the National Statistic Service","","","",""
"M_survey_title_adult","PUBLISHED","AMR","BHS","Bahamas STEPS","","","",""
"M_survey_title_adult","PUBLISHED","AMR","BRB","Barbados STEPS Survey","","","",""
"M_survey_title_adult","PUBLISHED","EUR","FRA","Barom�tre sant�","","","",""
"M_survey_title_adult","PUBLISHED","SEAR","IDN","Basic Health Research (RISKESDAS)","","","",""
"M_survey_title_adult","PUBLISHED","SEAR","BTN","Bhutan STEPS Survey","","","",""
"M_survey_title_adult","PUBLISHED","AMR","CAN","Canada Tobacco Use Monitoring Survey (CTUMS)","","","",""
"M_survey_title_adult","PUBLISHED","AFR","CPV","Cap Vert Enqu�te STEPS","","","",""
"M_survey_title_adult","PUBLISHED","WPR","COK","Census","","","",""
"M_survey_title_adult","PUBLISHED","AFR","TCD","Chad STEPS survey","","","",""
"M_survey_title_adult","PUBLISHED","EUR","SVN","CINDI Health Monitor Survey","","","",""
"M_survey_title_adult","PUBLISHED","AFR","COM","Comoros STEPS","","","",""
"M_survey_title_adult","PUBLISHED","AFR","CIV","Demographic and Health Survey","","","",""
"M_survey_title_adult","PUBLISHED","AFR","COD","Demographic and Health Survey","","","",""
"M_survey_title_adult","PUBLISHED","AFR","ETH","Demographic and Health Survey","","","",""
"M_survey_title_adult","PUBLISHED","AFR","GHA","Demographic and Health Survey","","","",""
"M_survey_title_adult","PUBLISHED","AFR","GIN","Demographic and Health Survey","","","",""
"M_survey_title_adult","PUBLISHED","EUR","TJK","Demographic and Health Survey","","","",""
"M_survey_title_adult","PUBLISHED","AMR","DMA","Dominica STEPS Survey","","","",""
