"GHO","PUBLISHSTATE","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"M_svy_age_adult","PUBLISHED","WPR","PNG","0-+","","","",""
"M_svy_age_adult","PUBLISHED","EMR","DJI","10+","","","",""
"M_svy_age_adult","PUBLISHED","EMR","YEM","10+","","","",""
"M_svy_age_adult","PUBLISHED","SEAR","IDN","10+","","","",""
"M_svy_age_adult","PUBLISHED","EMR","IRQ","12+","","","",""
"M_svy_age_adult","PUBLISHED","WPR","AUS","14+","","","",""
"M_svy_age_adult","PUBLISHED","AFR","KEN","15+","","","",""
"M_svy_age_adult","PUBLISHED","AFR","NGA","15+","","","",""
"M_svy_age_adult","PUBLISHED","AFR","ZAF","15+","","","",""
"M_svy_age_adult","PUBLISHED","AFR","UGA","15+","","","",""
"M_svy_age_adult","PUBLISHED","AMR","ARG","15+","","","",""
"M_svy_age_adult","PUBLISHED","AMR","CAN","15+","","","",""
"M_svy_age_adult","PUBLISHED","AMR","CUB","15+","","","",""
"M_svy_age_adult","PUBLISHED","AMR","PAN","15+","","","",""
"M_svy_age_adult","PUBLISHED","AMR","URY","15+","","","",""
"M_svy_age_adult","PUBLISHED","EMR","AFG","15+","","","",""
"M_svy_age_adult","PUBLISHED","EMR","PAK","15+","","","",""
"M_svy_age_adult","PUBLISHED","EMR","QAT","15+","","","",""
"M_svy_age_adult","PUBLISHED","EMR","SAU","15+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","AND","15+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","AUT","15+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","AZE","15+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","BEL","15+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","BGR","15+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","CYP","15+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","CZE","15+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","DNK","15+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","DEU","15+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","GRC","15+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","IRL","15+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","ITA","15+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","KAZ","15+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","LUX","15+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","NLD","15+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","POL","15+","","","",""
"M_svy_age_adult","PUBLISHED","EUR","ROU","15+","","","",""
