"GHO","PUBLISHSTATE","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"M_svy_national_youth","PUBLISHED","AFR","DZA","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","BEN","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","BWA","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","BDI","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","CPV","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","TCD","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","COM","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","COG","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","CIV","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","GNQ","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","ERI","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","GAB","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","GHA","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","GIN","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","KEN","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","LSO","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","MDG","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","MWI","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","MLI","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","MRT","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","MUS","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","MOZ","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","NAM","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","NER","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","RWA","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","STP","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","SEN","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","SYC","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","ZAF","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","SWZ","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","TGO","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","UGA","National","","","",""
"M_svy_national_youth","PUBLISHED","AFR","ZMB","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","ATG","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","ARG","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","BHS","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","BRB","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","BLZ","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","BOL","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","BRA","National","","","",""
"M_svy_national_youth","PUBLISHED","AMR","CAN","National","","","",""
