"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NCD_CCS_DiabetesTest","PUBLISHED","2013","EMR","AFG","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AFR","AGO","No data received","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","EUR","ALB","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","EUR","AND","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","EMR","ARE","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AMR","ARG","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","EUR","ARM","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AMR","ATG","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","WPR","AUS","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","EUR","AUT","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","EUR","AZE","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AFR","BDI","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","EUR","BEL","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AFR","BEN","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AFR","BFA","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","SEAR","BGD","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","EUR","BGR","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","EMR","BHR","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AMR","BHS","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","EUR","BIH","No data received","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","EUR","BLR","No data received","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AMR","BLZ","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AMR","BOL","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AMR","BRA","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AMR","BRB","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","WPR","BRN","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","SEAR","BTN","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AFR","BWA","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AFR","CAF","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AMR","CAN","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","EUR","CHE","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AMR","CHL","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","WPR","CHN","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AFR","CIV","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AFR","CMR","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AFR","COD","No data received","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AFR","COG","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","WPR","COK","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AMR","COL","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AFR","COM","No","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AFR","CPV","No data received","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AMR","CRI","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AMR","CUB","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","EUR","CYP","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","EUR","CZE","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","EUR","DEU","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","EMR","DJI","Yes","","","",""
"NCD_CCS_DiabetesTest","PUBLISHED","2013","AMR","DMA","Yes","","","",""
