"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","COD","No data received","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","SLE","No data received","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","ETH","No data received","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","TZA","No data received","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","DNK","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","MCO","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EMR","QAT","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","WPR","WSM","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","CZE","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AMR","SLV","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","GAB","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EMR","MAR","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","NER","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","WPR","TUV","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","UKR","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AMR","BLZ","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","MDG","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","SRB","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","SYC","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EMR","AFG","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","HRV","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","WPR","FJI","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","WPR","LAO","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","MWI","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AMR","PER","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","FRA","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","TKM","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","ARM","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","WPR","AUS","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EMR","DJI","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AMR","DMA","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","FIN","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","WPR","MYS","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","CHE","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EMR","LBN","Don't know","","","","Country responded Don't know."
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","BIH","No data received","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","CPV","No data received","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","KAZ","No response","","","","No response given to this particular question."
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","GNQ","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","WPR","KIR","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","MLI","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AMR","NIC","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","STP","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","WPR","VNM","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AMR","BHS","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","BEN","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","KGZ","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","LVA","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","LUX","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","NAM","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","TUR","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","ZWE","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","GRC","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","WPR","JPN","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AMR","PRY","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EMR","SOM","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AMR","CAN","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","ERI","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","GMB","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EMR","IRQ","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","KEN","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","WPR","PNG","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","TGO","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","WPR","VUT","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","SEAR","BTN","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AMR","GTM","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","MRT","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","SEAR","NPL","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","POL","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","TJK","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AMR","HTI","No data received","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","SEAR","TLS","No data received","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","ZAF","No data received","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","SSD","No data received","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","BLR","No data received","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","MUS","No data received","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","TCD","No data received","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EMR","BHR","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","IRL","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EUR","MNE","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","WPR","NZL","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AMR","VEN","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","AFR","LBR","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EMR","PAK","No","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","SEAR","THA","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","EMR","OMN","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","WPR","SLB","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","WPR","TON","Yes","","","",""
"NCD_CCS_DietPlan","PUBLISHED","2013","WPR","NRU","Yes","","","",""
