"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EMR","AFG","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","ALB","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","DZA","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","AND","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","AGO","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","ATG","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","ARG","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","ARM","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","AUS","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","AUT","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","AZE","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","BHS","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EMR","BHR","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","SEAR","BGD","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","BRB","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","BLR","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","BEL","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","BLZ","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","BEN","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","SEAR","BTN","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","BOL","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","BIH","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","BRA","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","BRN","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","BGR","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","BFA","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","BDI","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","KHM","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","CMR","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","CAN","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","CAF","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","TCD","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","CHL","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","CHN","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","COL","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","COM","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","COG","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","CRI","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","HRV","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","CUB","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","CYP","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","CZE","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","SEAR","PRK","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","DMA","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","DOM","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","ECU","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EMR","EGY","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","SLV","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","ERI","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","EST","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","ETH","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","FJI","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","FIN","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","FRA","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","GMB","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","GEO","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","DEU","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","GHA","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","GRC","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","GRD","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","GTM","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","GIN","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","GUY","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","HTI","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","HND","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","HUN","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","ISL","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","SEAR","IND","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","SEAR","IDN","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EMR","IRN","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EMR","IRQ","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","IRL","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","ISR","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","ITA","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","JAM","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","JPN","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EMR","JOR","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","KAZ","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","KEN","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","KIR","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EMR","KWT","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","KGZ","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","LAO","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","LVA","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EMR","LBN","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","LSO","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EMR","LBY","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","LTU","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","MDG","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","MWI","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","MYS","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","SEAR","MDV","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","MLI","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","MLT","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","MHL","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","MRT","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","MEX","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","FSM","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","MCO","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","MNG","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","MNE","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EMR","MAR","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","MOZ","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","SEAR","MMR","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","NRU","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","SEAR","NPL","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","NLD","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","NZL","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","NIC","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","NER","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","NGA","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","NIU","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","NOR","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EMR","OMN","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EMR","PAK","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","PLW","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","PAN","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","PNG","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","PRY","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","PER","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","PHL","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","POL","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","PRT","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EMR","QAT","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","KOR","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","MDA","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","ROU","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","RUS","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","RWA","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","KNA","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","LCA","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AMR","VCT","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","SMR","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","STP","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EMR","SAU","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","SEN","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","SRB","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","SYC","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","AFR","SLE","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","SGP","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","SVK","Yes","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","SVN","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","WPR","SLB","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EMR","SOM","No","","","",""
"NCD_CCS_PM3_Surv","PUBLISHED","2015","EUR","ESP","No","","","",""
