"GHO","PUBLISHSTATE","YEAR","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","ESP","Don't know","","","","Country responded Don't know."
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","DZA","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","ATG","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","AZE","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","BTN","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","COM","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","FIN","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","GAB","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","GMB","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","GRD","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","JOR","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","KAZ","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","NZL","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","OMN","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","PRT","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","QAT","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","SMR","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","LKA","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","SUR","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","TJK","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","MKD","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","TUV","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","UGA","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","UZB","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","VEN","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","AFG","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","AUT","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","BWA","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","BGR","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","CAF","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","HRV","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","FJI","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","GEO","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","GRC","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","ISR","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","LAO","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","MDG","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","MWI","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","MRT","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","MAR","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","MMR","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","MDA","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","ROU","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","RWA","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","KNA","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","SAU","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","SRB","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","SOM","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","SYR","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","TUN","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","UKR","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","YEM","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","ZWE","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","BRA","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","CAN","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","COK","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","DJI","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","DMA","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","JAM","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","KIR","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","KWT","No","","","",""
"NCD_CCS_SurvMonRep9NCD","PUBLISHED","2013","LUX","No","","","",""
