"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NCD_CCS_paaware","PUBLISHED","2017","EMR","AFG","Don't know","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","ALB","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","DZA","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","AND","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","AGO","No response","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","ATG","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","ARG","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","ARM","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","AUS","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","AUT","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","AZE","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","BHS","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","BHR","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","SEAR","BGD","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","BRB","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","BLR","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","BEL","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","BLZ","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","BEN","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","SEAR","BTN","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","BOL","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","BIH","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","BWA","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","BRA","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","BRN","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","BGR","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","BFA","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","BDI","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","CPV","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","KHM","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","CMR","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","CAN","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","CAF","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","TCD","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","CHL","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","CHN","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","COL","Don't know","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","COM","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","COG","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","COK","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","CRI","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","HRV","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","CUB","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","CYP","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","CZE","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","CIV","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","SEAR","PRK","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","COD","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","DNK","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","DJI","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","DMA","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","DOM","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","ECU","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","EGY","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","SLV","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","GNQ","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","ERI","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","EST","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","ETH","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","FJI","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","FIN","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","FRA","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","GAB","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","GMB","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","GEO","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","DEU","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","GHA","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","GRC","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","GRD","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","GTM","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","GIN","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","GNB","Don't know","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","GUY","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","HTI","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","HND","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","HUN","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","ISL","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","SEAR","IND","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","SEAR","IDN","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","IRN","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","IRQ","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","IRL","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","ISR","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","ITA","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","JAM","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","JPN","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","JOR","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","KAZ","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","KEN","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","KIR","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","KWT","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","KGZ","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","LAO","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","LVA","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","LBN","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","LSO","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","LBR","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","LBY","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","LTU","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","LUX","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","MDG","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","MWI","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","MYS","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","SEAR","MDV","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","MLI","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","MLT","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","MHL","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","MRT","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","MUS","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","MEX","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","FSM","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","MCO","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","MNG","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","MNE","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","MAR","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","MOZ","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","SEAR","MMR","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","NAM","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","NRU","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","SEAR","NPL","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","NLD","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","NZL","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","NIC","Don't know","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","NER","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","NGA","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","NIU","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","NOR","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","OMN","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","PAK","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","PLW","No response","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","PAN","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","PNG","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","PRY","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","PER","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","PHL","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","POL","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","PRT","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","QAT","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","KOR","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","MDA","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","ROU","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","RUS","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","RWA","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","KNA","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","LCA","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","VCT","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","WSM","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","SMR","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","STP","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","SAU","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","SEN","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","SRB","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","SYC","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","SLE","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","SGP","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","SVK","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","SVN","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","SLB","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","SOM","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","ZAF","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","SSD","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","ESP","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","SEAR","LKA","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","SDN","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","SUR","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","SWZ","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","SWE","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","CHE","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","SYR","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","TJK","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","SEAR","THA","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","MKD","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","SEAR","TLS","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","TGO","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","TON","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AMR","TTO","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","TUN","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","TUR","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","TKM","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","WPR","TUV","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","UGA","No","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","UKR","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EMR","ARE","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","EUR","GBR","Yes","","","",""
"NCD_CCS_paaware","PUBLISHED","2017","AFR","TZA","No","","","",""
