"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NCD_CCS_rheum","PUBLISHED","2015","AFR","DZA","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","EUR","AND","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AFR","AGO","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AMR","ATG","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","EUR","ARM","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","EUR","AZE","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AMR","BHS","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","EMR","BHR","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","SEAR","BGD","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AMR","BRB","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","EUR","BLR","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AMR","BLZ","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AFR","BEN","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","SEAR","BTN","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AMR","BOL","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AMR","BRA","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","WPR","BRN","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","EUR","BGR","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AFR","BFA","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AFR","BDI","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","WPR","KHM","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AFR","CMR","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AFR","CAF","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","WPR","CHN","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AMR","COL","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AFR","COM","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AFR","COG","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AMR","CRI","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AMR","CUB","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","EUR","CYP","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","SEAR","PRK","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AMR","DMA","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AMR","DOM","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AMR","ECU","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","EMR","EGY","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AMR","SLV","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AFR","ERI","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","EUR","EST","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","WPR","FJI","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","EUR","FIN","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","EUR","FRA","NR","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AFR","GMB","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","EUR","GEO","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","EUR","DEU","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AFR","GHA","NR","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AMR","GRD","Yes","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AMR","GTM","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AFR","GIN","No","","","",""
"NCD_CCS_rheum","PUBLISHED","2015","AMR","GUY","Yes","","","",""
