"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NCD_CCS_rheumreg","PUBLISHED","2017","EMR","AFG","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","ALB","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","DZA","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","AND","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","AGO","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","ATG","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","ARG","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","ARM","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","WPR","AUS","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","AUT","Don't know","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","AZE","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","BHS","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EMR","BHR","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","SEAR","BGD","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","BRB","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","BLR","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","BEL","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","BLZ","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","BEN","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","SEAR","BTN","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","BOL","Don't know","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","BIH","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","BWA","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","BRA","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","WPR","BRN","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","BGR","Don't know","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","BFA","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","BDI","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","CPV","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","WPR","KHM","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","CMR","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","CAN","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","CAF","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","TCD","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","CHL","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","WPR","CHN","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","COL","Don't know","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","COM","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","COG","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","WPR","COK","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","CRI","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","HRV","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","CUB","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","CYP","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","CZE","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","CIV","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","SEAR","PRK","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","COD","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","DNK","Don't know","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EMR","DJI","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","DMA","Don't know","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","DOM","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","ECU","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EMR","EGY","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","SLV","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","GNQ","Don't know","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","ERI","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","EST","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","ETH","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","WPR","FJI","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","FIN","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","FRA","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","GAB","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","GMB","No response","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","GEO","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","DEU","Don't know","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","GHA","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","GRC","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","GRD","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","GTM","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","GIN","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","GNB","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","GUY","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","HTI","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","HND","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","HUN","Don't know","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","ISL","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","SEAR","IND","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","SEAR","IDN","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EMR","IRN","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EMR","IRQ","Don't know","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","IRL","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","ISR","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","ITA","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AMR","JAM","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","WPR","JPN","Don't know","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EMR","JOR","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","KAZ","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","KEN","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","WPR","KIR","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EMR","KWT","Don't know","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","KGZ","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","WPR","LAO","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","LVA","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EMR","LBN","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","LSO","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","LBR","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EMR","LBY","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","LTU","Yes","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","EUR","LUX","No","","","",""
"NCD_CCS_rheumreg","PUBLISHED","2017","AFR","MDG","Yes","","","",""
