"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","GHECAUSES","Display Value","Numeric","Low","High","Comments"
"NCD_DTH_TOT","PUBLISHED","2000","EMR","AFG","FMLE","","34200","34227.09000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","ALB","FMLE","","13600","13554.88000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","WPR","AUS","FMLE","","66000","66038.24000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","AZE","FMLE","","23300","23326.95000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","BEL","FMLE","","47500","47499.69000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","SEAR","BGD","FMLE","","244800","244827.20000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","BGR","FMLE","","49600","49612.30000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","BGR","FMLE","","48700","48714.85000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","EUR","BIH","FMLE","","16000","15989.53000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AMR","BOL","FMLE","","21400","21359.18000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AMR","BRA","FMLE","","459900","459946.80000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AMR","BRB","FMLE","","700","748.32370","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AMR","CHL","FMLE","","38200","38161.59000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AMR","CHL","FMLE","","29000","29012.61000","","",""
"NCD_DTH_TOT","PUBLISHED","2012","AFR","COD","FMLE","","110400","110427.30000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AFR","COD","FMLE","","72400","72350.81000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AMR","COL","FMLE","","55700","55716.63000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","AMR","CUB","FMLE","","27900","27925.33000","","",""
"NCD_DTH_TOT","PUBLISHED","2000","EUR","CZE","FMLE","","48800","48839.59000","","",""
