"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"NCD_GLUC_02","PUBLISHED","1981","EMR","AFG","AGE25-PLUS","FMLE","4.8 [3.9-5.8]","4.80000","3.90000","5.80000",""
"NCD_GLUC_02","PUBLISHED","1983","EMR","AFG","AGE25-PLUS","FMLE","4.9 [4.0-5.7]","4.90000","4.00000","5.70000",""
"NCD_GLUC_02","PUBLISHED","1988","EMR","AFG","AGE25-PLUS","FMLE","4.9 [4.2-5.6]","4.90000","4.20000","5.60000",""
"NCD_GLUC_02","PUBLISHED","1990","EMR","AFG","AGE25-PLUS","FMLE","4.9 [4.3-5.6]","4.90000","4.30000","5.60000",""
"NCD_GLUC_02","PUBLISHED","1997","EMR","AFG","AGE25-PLUS","FMLE","5.0 [4.4-5.7]","5.00000","4.40000","5.70000",""
"NCD_GLUC_02","PUBLISHED","1999","EMR","AFG","AGE25-PLUS","FMLE","5.1 [4.4-5.7]","5.10000","4.40000","5.70000",""
"NCD_GLUC_02","PUBLISHED","2006","EMR","AFG","AGE25-PLUS","FMLE","5.2 [4.5-6.0]","5.20000","4.50000","6.00000",""
"NCD_GLUC_02","PUBLISHED","2008","EMR","AFG","AGE25-PLUS","FMLE","5.3 [4.4-6.1]","5.30000","4.40000","6.10000",""
"NCD_GLUC_02","PUBLISHED","1983","EUR","ALB","AGE25-PLUS","FMLE","5.3 [4.4-6.1]","5.30000","4.40000","6.10000",""
"NCD_GLUC_02","PUBLISHED","1985","EUR","ALB","AGE25-PLUS","FMLE","5.3 [4.5-6.0]","5.30000","4.50000","6.00000",""
"NCD_GLUC_02","PUBLISHED","1992","EUR","ALB","AGE25-PLUS","FMLE","5.3 [4.6-6.0]","5.30000","4.60000","6.00000",""
"NCD_GLUC_02","PUBLISHED","1994","EUR","ALB","AGE25-PLUS","FMLE","5.3 [4.6-6.0]","5.30000","4.60000","6.00000",""
"NCD_GLUC_02","PUBLISHED","2001","EUR","ALB","AGE25-PLUS","FMLE","5.3 [4.6-6.0]","5.30000","4.60000","6.00000",""
"NCD_GLUC_02","PUBLISHED","2003","EUR","ALB","AGE25-PLUS","FMLE","5.3 [4.6-6.1]","5.30000","4.60000","6.10000",""
"NCD_GLUC_02","PUBLISHED","2008","EUR","ALB","AGE25-PLUS","FMLE","5.3 [4.4-6.2]","5.30000","4.40000","6.20000",""
"NCD_GLUC_02","PUBLISHED","1980","AFR","DZA","AGE25-PLUS","FMLE","5.1 [4.1-6.1]","5.10000","4.10000","6.10000",""
"NCD_GLUC_02","PUBLISHED","1987","AFR","DZA","AGE25-PLUS","FMLE","5.2 [4.6-5.8]","5.20000","4.60000","5.80000",""
"NCD_GLUC_02","PUBLISHED","1989","AFR","DZA","AGE25-PLUS","FMLE","5.2 [4.7-5.8]","5.20000","4.70000","5.80000",""
"NCD_GLUC_02","PUBLISHED","1996","AFR","DZA","AGE25-PLUS","FMLE","5.3 [4.9-5.7]","5.30000","4.90000","5.70000",""
"NCD_GLUC_02","PUBLISHED","1998","AFR","DZA","AGE25-PLUS","FMLE","5.3 [5.0-5.7]","5.30000","5.00000","5.70000",""
"NCD_GLUC_02","PUBLISHED","2003","AFR","DZA","AGE25-PLUS","FMLE","5.4 [5.0-5.7]","5.40000","5.00000","5.70000",""
"NCD_GLUC_02","PUBLISHED","2005","AFR","DZA","AGE25-PLUS","FMLE","5.4 [5.0-5.8]","5.40000","5.00000","5.80000",""
"NCD_GLUC_02","PUBLISHED","1982","AFR","AGO","AGE25-PLUS","FMLE","4.8 [3.8-5.7]","4.80000","3.80000","5.70000",""
"NCD_GLUC_02","PUBLISHED","1984","AFR","AGO","AGE25-PLUS","FMLE","4.8 [3.9-5.6]","4.80000","3.90000","5.60000",""
"NCD_GLUC_02","PUBLISHED","1991","AFR","AGO","AGE25-PLUS","FMLE","4.9 [4.2-5.6]","4.90000","4.20000","5.60000",""
"NCD_GLUC_02","PUBLISHED","1993","AFR","AGO","AGE25-PLUS","FMLE","4.9 [4.2-5.6]","4.90000","4.20000","5.60000",""
"NCD_GLUC_02","PUBLISHED","1998","AFR","AGO","AGE25-PLUS","FMLE","5.0 [4.3-5.7]","5.00000","4.30000","5.70000",""
"NCD_GLUC_02","PUBLISHED","2000","AFR","AGO","AGE25-PLUS","FMLE","5.0 [4.3-5.7]","5.00000","4.30000","5.70000",""
"NCD_GLUC_02","PUBLISHED","2007","AFR","AGO","AGE25-PLUS","FMLE","5.1 [4.2-6.0]","5.10000","4.20000","6.00000",""
