"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"NCD_PAC","PUBLISHED","2016","AFR","DZA","YEARS18-PLUS","BTSX","31.9 [24.1-40.9]","31.93029","24.09795","40.87264",""
"NCD_PAC","PUBLISHED","2016","EUR","AND","YEARS18-PLUS","BTSX","42.9 [35.0-51.1]","42.87241","34.99082","51.12102",""
"NCD_PAC","PUBLISHED","2016","AMR","ARG","YEARS18-PLUS","BTSX","42.3 [34.3-50.7]","42.29828","34.27574","50.71996",""
"NCD_PAC","PUBLISHED","2016","EUR","ARM","YEARS18-PLUS","BTSX","23.3 [16.9-31.2]","23.30075","16.87183","31.24430",""
"NCD_PAC","PUBLISHED","2016","WPR","AUS","YEARS18-PLUS","BTSX","31.7 [24.9-39.4]","31.74989","24.91813","39.43875",""
"NCD_PAC","PUBLISHED","2016","EUR","AUT","YEARS18-PLUS","BTSX","32.5 [26.3-39.5]","32.52301","26.25337","39.45379",""
"NCD_PAC","PUBLISHED","2016","AMR","BHS","YEARS18-PLUS","BTSX","43.0 [34.7-51.6]","42.97605","34.70987","51.56633",""
"NCD_PAC","PUBLISHED","2016","SEAR","BGD","YEARS18-PLUS","BTSX","26.1 [15.0-37.2]","26.08870","14.98258","37.19482",""
"NCD_PAC","PUBLISHED","2016","AMR","BRB","YEARS18-PLUS","BTSX","44.4 [35.6-53.2]","44.40290","35.64795","53.15786",""
"NCD_PAC","PUBLISHED","2016","EUR","BLR","YEARS18-PLUS","BTSX","15.2 [10.8-20.9]","15.19519","10.82787","20.88945",""
"NCD_PAC","PUBLISHED","2016","EUR","BEL","YEARS18-PLUS","BTSX","38.6 [31.9-45.7]","38.61105","31.91477","45.72996",""
"NCD_PAC","PUBLISHED","2016","AFR","BEN","YEARS18-PLUS","BTSX","14.6 [11.1-19.0]","14.59970","11.06783","19.00078",""
"NCD_PAC","PUBLISHED","2016","SEAR","BTN","YEARS18-PLUS","BTSX","21.9 [17.5-26.2]","21.87835","17.54872","26.20798",""
"NCD_PAC","PUBLISHED","2016","EUR","BIH","YEARS18-PLUS","BTSX","26.0 [19.0-34.5]","25.99938","18.97188","34.47361",""
"NCD_PAC","PUBLISHED","2016","AFR","BWA","YEARS18-PLUS","BTSX","20.4 [15.8-25.9]","20.41874","15.81483","25.91236",""
"NCD_PAC","PUBLISHED","2016","AMR","BRA","YEARS18-PLUS","BTSX","46.9 [38.8-55.2]","46.91183","38.75938","55.21235",""
"NCD_PAC","PUBLISHED","2016","WPR","BRN","YEARS18-PLUS","BTSX","26.5 [17.8-37.3]","26.48115","17.83982","37.28898",""
"NCD_PAC","PUBLISHED","2016","EUR","BGR","YEARS18-PLUS","BTSX","41.2 [33.0-49.9]","41.20640","32.99832","49.90687",""
"NCD_PAC","PUBLISHED","2016","AFR","BFA","YEARS18-PLUS","BTSX","17.8 [13.0-22.6]","17.78866","12.97461","22.60271",""
"NCD_PAC","PUBLISHED","2016","AFR","CPV","YEARS18-PLUS","BTSX","18.6 [14.2-24.0]","18.61618","14.19870","23.97388",""
"NCD_PAC","PUBLISHED","2016","WPR","KHM","YEARS18-PLUS","BTSX","9.8 [6.4-14.7]","9.81612","6.41912","14.71513",""
"NCD_PAC","PUBLISHED","2016","AFR","CMR","YEARS18-PLUS","BTSX","26.9 [21.3-33.4]","26.94101","21.30375","33.39224",""
"NCD_PAC","PUBLISHED","2016","AMR","CAN","YEARS18-PLUS","BTSX","29.8 [23.0-37.7]","29.83781","22.98696","37.69956",""
"NCD_PAC","PUBLISHED","2016","AFR","CAF","YEARS18-PLUS","BTSX","13.5 [10.2-17.5]","13.45209","10.22683","17.48385",""
"NCD_PAC","PUBLISHED","2016","AFR","TCD","YEARS18-PLUS","BTSX","21.3 [14.9-27.7]","21.30655","14.86726","27.74583",""
"NCD_PAC","PUBLISHED","2016","AMR","CHL","YEARS18-PLUS","BTSX","26.9 [19.8-33.9]","26.86083","19.83783","33.88384",""
"NCD_PAC","PUBLISHED","2016","WPR","CHN","YEARS18-PLUS","BTSX","14.4 [10.3-19.7]","14.37207","10.29007","19.71326",""
"NCD_PAC","PUBLISHED","2016","AMR","COL","YEARS18-PLUS","BTSX","43.0 [34.4-51.6]","43.01649","34.41739","51.61560",""
"NCD_PAC","PUBLISHED","2016","AFR","COM","YEARS18-PLUS","BTSX","12.5 [9.2-15.8]","12.48814","9.15971","15.81658",""
"NCD_PAC","PUBLISHED","2016","AFR","COG","YEARS18-PLUS","BTSX","26.3 [20.1-33.4]","26.25146","20.12771","33.43805",""
"NCD_PAC","PUBLISHED","2016","WPR","COK","YEARS18-PLUS","BTSX","20.9 [15.3-27.8]","20.93406","15.25982","27.84932",""
"NCD_PAC","PUBLISHED","2016","AMR","CRI","YEARS18-PLUS","BTSX","46.2 [38.1-54.6]","46.24737","38.10085","54.56266",""
"NCD_PAC","PUBLISHED","2016","AFR","CIV","YEARS18-PLUS","BTSX","31.0 [24.9-37.2]","31.01782","24.86301","37.17262",""
"NCD_PAC","PUBLISHED","2016","EUR","HRV","YEARS18-PLUS","BTSX","33.4 [26.2-41.5]","33.42142","26.19211","41.46643",""
"NCD_PAC","PUBLISHED","2016","AMR","CUB","YEARS18-PLUS","BTSX","38.2 [30.4-46.6]","38.17540","30.39920","46.57560",""
"NCD_PAC","PUBLISHED","2016","EUR","CYP","YEARS18-PLUS","BTSX","45.3 [37.7-53.0]","45.27130","37.71465","53.01733",""
"NCD_PAC","PUBLISHED","2016","EUR","CZE","YEARS18-PLUS","BTSX","33.2 [26.1-41.1]","33.20240","26.11249","41.11086",""
"NCD_PAC","PUBLISHED","2016","AFR","COD","YEARS18-PLUS","BTSX","22.2 [17.2-28.0]","22.15310","17.21148","28.02057",""
"NCD_PAC","PUBLISHED","2016","EUR","DNK","YEARS18-PLUS","BTSX","30.8 [24.7-37.5]","30.76007","24.73535","37.49314",""
"NCD_PAC","PUBLISHED","2016","AMR","DMA","YEARS18-PLUS","BTSX","24.8 [18.9-31.6]","24.79548","18.94402","31.64124",""
"NCD_PAC","PUBLISHED","2016","AMR","DOM","YEARS18-PLUS","BTSX","37.9 [29.9-46.5]","37.90152","29.94059","46.54235",""
"NCD_PAC","PUBLISHED","2016","AMR","ECU","YEARS18-PLUS","BTSX","26.5 [19.2-33.9]","26.54121","19.21144","33.87097",""
"NCD_PAC","PUBLISHED","2016","EMR","EGY","YEARS18-PLUS","BTSX","29.9 [22.6-38.2]","29.88614","22.64244","38.21158",""
"NCD_PAC","PUBLISHED","2016","AFR","ERI","YEARS18-PLUS","BTSX","20.5 [17.3-23.7]","20.50125","17.29163","23.71087",""
"NCD_PAC","PUBLISHED","2016","EUR","EST","YEARS18-PLUS","BTSX","34.2 [27.1-42.2]","34.23347","27.07444","42.15238",""
"NCD_PAC","PUBLISHED","2016","AFR","ETH","YEARS18-PLUS","BTSX","13.6 [11.0-16.2]","13.56647","10.97978","16.15317",""
"NCD_PAC","PUBLISHED","2016","WPR","FJI","YEARS18-PLUS","BTSX","16.8 [12.1-22.9]","16.83838","12.07377","22.90459",""
"NCD_PAC","PUBLISHED","2016","EUR","FIN","YEARS18-PLUS","BTSX","18.7 [14.6-23.6]","18.70897","14.62916","23.60137",""
"NCD_PAC","PUBLISHED","2016","EUR","FRA","YEARS18-PLUS","BTSX","32.3 [26.1-39.0]","32.25159","26.10918","39.03242",""
