"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"NCD_PAC_ADO","PUBLISHED","2010","AFR","","AGO","YEARS11-17","MLE","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","AFR","","AGO","YEARS11-17","FMLE","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","AFR","","AGO","YEARS11-17","BTSX","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","EUR","","AND","YEARS11-17","MLE","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","EUR","","AND","YEARS11-17","FMLE","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","EUR","","AND","YEARS11-17","BTSX","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","EUR","","AZE","YEARS11-17","MLE","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","EUR","","AZE","YEARS11-17","FMLE","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","EUR","","AZE","YEARS11-17","BTSX","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","AFR","","BDI","YEARS11-17","MLE","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","AFR","","BDI","YEARS11-17","FMLE","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","AFR","","BDI","YEARS11-17","BTSX","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","AFR","","BFA","YEARS11-17","MLE","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","AFR","","BFA","YEARS11-17","FMLE","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","AFR","","BFA","YEARS11-17","BTSX","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","EUR","","BIH","YEARS11-17","MLE","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","EUR","","BIH","YEARS11-17","FMLE","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","EUR","","BIH","YEARS11-17","BTSX","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","EUR","","BLR","YEARS11-17","MLE","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","EUR","","BLR","YEARS11-17","FMLE","No data","","","",""
"NCD_PAC_ADO","PUBLISHED","2010","EUR","","BLR","YEARS11-17","BTSX","No data","","","",""
