"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"NCD_UNDER70","PUBLISHED","2000","EMR","AFG","MLE","73","72.59509","","",""
"NCD_UNDER70","PUBLISHED","2010","EMR","AFG","BTSX","69","69.26360","","",""
"NCD_UNDER70","PUBLISHED","2015","EMR","AFG","FMLE","66","65.64394","","",""
"NCD_UNDER70","PUBLISHED","2000","AFR","AGO","BTSX","74","73.56956","","",""
"NCD_UNDER70","PUBLISHED","2010","AFR","AGO","FMLE","64","64.17306","","",""
"NCD_UNDER70","PUBLISHED","2016","AFR","AGO","BTSX","66","66.02452","","",""
"NCD_UNDER70","PUBLISHED","2000","EUR","ALB","FMLE","31","30.82642","","",""
"NCD_UNDER70","PUBLISHED","2015","EUR","ALB","MLE","33","33.14589","","",""
"NCD_UNDER70","PUBLISHED","2015","EUR","ALB","BTSX","29","29.39405","","",""
"NCD_UNDER70","PUBLISHED","2010","EMR","ARE","MLE","82","82.17804","","",""
"NCD_UNDER70","PUBLISHED","2010","EMR","ARE","BTSX","78","78.12166","","",""
"NCD_UNDER70","PUBLISHED","2000","AMR","ARG","MLE","45","44.67998","","",""
"NCD_UNDER70","PUBLISHED","2000","AMR","ARG","BTSX","38","37.90699","","",""
"NCD_UNDER70","PUBLISHED","2015","AMR","ARG","FMLE","28","27.93195","","",""
"NCD_UNDER70","PUBLISHED","2016","AMR","ARG","MLE","41","41.26904","","",""
"NCD_UNDER70","PUBLISHED","2010","EUR","ARM","FMLE","23","23.44470","","",""
"NCD_UNDER70","PUBLISHED","2015","EUR","ARM","MLE","44","43.57735","","",""
"NCD_UNDER70","PUBLISHED","2000","AMR","ATG","FMLE","37","37.41852","","",""
"NCD_UNDER70","PUBLISHED","2010","AMR","ATG","MLE","50","49.77028","","",""
"NCD_UNDER70","PUBLISHED","2015","AMR","ATG","BTSX","47","47.31195","","",""
"NCD_UNDER70","PUBLISHED","2016","AMR","ATG","FMLE","45","45.21664","","",""
"NCD_UNDER70","PUBLISHED","2010","WPR","AUS","BTSX","24","24.01821","","",""
"NCD_UNDER70","PUBLISHED","2015","WPR","AUS","FMLE","19","18.65196","","",""
"NCD_UNDER70","PUBLISHED","2000","EUR","AUT","BTSX","24","24.14903","","",""
"NCD_UNDER70","PUBLISHED","2010","EUR","AUT","FMLE","16","15.64404","","",""
"NCD_UNDER70","PUBLISHED","2016","EUR","AUT","MLE","28","28.39858","","",""
"NCD_UNDER70","PUBLISHED","2016","EUR","AUT","BTSX","21","21.44964","","",""
"NCD_UNDER70","PUBLISHED","2000","EUR","AZE","FMLE","41","41.11391","","",""
"NCD_UNDER70","PUBLISHED","2015","EUR","AZE","MLE","54","54.18176","","",""
"NCD_UNDER70","PUBLISHED","2015","EUR","AZE","BTSX","45","45.17286","","",""
"NCD_UNDER70","PUBLISHED","2010","AFR","BDI","MLE","68","68.33563","","",""
"NCD_UNDER70","PUBLISHED","2010","AFR","BDI","BTSX","65","65.39178","","",""
"NCD_UNDER70","PUBLISHED","2016","AFR","BDI","FMLE","65","64.77222","","",""
"NCD_UNDER70","PUBLISHED","2000","EUR","BEL","MLE","33","32.88512","","",""
"NCD_UNDER70","PUBLISHED","2000","EUR","BEL","BTSX","25","25.23984","","",""
"NCD_UNDER70","PUBLISHED","2015","EUR","BEL","FMLE","17","16.73502","","",""
"NCD_UNDER70","PUBLISHED","2016","EUR","BEL","MLE","29","28.67309","","",""
"NCD_UNDER70","PUBLISHED","2010","AFR","BEN","FMLE","63","63.07249","","",""
"NCD_UNDER70","PUBLISHED","2015","AFR","BEN","MLE","71","70.67523","","",""
"NCD_UNDER70","PUBLISHED","2000","AFR","BFA","FMLE","63","63.45718","","",""
"NCD_UNDER70","PUBLISHED","2010","AFR","BFA","MLE","72","72.38100","","",""
"NCD_UNDER70","PUBLISHED","2015","AFR","BFA","BTSX","69","68.54447","","",""
"NCD_UNDER70","PUBLISHED","2016","AFR","BFA","FMLE","65","64.55022","","",""
"NCD_UNDER70","PUBLISHED","2010","SEAR","BGD","BTSX","54","53.54446","","",""
"NCD_UNDER70","PUBLISHED","2015","SEAR","BGD","FMLE","51","50.96022","","",""
"NCD_UNDER70","PUBLISHED","2000","EUR","BGR","BTSX","34","34.30945","","",""
"NCD_UNDER70","PUBLISHED","2010","EUR","BGR","FMLE","21","20.93933","","",""
"NCD_UNDER70","PUBLISHED","2016","EUR","BGR","MLE","40","39.69178","","",""
"NCD_UNDER70","PUBLISHED","2016","EUR","BGR","BTSX","30","30.22112","","",""
"NCD_UNDER70","PUBLISHED","2015","EMR","BHR","MLE","59","58.62429","","",""
"NCD_UNDER70","PUBLISHED","2015","EMR","BHR","BTSX","54","53.84727","","",""
"NCD_UNDER70","PUBLISHED","2010","AMR","BHS","MLE","56","55.52406","","",""
"NCD_UNDER70","PUBLISHED","2010","AMR","BHS","BTSX","48","48.41203","","",""
"NCD_UNDER70","PUBLISHED","2016","AMR","BHS","FMLE","38","38.13316","","",""
"NCD_UNDER70","PUBLISHED","2000","EUR","BIH","MLE","54","53.58116","","",""
"NCD_UNDER70","PUBLISHED","2015","EUR","BIH","FMLE","21","20.51081","","",""
"NCD_UNDER70","PUBLISHED","2016","EUR","BIH","MLE","36","36.49747","","",""
"NCD_UNDER70","PUBLISHED","2010","EUR","BLR","FMLE","21","21.45009","","",""
"NCD_UNDER70","PUBLISHED","2015","EUR","BLR","MLE","51","50.56480","","",""
"NCD_UNDER70","PUBLISHED","2016","EUR","BLR","BTSX","35","35.12514","","",""
"NCD_UNDER70","PUBLISHED","2000","AMR","BLZ","FMLE","42","42.25330","","",""
"NCD_UNDER70","PUBLISHED","2015","AMR","BLZ","BTSX","50","49.67210","","",""
"NCD_UNDER70","PUBLISHED","2016","AMR","BLZ","FMLE","47","46.87362","","",""
"NCD_UNDER70","PUBLISHED","2010","AMR","BOL","BTSX","55","54.78978","","",""
"NCD_UNDER70","PUBLISHED","2015","AMR","BOL","FMLE","50","49.54399","","",""
"NCD_UNDER70","PUBLISHED","2000","AMR","BRA","MLE","60","59.62320","","",""
"NCD_UNDER70","PUBLISHED","2000","AMR","BRA","BTSX","55","55.19588","","",""
"NCD_UNDER70","PUBLISHED","2016","AMR","BRA","MLE","52","52.21674","","",""
"NCD_UNDER70","PUBLISHED","2016","AMR","BRA","BTSX","47","46.72585","","",""
"NCD_UNDER70","PUBLISHED","2015","AMR","BRB","MLE","34","33.52999","","",""
"NCD_UNDER70","PUBLISHED","2015","AMR","BRB","BTSX","28","28.29210","","",""
"NCD_UNDER70","PUBLISHED","2000","WPR","BRN","FMLE","52","51.62692","","",""
"NCD_UNDER70","PUBLISHED","2010","WPR","BRN","MLE","55","54.97862","","",""
"NCD_UNDER70","PUBLISHED","2016","WPR","BRN","FMLE","49","49.33049","","",""
"NCD_UNDER70","PUBLISHED","2000","SEAR","BTN","MLE","70","70.34777","","",""
"NCD_UNDER70","PUBLISHED","2015","SEAR","BTN","FMLE","64","64.37173","","",""
"NCD_UNDER70","PUBLISHED","2016","SEAR","BTN","MLE","61","61.17449","","",""
"NCD_UNDER70","PUBLISHED","2000","AFR","BWA","BTSX","58","58.36684","","",""
"NCD_UNDER70","PUBLISHED","2010","AFR","BWA","FMLE","48","47.56141","","",""
"NCD_UNDER70","PUBLISHED","2016","AFR","BWA","BTSX","52","52.02993","","",""
"NCD_UNDER70","PUBLISHED","2000","AFR","CAF","FMLE","57","57.44477","","",""
"NCD_UNDER70","PUBLISHED","2015","AFR","CAF","BTSX","61","61.02276","","",""
"NCD_UNDER70","PUBLISHED","2016","AFR","CAF","FMLE","55","55.06804","","",""
"NCD_UNDER70","PUBLISHED","2010","AMR","CAN","MLE","33","32.65001","","",""
"NCD_UNDER70","PUBLISHED","2010","AMR","CAN","BTSX","27","27.28853","","",""
"NCD_UNDER70","PUBLISHED","2015","AMR","CAN","FMLE","22","22.06740","","",""
"NCD_UNDER70","PUBLISHED","2000","EUR","CHE","MLE","30","29.86398","","",""
"NCD_UNDER70","PUBLISHED","2000","EUR","CHE","BTSX","23","22.72726","","",""
"NCD_UNDER70","PUBLISHED","2016","EUR","CHE","MLE","25","24.55492","","",""
"NCD_UNDER70","PUBLISHED","2016","EUR","CHE","BTSX","19","18.99480","","",""
"NCD_UNDER70","PUBLISHED","2010","AMR","CHL","FMLE","30","30.16853","","",""
"NCD_UNDER70","PUBLISHED","2015","AMR","CHL","MLE","41","41.17478","","",""
"NCD_UNDER70","PUBLISHED","2015","AMR","CHL","BTSX","35","35.19884","","",""
"NCD_UNDER70","PUBLISHED","2000","WPR","CHN","FMLE","36","35.50414","","",""
"NCD_UNDER70","PUBLISHED","2010","WPR","CHN","MLE","38","38.39109","","",""
"NCD_UNDER70","PUBLISHED","2016","WPR","CHN","FMLE","32","32.15573","","",""
"NCD_UNDER70","PUBLISHED","2000","AFR","CIV","MLE","72","71.77930","","",""
"NCD_UNDER70","PUBLISHED","2010","AFR","CIV","BTSX","73","72.99613","","",""
"NCD_UNDER70","PUBLISHED","2015","AFR","CIV","FMLE","73","72.58676","","",""
"NCD_UNDER70","PUBLISHED","2016","AFR","CIV","MLE","73","72.53329","","",""
"NCD_UNDER70","PUBLISHED","2000","AFR","CMR","BTSX","70","70.13750","","",""
