"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NHABASIS","PUBLISHED","2011","WPR","AUS","About 30% of the expenditure in residential facilities for care of the aged has a health purpose, but this is difficult to estimate routinely and so is not included under health at present. Such health-purpose expenditure was about US$ 2.1 billion in 2005–2006 or 0.2% of GDP.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","AFR","AGO","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","AMR","ARG","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","EUR","AZE","Adjustments for currency change (from old to new manat) were made for the entire Azerbaijan series starting from World Health Statistics 2008.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","SEAR","BGD","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations. Fiscal year starts in July and expenditure data have been allocated to the later calendar year (i.e. 2007 data covers the fiscal year 2006–2007).","0.00000","","",""
"NHABASIS","PUBLISHED","2011","SEAR","BTN","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations. Fiscal year starts in July and expenditure data have been allocated to the later calendar year (i.e. 2007 data covers the fiscal year 2006–2007).","0.00000","","",""
"NHABASIS","PUBLISHED","2011","EMR","BHR","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","AFR","BWA","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","WPR","KHM","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations. Fiscal year starts in July and expenditure data have been allocated to the later calendar year (i.e. 2007 data covers the fiscal year 2006–2007).","0.00000","","",""
"NHABASIS","PUBLISHED","2011","AFR","BDI","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations. Estimates should be viewed with caution as these are derived from scarce data.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","AFR","CMR","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations. Estimates should be viewed with caution as these are derived from scarce data.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","AFR","BFA","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","AFR","CPV","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","AFR","CAF","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","WPR","BRN","Fiscal year starts in April and expenditure data have been allocated to the earlier calendar year (i.e. 2006 data cover the fiscal year 2006–2007).","0.00000","","",""
"NHABASIS","PUBLISHED","2011","AFR","TCD","Estimates should be viewed with caution as these are derived from scarce data.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","WPR","COK","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations. Fiscal year starts in July and expenditure data have been allocated to the later calendar year (i.e. 2007 data covers the fiscal year 2006–2007).","0.00000","","",""
"NHABASIS","PUBLISHED","2011","AFR","COM","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations. Estimates should be viewed with caution as these are derived from scarce data.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","AMR","CHL","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","AFR","COG","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","AFR","ERI","Estimates should be viewed with caution as these are derived from scarce data. The change in the trend of Out-of-pocket expenditure in 2008 is driven by a large decrease in total private consumption in 2008 and a big increase in 2009.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","AFR","GNQ","Estimates should be viewed with caution as these are derived from scarce data. Increases in government expenditure on health are due to investment in capital expenditures.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","AMR","DOM","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations.","0.00000","","",""
"NHABASIS","PUBLISHED","2011","AMR","ECU","A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations.","0.00000","","",""
