"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTCP_FTE","PUBLISHED","2014","EMR","AFG","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2016","EMR","AFG","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2018","EMR","AFG","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2007","AFR","AGO","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2008","AFR","AGO","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2018","AFR","AGO","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2007","EUR","ALB","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2008","EUR","ALB","1","1.00000","","",""
"NTCP_FTE","PUBLISHED","2010","EUR","ALB","1","1.00000","","",""
"NTCP_FTE","PUBLISHED","2007","EUR","AND","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2008","EUR","AND","Not applicable","","","",""
"NTCP_FTE","PUBLISHED","2010","EUR","AND","Not applicable","","","",""
"NTCP_FTE","PUBLISHED","2012","EUR","AND","Not applicable","","","",""
"NTCP_FTE","PUBLISHED","2010","EMR","ARE","0","0.00000","","",""
"NTCP_FTE","PUBLISHED","2012","EMR","ARE","0","0.00000","","",""
"NTCP_FTE","PUBLISHED","2014","EMR","ARE","0","0.00000","","",""
"NTCP_FTE","PUBLISHED","2016","EMR","ARE","0","0.00000","","",""
"NTCP_FTE","PUBLISHED","2012","AMR","ARG","4","4.00000","","",""
"NTCP_FTE","PUBLISHED","2014","AMR","ARG","4","4.00000","","",""
"NTCP_FTE","PUBLISHED","2016","AMR","ARG","4","4.00000","","",""
"NTCP_FTE","PUBLISHED","2018","AMR","ARG","4","4.00000","","",""
"NTCP_FTE","PUBLISHED","2014","EUR","ARM","1","1.00000","","",""
"NTCP_FTE","PUBLISHED","2016","EUR","ARM","1","1.00000","","",""
"NTCP_FTE","PUBLISHED","2018","EUR","ARM","1","1.00000","","",""
"NTCP_FTE","PUBLISHED","2007","AMR","ATG","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2018","AMR","ATG","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2007","WPR","AUS","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2008","WPR","AUS","16","16.00000","","",""
"NTCP_FTE","PUBLISHED","2010","WPR","AUS","24","24.00000","","",""
"NTCP_FTE","PUBLISHED","2007","EUR","AUT","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2008","EUR","AUT","Not applicable","","","",""
"NTCP_FTE","PUBLISHED","2010","EUR","AUT","Not applicable","","","",""
"NTCP_FTE","PUBLISHED","2012","EUR","AUT","Not applicable","","","",""
"NTCP_FTE","PUBLISHED","2008","EUR","AZE","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2010","EUR","AZE","Not applicable","","","",""
"NTCP_FTE","PUBLISHED","2012","EUR","AZE","Not applicable","","","",""
"NTCP_FTE","PUBLISHED","2014","EUR","AZE","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2016","EUR","AZE","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2012","AFR","BDI","13","13.00000","","",""
"NTCP_FTE","PUBLISHED","2014","AFR","BDI","13","13.00000","","",""
"NTCP_FTE","PUBLISHED","2016","AFR","BDI","13","13.00000","","",""
"NTCP_FTE","PUBLISHED","2018","AFR","BDI","13","13.00000","","",""
"NTCP_FTE","PUBLISHED","2014","EUR","BEL","20","20.00000","","",""
"NTCP_FTE","PUBLISHED","2016","EUR","BEL","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2018","EUR","BEL","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2007","AFR","BEN","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2016","AFR","BEN","3","3.00000","","",""
"NTCP_FTE","PUBLISHED","2018","AFR","BEN","3","3.00000","","",""
"NTCP_FTE","PUBLISHED","2007","AFR","BFA","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2008","AFR","BFA","3","3.00000","","",""
"NTCP_FTE","PUBLISHED","2010","AFR","BFA","3","3.00000","","",""
"NTCP_FTE","PUBLISHED","2007","SEAR","BGD","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2008","SEAR","BGD","2","2.00000","","",""
"NTCP_FTE","PUBLISHED","2010","SEAR","BGD","2","2.00000","","",""
"NTCP_FTE","PUBLISHED","2012","SEAR","BGD","2","2.00000","","",""
"NTCP_FTE","PUBLISHED","2008","EUR","BGR","1","1.00000","","",""
"NTCP_FTE","PUBLISHED","2010","EUR","BGR","1","1.00000","","",""
"NTCP_FTE","PUBLISHED","2012","EUR","BGR","1","1.00000","","",""
"NTCP_FTE","PUBLISHED","2014","EUR","BGR","1","1.00000","","",""
"NTCP_FTE","PUBLISHED","2010","EMR","BHR","Not applicable","","","",""
"NTCP_FTE","PUBLISHED","2012","EMR","BHR","Not applicable","","","",""
"NTCP_FTE","PUBLISHED","2014","EMR","BHR","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2016","EMR","BHR","Data not available","","","",""
"NTCP_FTE","PUBLISHED","2018","EMR","BHR","Data not available","","","",""
