"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTCP_budget_year","PUBLISHED","2014","EMR","AFG","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2007","AFR","AGO","Data not available","","","",""
"NTCP_budget_year","PUBLISHED","2012","AFR","AGO","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2018","AFR","AGO","Data not available","","","",""
"NTCP_budget_year","PUBLISHED","2008","EUR","ALB","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2010","EUR","ALB","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2012","EUR","AND","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2018","EUR","AND","Data not available","","","",""
"NTCP_budget_year","PUBLISHED","2008","EMR","ARE","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2010","EMR","ARE","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2016","EMR","ARE","Data not available","","","",""
"NTCP_budget_year","PUBLISHED","2007","AMR","ARG","Data not available","","","",""
"NTCP_budget_year","PUBLISHED","2008","AMR","ARG","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2018","AMR","ARG","2010","2010.00000","","",""
"NTCP_budget_year","PUBLISHED","2010","EUR","ARM","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2016","EUR","ARM","2014","2014.00000","","",""
"NTCP_budget_year","PUBLISHED","2008","AMR","ATG","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2012","AMR","ATG","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2014","AMR","ATG","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2007","WPR","AUS","Data not available","","","",""
"NTCP_budget_year","PUBLISHED","2010","WPR","AUS","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2012","WPR","AUS","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2014","EUR","AUT","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2007","EUR","AZE","Data not available","","","",""
"NTCP_budget_year","PUBLISHED","2012","EUR","AZE","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2018","EUR","AZE","Data not available","","","",""
"NTCP_budget_year","PUBLISHED","2008","AFR","BDI","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2010","AFR","BDI","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2007","EUR","BEL","Data not available","","","",""
"NTCP_budget_year","PUBLISHED","2012","EUR","BEL","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2018","EUR","BEL","2016","2016.00000","","",""
"NTCP_budget_year","PUBLISHED","2010","AFR","BEN","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2016","AFR","BEN","Data not available","","","",""
"NTCP_budget_year","PUBLISHED","2008","AFR","BFA","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2018","AFR","BFA","2005","2005.00000","","",""
"NTCP_budget_year","PUBLISHED","2010","SEAR","BGD","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2016","SEAR","BGD","2008","2008.00000","","",""
"NTCP_budget_year","PUBLISHED","2008","EUR","BGR","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2014","EUR","BGR","0","0.00000","","",""
"NTCP_budget_year","PUBLISHED","2007","EMR","BHR","Data not available","","","",""
