"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTCP_curr","PUBLISHED","2008","EMR","AFG","Data not available","","","",""
"NTCP_curr","PUBLISHED","2010","EMR","AFG","Data not available","","","",""
"NTCP_curr","PUBLISHED","2016","EMR","AFG","Data not available","","","",""
"NTCP_curr","PUBLISHED","2018","AFR","AGO","Data not available","","","",""
"NTCP_curr","PUBLISHED","2010","EUR","ALB","ALL","","","",""
"NTCP_curr","PUBLISHED","2016","EUR","ALB","ALL","","","",""
"NTCP_curr","PUBLISHED","2007","EUR","AND","Data not available","","","",""
"NTCP_curr","PUBLISHED","2008","EUR","AND","Data not available","","","",""
"NTCP_curr","PUBLISHED","2016","EMR","ARE","Data not available","","","",""
"NTCP_curr","PUBLISHED","2008","AMR","ARG","USD","","","",""
"NTCP_curr","PUBLISHED","2012","AMR","ARG","USD","","","",""
"NTCP_curr","PUBLISHED","2014","AMR","ARG","USD","","","",""
"NTCP_curr","PUBLISHED","2012","EUR","ARM","AMD","","","",""
"NTCP_curr","PUBLISHED","2008","AMR","ATG","Data not available","","","",""
"NTCP_curr","PUBLISHED","2014","AMR","ATG","Data not available","","","",""
"NTCP_curr","PUBLISHED","2007","WPR","AUS","Data not available","","","",""
"NTCP_curr","PUBLISHED","2018","WPR","AUS","Data not available","","","",""
"NTCP_curr","PUBLISHED","2010","EUR","AUT","EUR","","","",""
"NTCP_curr","PUBLISHED","2014","EUR","AUT","EUR","","","",""
"NTCP_curr","PUBLISHED","2016","EUR","AUT","EUR","","","",""
"NTCP_curr","PUBLISHED","2010","AFR","BDI","BIF","","","",""
"NTCP_curr","PUBLISHED","2016","AFR","BDI","BIF","","","",""
"NTCP_curr","PUBLISHED","2007","EUR","BEL","Data not available","","","",""
"NTCP_curr","PUBLISHED","2008","EUR","BEL","EUR","","","",""
"NTCP_curr","PUBLISHED","2012","EUR","BEL","EUR","","","",""
"NTCP_curr","PUBLISHED","2014","EUR","BEL","EUR","","","",""
"NTCP_curr","PUBLISHED","2016","AFR","BEN","Data not available","","","",""
"NTCP_curr","PUBLISHED","2008","AFR","BFA","XOF","","","",""
"NTCP_curr","PUBLISHED","2012","AFR","BFA","XOF","","","",""
"NTCP_curr","PUBLISHED","2014","AFR","BFA","XOF","","","",""
"NTCP_curr","PUBLISHED","2007","SEAR","BGD","Data not available","","","",""
"NTCP_curr","PUBLISHED","2008","EUR","BGR","BGN","","","",""
"NTCP_curr","PUBLISHED","2014","EUR","BGR","BGN","","","",""
"NTCP_curr","PUBLISHED","2007","EMR","BHR","Data not available","","","",""
"NTCP_curr","PUBLISHED","2012","EMR","BHR","Data not available","","","",""
"NTCP_curr","PUBLISHED","2012","EUR","BIH","Data not available","","","",""
"NTCP_curr","PUBLISHED","2018","EUR","BIH","Data not available","","","",""
"NTCP_curr","PUBLISHED","2016","EUR","BLR","Data not available","","","",""
"NTCP_curr","PUBLISHED","2008","AMR","BLZ","USD","","","",""
"NTCP_curr","PUBLISHED","2014","AMR","BLZ","USD","","","",""
"NTCP_curr","PUBLISHED","2008","AMR","BRA","BRL","","","",""
"NTCP_curr","PUBLISHED","2012","AMR","BRA","BRL","","","",""
"NTCP_curr","PUBLISHED","2014","AMR","BRA","BRL","","","",""
"NTCP_curr","PUBLISHED","2007","AMR","BRB","Data not available","","","",""
"NTCP_curr","PUBLISHED","2010","AMR","BRB","Data not available","","","",""
"NTCP_curr","PUBLISHED","2012","AMR","BRB","Data not available","","","",""
"NTCP_curr","PUBLISHED","2014","WPR","BRN","BND","","","",""
"NTCP_curr","PUBLISHED","2007","SEAR","BTN","Data not available","","","",""
"NTCP_curr","PUBLISHED","2012","SEAR","BTN","USD","","","",""
"NTCP_curr","PUBLISHED","2016","SEAR","BTN","USD","","","",""
"NTCP_curr","PUBLISHED","2018","SEAR","BTN","USD","","","",""
"NTCP_curr","PUBLISHED","2012","AFR","CAF","XAF","","","",""
"NTCP_curr","PUBLISHED","2018","AFR","CAF","XAF","","","",""
"NTCP_curr","PUBLISHED","2010","AMR","CAN","CAD","","","",""
"NTCP_curr","PUBLISHED","2014","AMR","CAN","CAD","","","",""
"NTCP_curr","PUBLISHED","2012","EUR","CHE","Data not available","","","",""
"NTCP_curr","PUBLISHED","2018","EUR","CHE","Data not available","","","",""
"NTCP_curr","PUBLISHED","2010","AMR","CHL","CLP","","","",""
"NTCP_curr","PUBLISHED","2016","AMR","CHL","CLP","","","",""
"NTCP_curr","PUBLISHED","2018","WPR","CHN","CNY","","","",""
"NTCP_curr","PUBLISHED","2007","AFR","CIV","Data not available","","","",""
"NTCP_curr","PUBLISHED","2012","AFR","CIV","XOF","","","",""
"NTCP_curr","PUBLISHED","2016","AFR","CIV","XOF","","","",""
"NTCP_curr","PUBLISHED","2012","AFR","COD","Data not available","","","",""
"NTCP_curr","PUBLISHED","2018","AFR","COD","Data not available","","","",""
"NTCP_curr","PUBLISHED","2008","AFR","COG","Data not available","","","",""
"NTCP_curr","PUBLISHED","2010","AFR","COG","Data not available","","","",""
"NTCP_curr","PUBLISHED","2014","AFR","COG","XAF","","","",""
"NTCP_curr","PUBLISHED","2012","WPR","COK","NZD","","","",""
"NTCP_curr","PUBLISHED","2018","WPR","COK","NZD","","","",""
"NTCP_curr","PUBLISHED","2010","AMR","COL","Data not available","","","",""
"NTCP_curr","PUBLISHED","2016","AMR","COL","Data not available","","","",""
"NTCP_curr","PUBLISHED","2008","AFR","COM","KMF","","","",""
"NTCP_curr","PUBLISHED","2018","AFR","COM","KMF","","","",""
"NTCP_curr","PUBLISHED","2010","AFR","CPV","CVE","","","",""
"NTCP_curr","PUBLISHED","2016","AFR","CPV","CVE","","","",""
"NTCP_curr","PUBLISHED","2007","AMR","CRI","Data not available","","","",""
"NTCP_curr","PUBLISHED","2008","AMR","CRI","Data not available","","","",""
"NTCP_curr","PUBLISHED","2014","AMR","CRI","USD","","","",""
"NTCP_curr","PUBLISHED","2012","AMR","CUB","CUP","","","",""
"NTCP_curr","PUBLISHED","2014","EUR","CYP","EUR","","","",""
