"GHO","PUBLISHSTATE","YEAR","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTD_2","PUBLISHED","2007","AFG","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","ALB","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2007","DZA","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","AND","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","","AGO","Countries not known to have dracunculiasis but yet to be certified","","","",""
"NTD_2","PUBLISHED","2000","ATG","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","ARG","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","ARM","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","AUS","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","AUT","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","AZE","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","BHS","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","BHR","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","BGD","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","BRB","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","BLR","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","BEL","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","BLZ","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2009","BEN","Previously endemic countries certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","BTN","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","BOL","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2011","BIH","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","BWA","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","BRA","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2011","BRN","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","BGR","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2011","BFA","Previously endemic countries certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","BDI","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2004","CPV","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2009","KHM","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2007","CMR","Previously endemic countries certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","CAN","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2007","CAF","Previously endemic countries certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","","TCD","Endemic for dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","CHL","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","CHN","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","COL","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2004","COM","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2004","COG","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","COK","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","CRI","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2013","CIV","Previously endemic countries certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","HRV","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","CUB","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","CYP","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","CZE","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","PRK","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","","COD","Countries not known to have dracunculiasis but yet to be certified","","","",""
"NTD_2","PUBLISHED","1998","DNK","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2007","DJI","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","DMA","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","DOM","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2000","ECU","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","EGY","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","SLV","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2004","GNQ","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2011","ERI","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","EST","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","","ETH","Endemic for dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","FJI","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1997","FIN","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","1998","FRA","Certified free of dracunculiasis","","","",""
"NTD_2","PUBLISHED","2007","GAB","Certified free of dracunculiasis","","","",""
