"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTD_4","PUBLISHED","2002","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","2003","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","2004","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","1990","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","1991","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","1994","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","1995","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","1996","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","1997","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","1998","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","2000","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","2001","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","2005","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","2006","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","2002","AFR","BFA","0","0.00000","","",""
"NTD_4","PUBLISHED","2003","AFR","BFA","0","0.00000","","",""
"NTD_4","PUBLISHED","2004","AFR","BFA","0","0.00000","","",""
"NTD_4","PUBLISHED","2000","AFR","BFA","0","0.00000","","",""
"NTD_4","PUBLISHED","2001","AFR","BFA","0","0.00000","","",""
"NTD_4","PUBLISHED","2005","AFR","BFA","0","0.00000","","",""
"NTD_4","PUBLISHED","2006","AFR","BFA","0","0.00000","","",""
"NTD_4","PUBLISHED","2002","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","2003","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","2004","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","1993","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","1994","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","1995","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","1997","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","1998","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","1999","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","2001","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","2005","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","2006","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","2002","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","2003","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","2004","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","1990","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","1991","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","1992","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","1996","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","1997","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","1998","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","1999","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","2000","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","2001","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","2005","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","2006","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","2002","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","2003","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","2004","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","1991","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","1992","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","1993","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","1994","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","1996","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","1997","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","1998","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","1999","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","2000","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","2001","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","2005","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","2006","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","1991","AFR","NGA","0","0.00000","","",""
"NTD_4","PUBLISHED","1992","AFR","NGA","0","0.00000","","",""
"NTD_4","PUBLISHED","1993","AFR","NGA","0","0.00000","","",""
"NTD_4","PUBLISHED","1994","AFR","NGA","0","0.00000","","",""
"NTD_4","PUBLISHED","1995","AFR","NGA","0","0.00000","","",""
"NTD_4","PUBLISHED","1996","AFR","NGA","0","0.00000","","",""
"NTD_4","PUBLISHED","1997","AFR","NGA","0","0.00000","","",""
"NTD_4","PUBLISHED","1998","AFR","NGA","0","0.00000","","",""
"NTD_4","PUBLISHED","2007","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","2008","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","2007","AFR","BFA","0","0.00000","","",""
"NTD_4","PUBLISHED","2008","AFR","BFA","0","0.00000","","",""
"NTD_4","PUBLISHED","2007","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","2008","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","2007","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","2008","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","2007","AFR","NGA","0","0.00000","","",""
"NTD_4","PUBLISHED","2008","AFR","NGA","0","0.00000","","",""
"NTD_4","PUBLISHED","2007","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","2008","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","2009","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","2009","AFR","BFA","0","0.00000","","",""
"NTD_4","PUBLISHED","2009","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","2009","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","2009","AFR","NGA","0","0.00000","","",""
"NTD_4","PUBLISHED","2009","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","2010","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","2010","AFR","BFA","0","0.00000","","",""
"NTD_4","PUBLISHED","2010","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","2010","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","2010","AFR","SLE","0","0.00000","","",""
"NTD_4","PUBLISHED","2010","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","2011","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","2011","AFR","BFA","0","0.00000","","",""
"NTD_4","PUBLISHED","2011","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","2011","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","2011","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","2012","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","2012","AFR","BFA","0","0.00000","","",""
"NTD_4","PUBLISHED","2012","AFR","GHA","0","0.00000","","",""
"NTD_4","PUBLISHED","2012","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","2012","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","2013","AFR","BEN","0","0.00000","","",""
"NTD_4","PUBLISHED","2013","AFR","BFA","0","0.00000","","",""
"NTD_4","PUBLISHED","2013","AFR","MLI","0","0.00000","","",""
"NTD_4","PUBLISHED","2013","AFR","NGA","0","0.00000","","",""
"NTD_4","PUBLISHED","2013","AFR","TGO","0","0.00000","","",""
"NTD_4","PUBLISHED","1993","AFR","BEN","1","1.00000","","",""
"NTD_4","PUBLISHED","1997","AFR","BFA","1","1.00000","","",""
"NTD_4","PUBLISHED","1996","AFR","GHA","1","1.00000","","",""
"NTD_4","PUBLISHED","2000","AFR","GHA","1","1.00000","","",""
"NTD_4","PUBLISHED","2011","AFR","GNQ","1","1.00000","","",""
"NTD_4","PUBLISHED","2013","AFR","GHA","1","1.00000","","",""
"NTD_4","PUBLISHED","1992","AFR","BEN","2","2.00000","","",""
"NTD_4","PUBLISHED","1990","AFR","TGO","2","2.00000","","",""
"NTD_4","PUBLISHED","2010","AFR","NGA","2","2.00000","","",""
"NTD_4","PUBLISHED","2012","AFR","GNQ","2","2.00000","","",""
"NTD_4","PUBLISHED","2012","AFR","NGA","2","2.00000","","",""
"NTD_4","PUBLISHED","1990","AFR","GHA","3","3.00000","","",""
"NTD_4","PUBLISHED","1995","AFR","TGO","3","3.00000","","",""
"NTD_4","PUBLISHED","1993","AFR","CMR","3","3.00000","","",""
"NTD_4","PUBLISHED","2005","AFR","CMR","3","3.00000","","",""
"NTD_4","PUBLISHED","2006","AFR","NGA","3","3.00000","","",""
"NTD_4","PUBLISHED","2011","AFR","NGA","3","3.00000","","",""
"NTD_4","PUBLISHED","2013","AFR","GNQ","3","3.00000","","",""
