"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTD_LEISHCEND","PUBLISHED","2018","AMR","BRA","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","WPR","CHN","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AMR","BOL","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AFR","CMR","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AFR","COD","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AMR","BLZ","Endemic","","","","Belize status has been changed to ""endemic"" in 2015 as cutaneous leishmaniasis due to L. mexicana is frequently reported from travellers to Belize and vectors and parasite have been identified."
"NTD_LEISHCEND","PUBLISHED","2018","AMR","COL","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AMR","CRI","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","CYP","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","BIH","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EMR","DJI","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AMR","DOM","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AMR","ECU","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EMR","EGY","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","ESP","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AFR","ETH","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","BGR","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","FRA","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AFR","GHA","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AFR","GIN","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AFR","BFA","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","GRC","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AMR","GTM","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AFR","CIV","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","SEAR","IND","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EMR","IRQ","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","ISR","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AFR","DZA","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AFR","ERI","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","KAZ","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AFR","KEN","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","KGZ","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EMR","KWT","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EMR","LBN","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","GEO","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AFR","GNB","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","SEAR","LKA","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AMR","GUY","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AMR","HND","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","AZE","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EMR","MAR","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","MCO","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AMR","MEX","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","MKD","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AFR","MLI","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","ARM","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AMR","ARG","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AFR","MWI","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AFR","NAM","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AFR","NER","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AMR","NIC","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","ALB","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","SEAR","NPL","Endemic","","","","Nepal status has been changed to ""endemic"" as cutaneous leishmaniasis due to L. donovani has been reported by Nepal with no travel history, and scientific publication has been published to demonstrate transmission cycle with L. donovani."
"NTD_LEISHCEND","PUBLISHED","2018","EMR","OMN","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AMR","PAN","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AMR","PER","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EMR","AFG","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","PRT","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AMR","PRY","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EMR","SAU","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EMR","SDN","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EMR","IRN","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","ITA","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AMR","SLV","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AMR","SUR","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EUR","SVN","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EMR","JOR","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","AFR","TCD","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","EMR","LBY","Endemic","","","",""
"NTD_LEISHCEND","PUBLISHED","2018","SEAR","THA","Endemic","","","","Thailand status has been changed to ""endemic"" in 2015 as L. siamensis causes both VL and CL, even if this species has not been neither classified taxonomically nor classified as a human leishmania parasite yet."
