"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTD_LEPR11","PUBLISHED","2012","AMR","ATG","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","BLZ","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","BRN","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","SEAR","PRK","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","DMA","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","SLV","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","GTM","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","EMR","IRQ","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","JPN","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","EMR","JOR","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","EMR","LBN","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","MNG","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","NZL","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","VCT","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AFR","STP","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","EMR","SAU","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","EMR","TUN","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","TUV","0","0.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AFR","BWA","1","1.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","FJI","1","1.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","HND","1","1.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","NRU","1","1.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","PLW","1","1.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","PAN","1","1.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","EMR","QAT","1","1.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","KOR","1","1.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","AUS","2","2.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","CRI","2","2.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","EMR","DJI","2","2.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AFR","GNQ","2","2.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","GRD","2","2.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","EMR","OMN","2","2.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","WSM","2","2.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","URY","2","2.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","SEAR","BTN","3","3.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","EMR","KWT","3","3.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","EMR","LBY","3","3.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","SEAR","MDV","3","3.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","SLB","3","3.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","NIC","4","4.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","LCA","4","4.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","SGP","4","4.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","PER","5","5.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","GUY","7","7.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AFR","GMB","8","8.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","EMR","IRN","11","11.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AFR","GAB","12","12.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AFR","ZAF","12","12.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","SUR","12","12.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","EMR","AFG","13","13.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","EMR","MAR","14","14.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","SEAR","TLS","18","18.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AFR","RWA","20","20.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","LAO","37","37.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","MHL","38","38.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","ECU","39","39.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","EMR","SOM","40","40.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","USA","42","42.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","KIR","51","51.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","DOM","58","58.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AFR","MLI","63","63.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AFR","CAF","70","70.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","MEX","83","83.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","SEAR","THA","90","90.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","FSM","93","93.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","PNG","94","94.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AFR","SEN","94","94.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","ARG","104","104.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","CUB","104","104.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","VNM","105","105.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AFR","BEN","106","106.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","WPR","MYS","110","110.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AFR","SLE","117","117.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","EMR","YEM","118","118.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AFR","UGA","127","127.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AMR","COL","141","141.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","AFR","BFA","145","145.00000","","",""
"NTD_LEPR11","PUBLISHED","2012","EMR","PAK","164","164.00000","","",""
