"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTD_ONCHEMO","PUBLISHED","2013","AMR","BRA","13982","13982.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","GNQ","85805","85805.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AMR","VEN","12800","12800.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","SEN","180485","180485.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","GNB","188404","188404.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","EMR","SDN","435419","435419.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","BFA","224342","224342.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","EMR","YEM","300000","300000.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","COG","1427670","1427670.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","AGO","2540933","2540933.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","BDI","1526788","1526788.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","CIV","2285120","2285120.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","CAF","2107828","2107828.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","TCD","2514704","2514704.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","MWI","2215041","2215041.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","TZA","3437030","3437030.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","GIN","3275821","3275821.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","LBR","3092730","3092730.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","TGO","3123011","3123011.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","UGA","4313818","4313818.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","SLE","3175897","3175897.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","BEN","3427756","3427756.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","GHA","4450048","4450048.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","MLI","5081883","5081883.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","EMR","SSD","6806792","6806792.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","CMR","8753217","8753217.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","ETH","11858617","11858617.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","COD","42394937","42394937.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","NGA","50124539","50124539.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AMR","COL","No PC required","","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AMR","ECU","No PC required","","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","GAB","82764","82764.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AMR","GTM","No PC required","","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","KEN","No PC required","","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AMR","MEX","No PC required","","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","MOZ","64868","64868.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","NER","No PC required","","","",""
"NTD_ONCHEMO","PUBLISHED","2013","AFR","RWA","No PC required","","","",""
"NTD_ONCHEMO","PUBLISHED","2014","AMR","VEN","12800","12800.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2014","AMR","BRA","13982","13982.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2014","AFR","MOZ","16914","16914.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2014","AFR","GAB","71000","71000.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2014","AFR","GNQ","90540","90540.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2014","AFR","SEN","185181","185181.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2014","AFR","GNB","192326","192326.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2014","AFR","BFA","231037","231037.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2014","EMR","YEM","300000","300000.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2014","EMR","SDN","662366","662366.00000","","",""
"NTD_ONCHEMO","PUBLISHED","2014","AFR","COG","1458765","1458765.00000","","",""
