"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTD_ONCHSTATUS","PUBLISHED","2019","AMR","COL","Elimination verified","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AMR","ECU","Elimination verified","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AMR","GTM","Elimination verified","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AMR","MEX","Elimination verified","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","AGO","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","BEN","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AMR","BRA","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","BFA","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","BDI","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","CMR","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","CAF","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","TCD","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","COG","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","CIV","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","COD","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","GNQ","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","ETH","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","GAB","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","GHA","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","GIN","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","GNB","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","LBR","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","MWI","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","MLI","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","NGA","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","SEN","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","SLE","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","EMR","SDN","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","TGO","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","UGA","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","TZA","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AMR","VEN","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","EMR","YEM","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","SSD","Endemic","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","KEN","Thought not requiring PC","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","MOZ","Thought not requiring PC","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","NER","Thought not requiring PC","","","",""
"NTD_ONCHSTATUS","PUBLISHED","2019","AFR","RWA","Thought not requiring PC","","","",""
