"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTD_PINTASTATUS","PUBLISHED","2013","EMR","BHR","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","SEAR","BGD","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","AMR","BRB","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","EUR","BLR","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","EUR","BEL","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","AFR","CMR","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","AMR","CAN","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","AFR","CPV","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","AFR","CAF","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","SEAR","PRK","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","AFR","COD","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","EUR","DNK","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","EMR","DJI","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","AFR","GMB","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","EUR","GEO","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","EUR","DEU","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","AFR","GHA","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","EMR","IRN","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","EMR","IRQ","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","EUR","IRL","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","EUR","ISR","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","AFR","LBR","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","EMR","LBY","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","EUR","LTU","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","EUR","LUX","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","EUR","MNE","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","EMR","MAR","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","AFR","MOZ","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","SEAR","MMR","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","WPR","PLW","No previous history of pinta","","","",""
"NTD_PINTASTATUS","PUBLISHED","2013","AMR","PAN","Previously endemic (current status unknown)","","","",""
