"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"NTD_TRA5","PUBLISHED","2014","AFR","BEN","0","0.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","BDI","0","0.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","CIV","0","0.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","COD","0","0.00000","","",""
"NTD_TRA5","PUBLISHED","2014","WPR","FJI","0","0.00000","","",""
"NTD_TRA5","PUBLISHED","2014","EMR","IRN","0","0.00000","","",""
"NTD_TRA5","PUBLISHED","2014","EMR","OMN","0","0.00000","","",""
"NTD_TRA5","PUBLISHED","2014","EMR","SOM","0","0.00000","","",""
"NTD_TRA5","PUBLISHED","2014","WPR","VUT","0","0.00000","","",""
"NTD_TRA5","PUBLISHED","2014","EMR","YEM","0","0.00000","","",""
"NTD_TRA5","PUBLISHED","2014","WPR","KIR","2","2.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AMR","GTM","4","4.00000","","",""
"NTD_TRA5","PUBLISHED","2014","WPR","SLB","7","7.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AMR","MEX","15","15.00000","","",""
"NTD_TRA5","PUBLISHED","2014","WPR","AUS","16","16.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","MRT","18","18.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AMR","COL","24","24.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","TGO","27","27.00000","","",""
"NTD_TRA5","PUBLISHED","2014","WPR","LAO","29","29.00000","","",""
"NTD_TRA5","PUBLISHED","2014","EMR","AFG","41","41.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","CAF","48","48.00000","","",""
"NTD_TRA5","PUBLISHED","2014","EMR","IRQ","73","73.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","GHA","78","78.00000","","",""
"NTD_TRA5","PUBLISHED","2014","EMR","MAR","127","127.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","BFA","206","206.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","MWI","213","213.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","SSD","213","213.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","MOZ","294","294.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","GMB","323","323.00000","","",""
"NTD_TRA5","PUBLISHED","2014","WPR","KHM","399","399.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","TCD","637","637.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","GIN","683","683.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","ERI","892","892.00000","","",""
"NTD_TRA5","PUBLISHED","2014","WPR","CHN","1074","1074.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AMR","BRA","1126","1126.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","ZMB","1474","1474.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","GNB","1590","1590.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","SEN","1792","1792.00000","","",""
"NTD_TRA5","PUBLISHED","2014","SEAR","NPL","2567","2567.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","TZA","2706","2706.00000","","",""
"NTD_TRA5","PUBLISHED","2014","EMR","SDN","3297","3297.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","CMR","4047","4047.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","MLI","4493","4493.00000","","",""
"NTD_TRA5","PUBLISHED","2014","WPR","VNM","5934","5934.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","KEN","8073","8073.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","NGA","8210","8210.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","UGA","9980","9980.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","NER","13051","13051.00000","","",""
"NTD_TRA5","PUBLISHED","2014","AFR","ETH","65658","65658.00000","","",""
